name,Season,Lg,Tm,Age,Ht.,Wt.,G,MP,FG	,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chicago Bulls,2010-11,NBA,CHI,0.8%,0.4%,3.3%,82,-0.4%,-1.3%,-3.5%,+.010,45.2%,32.7%,+.031,-7.3%,-10.2%,+.015,0.9%,2.3%,-.011,3.2%,-2.2%,-0.8%,7.2%,11.5%,-2.1%,-1.2%,-0.5%,1.2%
Chicago Bulls,2009-10,NBA,CHI,5.2%,0.5%,0.5%,82,-0.1%,-1.4%,-0.3%,-.005,-28.6%,-17.6%,-.051,3.6%,3.7%,-.000,-9.4%,-4.4%,-.042,-3.4%,9.4%,5.8%,-1.6%,-13.7%,5.5%,-1.4%,-3.6%,-4.6%
Charlotte Hornets,2020-21,NBA,CHO,1.2%,-0.3%,-1.8%,72,10.2%,18.6%,13.2%,+.020,25.5%,19.5%,+.018,15.2%,9.0%,+.028,8.9%,7.0%,+.013,6.6%,15.6%,13.3%,24.8%,32.0%,28.4%,12.6%,6.1%,17.9%
Charlotte Hornets,2019-20,NBA,CHO,-8.6%,-1.0%,2.8%,65,-20.6%,-26.4%,-24.1%,-.014,-19.7%,-19.8%,+.001,-29.3%,-26.7%,-.018,-30.3%,-25.8%,-.049,-12.2%,-25.6%,-22.6%,-18.7%,-27.6%,-33.8%,-5.2%,-21.1%,-26.4%
Charlotte Hornets,2018-19,NBA,CHO,0.0%,-1.1%,-3.2%,82,0.3%,3.1%,3.6%,-.002,18.6%,24.6%,-.018,-2.2%,-6.0%,+.020,-8.8%,-14.5%,+.050,-1.6%,-4.2%,-3.6%,7.6%,5.7%,8.6%,-3.8%,10.0%,2.3%
Charlotte Hornets,2017-18,NBA,CHO,0.4%,-0.1%,1.4%,82,-0.3%,3.4%,1.5%,+.008,0.0%,-4.9%,+.018,4.6%,4.7%,-.001,4.1%,13.5%,-.067,14.7%,1.7%,4.3%,-6.4%,-2.1%,-4.4%,10.5%,3.6%,3.2%
Charlotte Hornets,2016-17,NBA,CHO,1.9%,0.4%,-0.5%,82,-0.1%,1.9%,1.1%,+.003,-5.6%,-2.6%,-.011,4.9%,3.1%,+.008,3.7%,0.6%,+.024,-1.8%,-0.6%,-0.8%,6.4%,-4.0%,-11.0%,-8.5%,-8.5%,1.4%
Charlotte Hornets,2015-16,NBA,CHO,0.0%,1.2%,-1.8%,82,-0.3%,4.2%,-0.1%,+.018,75.3%,53.9%,+.044,-10.4%,-15.9%,+.029,9.8%,4.0%,+.042,-10.5%,2.7%,-0.3%,7.5%,19.2%,-2.2%,5.5%,-0.5%,9.8%
Charlotte Hornets,2014-15,NBA,CHO,2.0%,-0.8%,-0.5%,82,0.0%,-2.1%,3.0%,-.022,-3.5%,6.5%,-.033,-1.8%,2.0%,-.018,-5.2%,-6.7%,+.011,5.7%,2.5%,3.2%,-7.0%,0.0%,6.4%,-3.4%,0.1%,-2.8%
Charlotte Hornets,2013-14,NBA,CHA,4.5%,0.5%,0.9%,82,0.5%,5.4%,1.2%,+.018,10.0%,5.1%,+.016,4.5%,0.2%,+.019,-4.7%,-2.9%,-.013,-15.4%,14.0%,5.9%,12.0%,-15.6%,-12.1%,-12.4%,-4.4%,3.7%
Charlotte Hornets,2012-13,NBA,CHA,-0.4%,-0.1%,0.5%,82,24.6%,28.7%,25.6%,+.010,78.3%,56.8%,+.040,22.0%,19.3%,+.010,41.8%,40.9%,+.005,35.5%,26.1%,28.6%,19.7%,48.9%,32.7%,20.5%,25.0%,33.5%
Charlotte Hornets,2011-12,NBA,CHA,-8.9%,-0.6%,0.9%,66,-19.8%,-23.7%,-16.8%,-.037,-33.1%,-25.9%,-.032,-22.2%,-14.7%,-.042,-27.9%,-26.9%,-.010,-20.2%,-22.5%,-21.9%,-23.3%,-24.2%,-16.6%,-19.7%,-23.7%,-25.0%
Charlotte Hornets,2010-11,NBA,CHA,-1.8%,0.6%,1.9%,82,-0.4%,0.5%,0.9%,-.002,-14.6%,-9.6%,-.019,3.4%,3.8%,-.002,-7.7%,-8.3%,+.005,-1.2%,-1.8%,-1.7%,4.2%,-17.1%,-2.9%,-7.6%,2.5%,-2.1%
Charlotte Hornets,2009-10,NBA,CHA,6.2%,0.4%,-2.3%,82,-0.3%,-0.3%,0.1%,-.002,-6.1%,-0.6%,-.020,0.9%,0.3%,+.003,12.5%,10.9%,+.010,-3.2%,5.2%,3.0%,-4.8%,9.0%,12.3%,0.9%,-9.0%,1.8%
Brooklyn Nets,2020-21,NBA,BRK,7.2%,-0.8%,-0.5%,72,-0.4%,6.8%,-3.2%,+.046,8.4%,-5.3%,+.050,6.0%,-1.7%,+.041,1.1%,-6.3%,+.059,-16.4%,-4.6%,-7.2%,9.5%,4.3%,17.3%,-11.3%,-9.2%,6.1%
Brooklyn Nets,2019-20,NBA,BRK,3.5%,-0.3%,2.3%,72,-12.5%,-11.9%,-11.7%,-.001,-10.1%,-7.4%,-.010,-12.7%,-14.6%,+.011,-17.0%,-17.0%,+.001,-14.9%,-8.1%,-9.7%,-9.9%,-13.9%,-4.7%,-11.1%,-14.4%,-12.6%
Brooklyn Nets,2018-19,NBA,BRK,1.2%,-0.3%,-1.4%,82,0.6%,5.3%,3.4%,+.008,0.6%,1.4%,-.003,7.6%,4.8%,+.013,8.9%,12.9%,-.027,13.6%,2.3%,4.8%,0.7%,5.3%,-13.1%,-0.7%,4.4%,5.3%
Brooklyn Nets,2017-18,NBA,BRK,-3.5%,0.3%,-2.7%,82,0.5%,1.1%,1.8%,-.003,18.7%,12.9%,+.018,-5.8%,-4.7%,-.006,-10.3%,-8.4%,-.016,9.8%,-0.9%,1.2%,10.5%,-13.7%,0.8%,-8.2%,-2.2%,0.8%
Brooklyn Nets,2016-17,NBA,BRK,-3.3%,0.5%,1.8%,82,0.0%,-1.1%,1.0%,-.009,65.2%,71.8%,-.014,-14.6%,-18.8%,+.025,23.8%,18.9%,+.031,-16.5%,10.1%,3.5%,-4.0%,-5.4%,16.6%,11.9%,16.9%,7.2%
Brooklyn Nets,2015-16,NBA,BRK,-5.9%,-0.5%,-1.8%,82,-0.9%,2.2%,1.7%,+.002,-1.8%,-7.7%,+.021,3.0%,4.7%,-.008,-5.4%,-6.5%,+.009,2.0%,-0.5%,0.1%,6.6%,8.9%,-2.4%,7.0%,-6.5%,0.6%
Brooklyn Nets,2014-15,NBA,BRK,-4.7%,-0.3%,2.3%,82,0.3%,4.7%,6.5%,-.008,-23.7%,-15.0%,-.038,13.8%,15.7%,-.008,-9.9%,-9.2%,-.005,17.3%,9.1%,11.0%,0.1%,-18.3%,9.3%,-4.9%,-11.1%,-0.5%
Brooklyn Nets,2013-14,NBA,BRK,4.9%,0.3%,-1.8%,82,0.1%,-0.4%,-2.3%,+.009,12.9%,9.2%,+.012,-4.0%,-6.6%,+.014,5.3%,2.2%,+.022,-31.1%,-2.2%,-10.8%,2.8%,17.7%,-20.5%,-1.2%,18.5%,1.7%
Brooklyn Nets,2012-13,NBA,BRK,9.6%,0.6%,1.8%,82,25.0%,30.1%,23.0%,+.024,23.9%,18.8%,+.014,31.9%,24.6%,+.027,28.7%,36.6%,-.045,33.7%,30.9%,31.7%,27.2%,21.5%,50.4%,21.2%,18.3%,29.3%
Brooklyn Nets,2011-12,NBA,NJN,5.2%,-1.1%,0.5%,66,-20.6%,-22.5%,-19.9%,-.014,10.5%,10.8%,-.001,-28.6%,-27.6%,-.007,-22.0%,-23.8%,+.018,-13.9%,-23.0%,-20.5%,-23.9%,7.6%,-32.3%,-13.6%,-29.8%,-20.4%
Brooklyn Nets,2010-11,NBA,NJN,0.0%,0.3%,0.5%,82,1.1%,3.7%,1.3%,+.010,21.8%,12.8%,+.025,0.9%,-1.3%,+.010,-9.2%,-6.7%,-.022,1.3%,3.5%,2.9%,11.9%,-20.1%,-2.3%,-2.5%,10.0%,1.9%
Brooklyn Nets,2009-10,NBA,NJN,-3.5%,0.0%,-0.9%,82,-0.3%,-3.8%,0.3%,-.018,-42.2%,-31.7%,-.058,7.2%,11.8%,-.020,1.9%,1.8%,+.001,5.5%,-2.4%,-0.3%,-5.9%,2.5%,0.5%,10.0%,-10.6%,-5.8%
Boston Celtics,2020-21,NBA,BOS,-0.8%,0.0%,-0.5%,72,-0.3%,0.5%,-0.7%,+.006,8.2%,5.3%,+.010,-2.9%,-4.5%,+.009,-13.2%,-10.3%,-.026,-0.4%,-5.0%,-3.9%,2.1%,-6.6%,-5.7%,1.7%,-5.3%,-0.9%
Boston Celtics,2019-20,NBA,BOS,-1.6%,-1.5%,0.0%,72,-11.9%,-13.9%,-13.1%,-.004,-12.3%,-12.1%,-.001,-14.6%,-13.8%,-.005,4.2%,4.4%,-.001,-4.5%,-10.5%,-9.2%,-23.2%,-15.7%,-6.7%,-5.4%,-7.0%,-11.2%
Boston Celtics,2018-19,NBA,BOS,4.0%,0.1%,0.0%,82,-0.1%,9.9%,6.4%,+.015,9.9%,13.5%,-.012,9.9%,2.5%,+.035,-2.0%,-5.8%,+.031,4.8%,-1.0%,0.2%,17.0%,16.9%,16.6%,-8.4%,3.2%,8.1%
Boston Celtics,2017-18,NBA,BOS,-4.6%,1.2%,0.9%,82,0.3%,-0.9%,-0.0%,-.004,-4.7%,-9.1%,+.018,0.9%,5.8%,-.024,-14.8%,-10.8%,-.036,3.1%,6.7%,5.9%,-11.0%,-2.1%,9.7%,5.6%,-4.0%,-3.7%
Boston Celtics,2016-17,NBA,BOS,2.8%,-0.1%,-0.5%,82,-0.1%,-1.5%,-4.6%,+.015,37.4%,28.0%,+.024,-12.6%,-18.2%,+.033,1.1%,-1.3%,+.019,-21.7%,-1.3%,-6.5%,4.4%,-18.0%,-2.3%,-3.5%,-6.1%,2.2%
Boston Celtics,2015-16,NBA,BOS,0.8%,-1.0%,-0.5%,82,-0.5%,0.7%,1.5%,-.003,8.6%,6.0%,+.008,-1.3%,-0.3%,-.005,20.1%,15.0%,+.034,4.4%,1.8%,2.4%,-1.4%,11.6%,18.4%,-0.5%,3.3%,4.3%
Boston Celtics,2014-15,NBA,BOS,-1.6%,0.0%,0.0%,82,0.8%,6.6%,4.8%,+.008,14.8%,16.9%,-.006,4.6%,0.7%,+.018,-4.5%,-1.6%,-.022,-7.1%,7.2%,3.2%,16.4%,15.4%,-14.3%,-10.2%,-0.3%,5.3%
Boston Celtics,2013-14,NBA,BOS,-12.7%,0.4%,3.3%,82,-0.6%,-0.2%,6.6%,-.029,15.5%,24.4%,-.026,-3.3%,1.7%,-.024,0.5%,0.5%,+.000,49.8%,-1.1%,9.4%,-6.3%,-12.4%,-6.0%,6.8%,1.5%,0.9%
Boston Celtics,2012-13,NBA,BOS,-0.7%,-0.1%,0.5%,81,24.5%,28.2%,27.0%,+.004,37.2%,40.7%,-.009,26.5%,23.7%,+.011,29.6%,29.8%,-.001,28.5%,23.5%,24.5%,18.4%,33.9%,0.8%,20.6%,30.6%,29.0%
Boston Celtics,2011-12,NBA,BOS,-0.7%,-0.3%,-4.5%,66,-19.4%,-22.6%,-18.2%,-.026,-11.0%,-11.7%,+.003,-24.4%,-19.6%,-.030,-30.3%,-31.0%,+.008,-20.3%,-19.3%,-19.5%,-18.9%,-26.3%,5.2%,-18.1%,-21.6%,-23.4%
Boston Celtics,2010-11,NBA,BOS,0.3%,0.4%,1.8%,82,0.0%,-0.5%,-1.2%,+.003,-18.2%,-21.9%,+.016,3.0%,4.9%,-.010,-6.4%,-9.3%,+.024,-10.8%,3.8%,0.5%,-0.5%,-3.6%,-14.4%,-2.0%,-7.6%,-2.7%
Boston Celtics,2009-10,NBA,BOS,5.8%,0.1%,-1.4%,82,-0.5%,-1.2%,-0.6%,-.003,-7.2%,5.8%,-.049,0.1%,-2.4%,+.013,-1.8%,0.7%,-.019,-17.6%,-5.3%,-8.4%,3.7%,12.9%,3.9%,-4.8%,-4.3%,-1.7%
