Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist,2P_FGA,0-3_FGA,3-10_FGA,10-16_FGA,16-3P_FGA,3P_FGA,2P_FG,0-3_FG,3-10_FG,10-16_FG,16-3P_FG,3P_FG,2P_AST,3P_AST,FGA_DUNK,FG_DUNK,FG3A_Corner3,FG_Corner3,FG3A_Heave,FG3_heave
Álex Abrines,1993-08-01,0,2016-17,23,OKC,NBA,SG,68,1055,.393,20.6,.276,.120,.047,.044,.065,.724,.426,.488,.438,.333,.364,.381,.600,.968,.015,5,.231,.404,2,0
Álex Abrines,1993-08-01,0,2017-18,24,OKC,NBA,SG,75,1134,.395,20.3,.241,.127,.041,.027,.041,.759,.443,.595,.250,.625,.083,.380,.548,1.000,.034,9,.253,.375,1,0
Álex Abrines,1993-08-01,0,2018-19,25,OKC,NBA,SG,31,588,.357,22.3,.191,.102,.025,.019,.045,.809,.500,.500,.500,.333,.571,.323,.800,.951,.006,1,.205,.385,2,0
Álex Abrines,1993-08-01,1,2016-17,23,OKC,NBA,SG,5,80,.348,20.2,.261,.217,.000,.000,.043,.739,.500,.400,,,1.000,.294,.667,1.000,.043,0,.176,.667,1,0
Álex Abrines,1993-08-01,1,2017-18,24,OKC,NBA,SG,6,110,.400,19.1,.350,.150,.050,.000,.150,.650,.286,.333,.000,,.333,.462,.000,.833,.000,0,.308,.750,0,0
Anthony Gill,1992-10-17,0,2020-21,28,WAS,NBA,PF,26,218,.500,12.4,.600,.267,.317,.000,.017,.400,.639,.813,.526,,.000,.292,.783,.857,.050,2,.375,.111,0,0
Shai Gilgeous-Alexander,1998-07-12,0,2018-19,20,LAC,NBA,PG,82,2174,.476,11.2,.806,.314,.161,.222,.109,.194,.503,.631,.417,.415,.436,.367,.310,.902,.028,19,.460,.406,1,0
Mickell Gladness,1986-07-26,0,2011-12,25,TOT,NBA,PF,26,252,.424,6.7,1.000,.441,.220,.237,.102,.000,.424,.538,.308,.357,.333,,.760,,.169,8,,,0,0
Harry Giles,1998-04-22,0,2018-19,20,SAC,NBA,PF,58,820,.503,7.1,.983,.394,.325,.161,.103,.017,.512,.686,.416,.393,.333,.000,.651,,.124,37,.333,.000,1,0
Freddie Gillespie,1997-06-14,0,2020-21,23,TOR,NBA,PF,20,392,.524,4.5,1.000,.476,.405,.119,.000,.000,.524,.675,.412,.300,,,.682,,.167,12,,,0,0
Anthony Gill,1992-10-17,1,2020-21,28,WAS,NBA,PF,4,33,.000,11.2,.667,.000,.667,.000,.000,.333,.000,,.000,,,.000,,,.000,0,.000,,0,0
Shai Gilgeous-Alexander,1998-07-12,0,2019-20,21,OKC,NBA,SG,70,2428,.471,11.4,.753,.286,.263,.136,.068,.247,.512,.617,.404,.500,.507,.347,.235,.540,.019,19,.127,.438,0,0
Shai Gilgeous-Alexander,1998-07-12,0,2020-21,22,OKC,NBA,SG,35,1180,.508,11.6,.699,.333,.225,.097,.044,.301,.547,.633,.528,.382,.360,.418,.074,.296,.018,10,.076,.462,0,0
Mickell Gladness,1986-07-26,0,2011-12,25,MIA,NBA,PF,8,28,.333,8.4,1.000,.333,.000,.667,.000,.000,.333,.000,,.500,,,1.000,,.000,0,,,0,0
Mickell Gladness,1986-07-26,0,2011-12,25,GSW,NBA,PF,18,224,.429,6.6,1.000,.446,.232,.214,.107,.000,.429,.560,.308,.333,.333,,.750,,.179,8,,,0,0
Rudy Gobert,1992-06-26,0,2013-14,21,UTA,NBA,C,45,434,.486,2.4,1.000,.784,.203,.014,.000,.000,.486,.586,.133,.000,,,.667,,.216,14,,,0,0
Harry Giles,1998-04-22,0,2019-20,21,SAC,NBA,C,46,667,.554,7.6,.992,.402,.259,.167,.163,.008,.558,.802,.369,.429,.390,.000,.748,,.171,38,.500,.000,0,0
Harry Giles,1998-04-22,0,2020-21,22,POR,NBA,C,38,348,.433,10.4,.763,.392,.186,.093,.093,.237,.459,.605,.333,.000,.556,.348,.412,1.000,.113,9,.174,.750,0,0
Manu Ginóbili,1977-07-28,0,2009-10,32,SAS,NBA,SG,75,2150,.441,13.9,.612,.301,.122,.068,.122,.388,.481,.610,.391,.377,.309,.377,.331,.727,.019,16,.177,.290,1,0
Trey Gilder,1985-01-24,0,2009-10,25,MEM,NBA,SF,2,5,1.000,17.4,1.000,.000,.000,.000,1.000,.000,1.000,,,,1.000,,1.000,,.000,0,,,0,0
J.R. Giddens,1985-02-13,0,2009-10,24,TOT,NBA,SF,32,239,.467,10.6,.833,.483,.050,.083,.217,.167,.560,.793,.333,.400,.154,.000,.393,,.050,3,.400,.000,1,0
Jonathan Gibson,1987-11-08,0,2016-17,29,DAL,NBA,PG,17,231,.368,17.9,.526,.179,.063,.095,.189,.474,.400,.412,.333,.556,.333,.333,.300,.800,.000,0,.044,.500,1,0
Shai Gilgeous-Alexander,1998-07-12,1,2018-19,20,LAC,NBA,PG,6,173,.467,14.1,.700,.250,.133,.167,.150,.300,.452,.600,.125,.400,.556,.500,.421,1.000,.017,1,.111,.500,1,0
Shai Gilgeous-Alexander,1998-07-12,1,2019-20,21,OKC,NBA,SG,7,279,.433,15.0,.611,.211,.222,.122,.056,.389,.455,.474,.450,.455,.400,.400,.320,.357,.011,1,.171,.667,1,0
Rudy Gobert,1992-06-26,0,2014-15,22,UTA,NBA,C,82,2158,.604,1.7,.995,.789,.185,.007,.014,.005,.607,.709,.241,.000,.000,.000,.597,,.344,135,.000,,0,0
Rudy Gobert,1992-06-26,0,2015-16,23,UTA,NBA,C,61,1932,.559,1.8,1.000,.802,.175,.006,.017,.000,.559,.641,.226,.000,.333,,.626,,.297,96,,,0,0
Harry Giles,1998-04-22,1,2020-21,22,POR,NBA,C,1,4,.000,20.4,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,,.000,0,,,0,0
Manu Ginóbili,1977-07-28,0,2010-11,33,SAS,NBA,SG,80,2426,.433,15.4,.567,.215,.158,.071,.123,.433,.497,.639,.416,.500,.352,.349,.376,.675,.014,13,.172,.368,3,0
Manu Ginóbili,1977-07-28,0,2011-12,34,SAS,NBA,SG,34,792,.526,14.8,.558,.284,.112,.060,.102,.442,.616,.778,.469,.588,.345,.413,.316,.827,.021,5,.167,.381,1,0
J.R. Giddens,1985-02-13,0,2009-10,24,BOS,NBA,SF,21,99,.429,8.8,.905,.476,.095,.095,.238,.095,.474,.700,.500,.500,.000,.000,.667,,.095,2,1.000,.000,0,0
J.R. Giddens,1985-02-13,0,2009-10,24,NYK,NBA,SF,11,140,.487,11.6,.795,.487,.026,.077,.205,.205,.613,.842,.000,.333,.250,.000,.263,,.026,1,.250,.000,1,0
Jonathan Gibson,1987-11-08,0,2017-18,30,BOS,NBA,PG,4,40,.609,16.1,.478,.261,.087,.043,.087,.522,.727,.833,.500,.000,1.000,.500,.500,.833,.000,0,.083,1.000,0,0
Justin Dentmon,1985-09-05,0,2011-12,26,TOT,NBA,PG,6,91,.357,18.1,.500,.179,.036,.036,.250,.500,.571,.400,.000,1.000,.714,.143,.250,1.000,.000,0,.214,.000,0,0
Taj Gibson,1985-06-24,0,2009-10,24,CHI,NBA,PF,82,2204,.494,7.3,1.000,.475,.130,.191,.203,.000,.494,.582,.463,.408,.391,,.656,,.126,70,,,0,0
Rudy Gobert,1992-06-26,0,2016-17,24,UTA,NBA,C,81,2744,.661,1.7,.998,.845,.144,.005,.002,.002,.662,.731,.278,.667,.000,.000,.741,,.392,235,.000,,1,0
Rudy Gobert,1992-06-26,0,2017-18,25,UTA,NBA,C,56,1816,.622,2.4,1.000,.757,.194,.023,.025,.000,.622,.726,.314,.100,.364,,.772,,.369,151,,,0,0
Manu Ginóbili,1977-07-28,0,2012-13,35,SAS,NBA,SG,60,1393,.425,15.0,.564,.276,.119,.071,.098,.436,.480,.651,.344,.316,.283,.353,.479,.807,.015,6,.187,.477,3,0
Manu Ginóbili,1977-07-28,0,2013-14,36,SAS,NBA,SG,68,1550,.469,14.1,.589,.298,.134,.070,.086,.411,.553,.717,.476,.386,.241,.349,.422,.822,.022,10,.171,.409,1,0
Manu Ginóbili,1977-07-28,0,2014-15,37,SAS,NBA,SG,70,1587,.426,13.9,.562,.280,.151,.070,.061,.438,.489,.594,.449,.366,.250,.345,.451,.798,.002,1,.167,.465,1,0
Luol Deng,1985-04-16,0,2009-10,24,CHI,NBA,SF,70,2651,.466,12.2,.918,.294,.114,.089,.421,.082,.474,.621,.440,.422,.391,.386,.583,.969,.035,33,.783,.415,1,0
Matthew Dellavedova,1990-09-08,0,2013-14,23,CLE,NBA,SG,72,1271,.412,17.8,.476,.091,.176,.105,.108,.524,.461,.667,.404,.355,.469,.368,.477,.930,.000,0,.310,.458,2,0
Justin Dentmon,1985-09-05,0,2011-12,26,SAS,NBA,PG,2,19,.333,19.5,.333,.167,.000,.000,.167,.667,1.000,1.000,,,1.000,.000,.000,,.000,0,.500,.000,0,0
Justin Dentmon,1985-09-05,0,2011-12,26,TOR,NBA,PG,4,72,.364,17.7,.545,.182,.045,.045,.273,.455,.500,.250,.000,1.000,.667,.200,.333,1.000,.000,0,.100,.000,0,0
Taj Gibson,1985-06-24,0,2010-11,25,CHI,NBA,PF,80,1742,.466,9.2,.984,.386,.175,.169,.253,.016,.472,.644,.352,.365,.362,.125,.695,.000,.137,61,.250,.000,2,0
Taj Gibson,1985-06-24,0,2011-12,26,CHI,NBA,PF,63,1284,.495,7.8,1.000,.426,.208,.153,.213,.000,.495,.663,.369,.452,.314,,.690,,.124,47,,,0,0
Taj Gibson,1985-06-24,0,2012-13,27,CHI,NBA,PF,65,1459,.485,7.9,.991,.435,.188,.170,.197,.009,.490,.656,.373,.413,.299,.000,.766,,.127,54,.250,.000,0,0
Rudy Gobert,1992-06-26,0,2018-19,26,UTA,NBA,C,81,2577,.669,2.2,1.000,.815,.167,.011,.007,.000,.669,.743,.361,.125,.200,,.735,,.479,306,,,0,0
Rudy Gobert,1992-06-26,0,2019-20,27,UTA,NBA,C,68,2333,.693,2.1,1.000,.837,.158,.005,.000,.000,.693,.755,.386,.000,,,.749,,.425,221,,,0,0
Manu Ginóbili,1977-07-28,0,2015-16,38,SAS,NBA,SG,58,1134,.453,13.9,.589,.278,.138,.087,.085,.411,.496,.537,.450,.395,.541,.391,.543,.914,.005,2,.128,.522,1,0
Manu Ginóbili,1977-07-28,0,2016-17,39,SAS,NBA,SG,69,1291,.390,16.5,.483,.214,.123,.091,.057,.517,.387,.521,.296,.350,.120,.392,.451,.787,.005,2,.159,.306,4,0
Luol Deng,1985-04-16,0,2010-11,25,CHI,NBA,SF,82,3208,.460,13.7,.712,.268,.158,.069,.217,.288,.506,.667,.456,.300,.410,.345,.620,.974,.029,33,.381,.354,2,0
Luol Deng,1985-04-16,0,2011-12,26,CHI,NBA,SF,54,2129,.412,14.4,.715,.232,.162,.053,.269,.285,.430,.646,.344,.125,.355,.367,.530,.987,.019,14,.330,.366,4,0
Matthew Dellavedova,1990-09-08,0,2014-15,24,CLE,NBA,SG,67,1380,.362,17.6,.456,.059,.202,.121,.075,.544,.307,.389,.242,.351,.348,.407,.326,.897,.000,0,.323,.315,0,0
Matthew Dellavedova,1990-09-08,0,2015-16,25,CLE,NBA,PG,76,1867,.405,15.9,.532,.092,.241,.135,.065,.468,.401,.489,.398,.304,.485,.410,.321,.806,.000,0,.172,.488,0,0
Justin Dentmon,1985-09-05,0,2012-13,27,DAL,NBA,PG,2,4,.000,17.1,1.000,.000,.000,.500,.500,.000,.000,,,.000,.000,,,,.000,0,,,0,0
Taj Gibson,1985-06-24,0,2013-14,28,CHI,NBA,PF,82,2351,.479,8.5,.992,.383,.194,.221,.194,.008,.483,.638,.356,.399,.397,.000,.669,,.109,89,.286,.000,4,0
Taj Gibson,1985-06-24,0,2014-15,29,CHI,NBA,PF,62,1692,.502,5.1,1.000,.555,.198,.168,.081,.000,.502,.619,.350,.341,.415,,.717,,.144,67,,,0,0
Rudy Gobert,1992-06-26,0,2020-21,28,UTA,NBA,C,71,2187,.675,2.7,.993,.770,.209,.005,.009,.007,.680,.798,.281,.000,.200,.000,.767,,.432,231,.250,.000,3,0
Rudy Gobert,1992-06-26,1,2016-17,24,UTA,NBA,C,9,246,.635,2.0,1.000,.762,.222,.016,.000,.000,.635,.750,.286,.000,,,.750,,.397,22,,,0,0
Manu Ginóbili,1977-07-28,0,2017-18,40,SAS,NBA,SG,65,1299,.434,13.8,.585,.283,.153,.099,.048,.415,.506,.641,.408,.348,.364,.333,.423,.797,.015,7,.198,.342,1,0
Manu Ginóbili,1977-07-28,1,2009-10,32,SAS,NBA,SG,10,352,.414,14.8,.571,.257,.121,.086,.107,.429,.475,.611,.353,.417,.333,.333,.237,.900,.014,2,.200,.417,1,0
Luol Deng,1985-04-16,0,2012-13,27,CHI,NBA,SF,75,2903,.426,12.7,.787,.305,.142,.086,.254,.213,.455,.619,.342,.362,.353,.322,.645,.933,.014,15,.240,.339,2,0
Luol Deng,1985-04-16,0,2013-14,28,TOT,NBA,SF,63,2213,.431,12.8,.780,.265,.172,.099,.244,.220,.468,.645,.358,.329,.410,.302,.580,.930,.017,15,.323,.328,2,1
Matthew Dellavedova,1990-09-08,0,2016-17,26,MIL,NBA,PG,76,1986,.390,15.1,.597,.150,.266,.101,.077,.403,.404,.400,.430,.389,.366,.367,.310,.861,.000,0,.144,.355,0,0
Matthew Dellavedova,1990-09-08,0,2017-18,27,MIL,NBA,PG,38,712,.362,17.4,.487,.079,.217,.105,.086,.513,.351,.583,.242,.438,.308,.372,.269,.897,.000,0,.141,.455,0,0
Taj Gibson,1985-06-24,0,2015-16,30,CHI,NBA,PF,73,1936,.526,5.8,.994,.524,.188,.160,.124,.006,.529,.630,.447,.388,.403,.000,.643,,.152,71,.000,,0,0
Taj Gibson,1985-06-24,0,2016-17,31,TOT,NBA,PF,78,1989,.515,6.9,.982,.423,.283,.142,.131,.018,.520,.677,.448,.376,.333,.231,.657,.667,.096,63,.846,.182,1,1
Rudy Gobert,1992-06-26,1,2017-18,25,UTA,NBA,C,11,383,.655,1.3,1.000,.857,.143,.000,.000,.000,.655,.722,.250,,,,.691,,.464,36,,,0,0
Rudy Gobert,1992-06-26,1,2018-19,26,UTA,NBA,C,5,152,.594,2.4,1.000,.750,.219,.031,.000,.000,.594,.792,.000,.000,,,.737,,.344,9,,,0,0
Manu Ginóbili,1977-07-28,1,2010-11,33,SAS,NBA,SG,5,174,.443,15.6,.600,.243,.143,.071,.143,.400,.524,.765,.200,.600,.400,.321,.409,.778,.014,1,.321,.222,2,1
Manu Ginóbili,1977-07-28,1,2011-12,34,SAS,NBA,SG,14,390,.448,14.5,.531,.276,.159,.048,.048,.469,.545,.675,.435,.429,.286,.338,.476,.739,.021,2,.147,.400,0,0
Luol Deng,1985-04-16,0,2013-14,28,CHI,NBA,SF,23,860,.452,12.4,.825,.280,.172,.102,.271,.175,.490,.707,.361,.389,.385,.274,.566,.882,.017,6,.258,.375,1,1
Luol Deng,1985-04-16,0,2013-14,28,CLE,NBA,SF,40,1353,.417,13.1,.749,.255,.172,.097,.225,.251,.451,.597,.356,.286,.430,.315,.591,.950,.018,9,.354,.311,1,0
Matthew Dellavedova,1990-09-08,0,2018-19,28,TOT,NBA,PG,48,812,.405,18.1,.463,.124,.211,.091,.037,.537,.482,.567,.471,.409,.444,.338,.278,.773,.000,0,.054,.143,4,0
Matthew Dellavedova,1990-09-08,0,2018-19,28,MIL,NBA,PG,12,97,.316,18.9,.421,.105,.158,.053,.105,.579,.250,.000,.333,1.000,.000,.364,.000,1.000,.000,0,.091,.000,0,0
Taj Gibson,1985-06-24,0,2016-17,31,CHI,NBA,PF,55,1502,.521,7.0,.977,.419,.287,.140,.130,.023,.529,.680,.454,.405,.348,.167,.664,1.000,.085,43,.917,.182,0,0
Taj Gibson,1985-06-24,0,2016-17,31,OKC,NBA,PF,23,487,.497,6.8,.994,.436,.274,.151,.134,.006,.494,.667,.429,.296,.292,1.000,.636,.000,.128,20,.000,,1,1
Rudy Gobert,1992-06-26,1,2019-20,27,UTA,NBA,C,7,270,.649,2.2,1.000,.784,.216,.000,.000,.000,.649,.776,.188,,,,.854,,.365,26,,,0,0
Rudy Gobert,1992-06-26,1,2020-21,28,UTA,NBA,C,11,376,.741,2.3,.988,.840,.148,.000,.000,.012,.750,.809,.417,,,.000,.667,,.444,33,.000,,1,0
Manu Ginóbili,1977-07-28,1,2012-13,35,SAS,NBA,SG,21,560,.399,16.0,.503,.249,.088,.088,.078,.497,.495,.583,.412,.353,.467,.302,.417,.690,.026,5,.146,.429,0,0
Manu Ginóbili,1977-07-28,1,2013-14,36,SAS,NBA,SG,23,586,.439,15.4,.557,.224,.131,.105,.093,.443,.477,.604,.484,.400,.273,.390,.349,.683,.008,2,.162,.294,1,0
Luol Deng,1985-04-16,0,2014-15,29,MIA,NBA,SF,72,2421,.469,12.5,.720,.309,.122,.098,.192,.280,.513,.646,.458,.377,.404,.355,.595,.974,.028,21,.500,.436,2,0
Luol Deng,1985-04-16,0,2015-16,30,MIA,NBA,PF,74,2394,.455,13.0,.656,.305,.136,.059,.160,.344,.513,.670,.446,.205,.378,.344,.622,1.000,.035,26,.539,.362,1,0
Matthew Dellavedova,1990-09-08,0,2018-19,28,CLE,NBA,PG,36,715,.413,18.0,.466,.126,.215,.094,.031,.534,.500,.607,.479,.381,.571,.336,.288,.750,.000,0,.050,.167,4,0
Matthew Dellavedova,1990-09-08,0,2019-20,29,CLE,NBA,PG,57,821,.354,16.6,.480,.137,.229,.103,.011,.520,.488,.542,.400,.611,.500,.231,.317,.905,.000,0,.165,.333,0,0
Taj Gibson,1985-06-24,0,2017-18,32,MIN,NBA,PF,82,2726,.577,6.5,.953,.482,.236,.117,.118,.047,.595,.752,.466,.442,.368,.200,.711,1.000,.125,89,.771,.222,1,0
Taj Gibson,1985-06-24,0,2018-19,33,MIN,NBA,PF,70,1686,.566,5.9,.937,.547,.248,.069,.073,.063,.583,.690,.421,.405,.487,.324,.669,1.000,.104,55,.765,.385,1,0
Manu Ginóbili,1977-07-28,1,2014-15,37,SAS,NBA,SG,7,131,.349,16.2,.488,.209,.233,.000,.047,.512,.333,.556,.200,,.000,.364,.286,1.000,.000,0,.273,.500,1,0
Manu Ginóbili,1977-07-28,1,2015-16,38,SAS,NBA,SG,10,192,.426,16.4,.553,.149,.128,.191,.085,.447,.423,.857,.167,.444,.000,.429,.364,.889,.021,1,.190,.250,1,0
Luol Deng,1985-04-16,0,2016-17,31,LAL,NBA,SF,56,1486,.387,14.9,.611,.283,.094,.083,.156,.389,.436,.617,.350,.286,.227,.309,.549,.922,.031,10,.339,.393,3,0
Luol Deng,1985-04-16,0,2017-18,32,LAL,NBA,SF,1,13,.500,2.5,1.000,.500,.500,.000,.000,.000,.500,1.000,.000,,,,1.000,,.000,0,,,0,0
Matthew Dellavedova,1990-09-08,0,2020-21,30,CLE,NBA,PG,13,224,.250,14.3,.554,.161,.321,.071,.000,.446,.323,.222,.389,.250,,.160,.400,.750,.000,0,.160,.000,0,0
Matthew Dellavedova,1990-09-08,1,2014-15,24,CLE,NBA,SG,20,497,.346,19.0,.441,.037,.199,.118,.088,.559,.383,.400,.481,.250,.333,.316,.174,.875,.000,0,.171,.462,1,0
Taj Gibson,1985-06-24,0,2019-20,34,NYK,NBA,C,62,1025,.584,6.7,.951,.577,.136,.080,.157,.049,.599,.703,.436,.478,.422,.286,.724,1.000,.140,34,.571,.250,0,0
Taj Gibson,1985-06-24,0,2020-21,35,NYK,NBA,C,45,936,.627,5.8,.905,.601,.184,.082,.038,.095,.671,.789,.414,.538,.333,.200,.604,1.000,.165,23,.467,.286,0,0
Manu Ginóbili,1977-07-28,1,2016-17,39,SAS,NBA,SG,16,284,.412,13.2,.588,.423,.082,.041,.041,.412,.544,.659,.250,.500,.000,.225,.419,1.000,.021,2,.175,.286,1,0
Manu Ginóbili,1977-07-28,1,2017-18,40,SAS,NBA,SG,5,107,.405,16.6,.514,.216,.162,.027,.108,.486,.474,.625,.500,1.000,.000,.333,.333,.833,.000,0,.167,.333,1,0
Luol Deng,1985-04-16,0,2018-19,33,MIN,NBA,SF,22,392,.500,12.9,.627,.356,.102,.110,.059,.373,.608,.762,.500,.385,.286,.318,.644,.929,.042,4,.455,.450,1,0
Luol Deng,1985-04-16,1,2009-10,24,CHI,NBA,SF,5,203,.463,13.6,.850,.250,.100,.075,.425,.150,.529,.650,.500,.667,.441,.083,.583,1.000,.050,3,.667,.000,0,0
Matthew Dellavedova,1990-09-08,1,2015-16,25,CLE,NBA,PG,20,241,.351,15.3,.581,.122,.324,.081,.054,.419,.419,.444,.417,.500,.250,.258,.500,.875,.000,0,.323,.400,1,0
Matthew Dellavedova,1990-09-08,1,2016-17,26,MIL,NBA,PG,6,159,.390,16.3,.610,.024,.390,.049,.146,.390,.400,1.000,.250,.500,.667,.375,.200,1.000,.000,0,.063,.000,0,0
Taj Gibson,1985-06-24,1,2009-10,24,CHI,NBA,PF,5,145,.421,10.2,1.000,.263,.184,.289,.263,.000,.421,.600,.286,.364,.400,,.750,,.105,3,,,0,0
Taj Gibson,1985-06-24,1,2010-11,25,CHI,NBA,PF,16,284,.566,10.0,.987,.382,.158,.092,.355,.013,.573,.793,.500,.143,.481,.000,.721,,.132,9,.000,,1,0
Džanan Musa,1999-05-08,0,2018-19,19,BRK,NBA,SG,9,39,.409,15.6,.545,.227,.182,.045,.091,.455,.667,.800,.750,.000,.500,.100,.750,1.000,.000,0,.200,.000,0,0
Derrick Byars,1984-04-25,0,2011-12,27,SAS,NBA,PF,2,37,.273,14.7,.455,.364,.091,.000,.000,.545,.600,.750,.000,,,.000,.667,,.000,0,.333,.000,0,0
Toure' Murry,1989-11-08,0,2013-14,24,NYK,NBA,PG,51,373,.434,10.8,.907,.318,.202,.140,.248,.093,.436,.561,.231,.389,.469,.417,.353,.600,.008,1,.333,.250,0,0
Luol Deng,1985-04-16,1,2010-11,25,CHI,NBA,SF,16,687,.426,13.9,.704,.274,.143,.078,.209,.296,.469,.603,.394,.389,.375,.324,.658,.909,.022,5,.382,.346,1,1
Luol Deng,1985-04-16,1,2011-12,26,CHI,NBA,SF,6,228,.456,15.3,.722,.152,.228,.063,.278,.278,.491,.667,.444,.600,.409,.364,.607,.750,.013,1,.182,.500,1,0
Svi Mykhailiuk,1997-06-10,0,2018-19,21,TOT,NBA,SF,42,440,.329,19.3,.364,.157,.057,.043,.107,.636,.333,.455,.125,.333,.267,.326,.706,.966,.021,2,.247,.364,0,0
Matthew Dellavedova,1990-09-08,1,2017-18,27,MIL,NBA,PG,6,78,.333,20.9,.250,.083,.083,.083,.000,.750,.667,1.000,.000,1.000,,.222,.500,1.000,.000,0,.000,,0,0
Taj Gibson,1985-06-24,1,2011-12,26,CHI,NBA,PF,6,137,.457,8.1,1.000,.391,.174,.217,.217,.000,.457,.667,.125,.400,.400,,.762,,.174,7,,,0,0
Taj Gibson,1985-06-24,1,2012-13,27,CHI,NBA,PF,12,206,.470,11.0,.970,.348,.212,.167,.242,.030,.484,.565,.286,.545,.500,.000,.742,,.076,4,.000,,2,0
Džanan Musa,1999-05-08,0,2019-20,20,BRK,NBA,SF,40,487,.372,13.5,.547,.360,.145,.041,.000,.453,.479,.548,.320,.429,,.244,.556,.895,.000,0,.141,.273,0,0
Džanan Musa,1999-05-08,1,2018-19,19,BRK,NBA,SG,2,15,.667,9.2,.667,.667,.000,.000,.000,.333,1.000,1.000,,,,.000,.500,,.000,0,.000,,0,0
Toure' Murry,1989-11-08,0,2014-15,25,TOT,NBA,"PG,SG",5,18,.400,9.2,1.000,.400,.200,.000,.400,.000,.400,1.000,.000,,.000,,.500,,.200,1,,,0,0
Toure' Murry,1989-11-08,0,2014-15,25,UTA,NBA,PG,1,1,.000,20.0,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,,.000,0,,,0,0
Luol Deng,1985-04-16,1,2012-13,27,CHI,NBA,SF,5,224,.381,15.1,.786,.226,.083,.107,.369,.214,.470,.632,.429,.444,.387,.056,.419,.000,.000,0,.222,.000,0,0
Luol Deng,1985-04-16,1,2015-16,30,MIA,NBA,PF,14,495,.471,15.0,.587,.246,.116,.065,.159,.413,.506,.588,.563,.556,.318,.421,.610,1.000,.029,3,.526,.467,0,0
Will Bynum,1983-01-04,0,2009-10,27,DET,NBA,PG,63,1667,.444,11.2,.897,.358,.110,.116,.313,.103,.470,.602,.288,.339,.431,.218,.178,.833,.006,3,.418,.261,3,0
Svi Mykhailiuk,1997-06-10,0,2018-19,21,LAL,NBA,SF,39,420,.333,19.4,.356,.152,.061,.045,.098,.644,.362,.500,.125,.333,.308,.318,.706,.963,.015,2,.247,.333,0,0
Svi Mykhailiuk,1997-06-10,0,2018-19,21,DET,NBA,SF,3,20,.250,16.6,.500,.250,.000,.000,.250,.500,.000,.000,,,.000,.500,,1.000,.125,0,.250,1.000,0,0
Andrew Bynum,1987-10-27,0,2009-10,22,LAL,NBA,C,65,1977,.570,4.0,.999,.536,.346,.094,.022,.001,.571,.699,.454,.354,.200,.000,.587,,.186,124,1.000,.000,0,0
Mike Muscala,1991-07-01,0,2013-14,22,ATL,NBA,PF,20,215,.425,10.8,.959,.301,.178,.123,.356,.041,.443,.500,.308,.333,.500,.000,.839,,.082,4,.333,.000,0,0
Taj Gibson,1985-06-24,1,2013-14,28,CHI,NBA,PF,5,154,.561,5.8,1.000,.544,.228,.105,.123,.000,.561,.677,.385,.833,.143,,.719,,.158,9,,,0,0
Taj Gibson,1985-06-24,1,2014-15,29,CHI,NBA,PF,12,276,.472,5.7,1.000,.542,.181,.139,.139,.000,.472,.641,.385,.200,.200,,.765,,.236,14,,,0,0
Džanan Musa,1999-05-08,1,2019-20,20,BRK,NBA,SF,3,39,.182,16.4,.455,.273,.091,.091,.000,.545,.400,.333,1.000,.000,,.000,1.000,,.000,0,.167,.000,0,0
Jamal Murray,1997-02-23,0,2016-17,19,DEN,NBA,SG,82,1764,.404,16.5,.529,.226,.096,.090,.116,.471,.466,.612,.357,.379,.341,.334,.483,.713,.026,17,.218,.413,8,0
Dejounte Murray,1996-09-19,0,2016-17,20,SAS,NBA,PG,38,322,.431,9.7,.802,.293,.362,.095,.052,.198,.441,.559,.452,.182,.167,.391,.415,.889,.026,3,.217,.600,0,0
Toure' Murry,1989-11-08,0,2014-15,25,WAS,NBA,SG,4,17,.500,6.5,1.000,.500,.250,.000,.250,.000,.500,1.000,.000,,.000,,.500,,.250,1,,,0,0
Kevin Murphy,1990-03-06,0,2012-13,22,UTA,NBA,SG,17,52,.250,16.5,.821,.107,.107,.214,.393,.179,.261,1.000,.667,.167,.000,.200,.833,1.000,.036,1,.000,,0,0
Erik Murphy,1990-10-26,0,2013-14,23,CHI,NBA,C,24,62,.231,14.6,.769,.077,.308,.077,.308,.231,.300,1.000,.250,.000,.250,.000,1.000,,.000,0,.333,.000,0,0
Ronald Murray,1979-07-29,0,2009-10,30,TOT,NBA,SG,75,1673,.392,14.7,.676,.259,.073,.119,.225,.324,.431,.520,.360,.321,.409,.312,.447,.754,.009,5,.285,.397,5,0
Will Bynum,1983-01-04,0,2010-11,28,DET,NBA,PG,61,1125,.448,10.1,.877,.401,.155,.084,.236,.123,.466,.595,.286,.294,.427,.320,.163,1.000,.010,3,.400,.400,3,0
Will Bynum,1983-01-04,0,2011-12,29,DET,NBA,PG,36,514,.381,10.1,.851,.438,.144,.072,.196,.149,.406,.529,.286,.286,.263,.241,.194,.857,.015,1,.310,.222,3,0
Svi Mykhailiuk,1997-06-10,0,2019-20,22,DET,NBA,SF,56,1265,.410,19.5,.296,.173,.094,.017,.012,.704,.425,.571,.184,.286,.400,.404,.529,.939,.025,9,.218,.419,3,1
