Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist,2P_FGA,0-3_FGA,3-10_FGA,10-16_FGA,16-3P_FGA,3P_FGA,2P_FG,0-3_FG,3-10_FG,10-16_FG,16-3P_FG,3P_FG,2P_AST,3P_AST,FGA_DUNK,FG_DUNK,FG3A_Corner3,FG_Corner3,FG3A_Heave,FG3_heave
Nick Young,1985-06-01,0,2014-15,29,LAL,NBA,SG,42,1000,.366,18.2,.527,.101,.067,.139,.221,.473,.363,.625,.094,.318,.352,.369,.308,.602,.006,2,.196,.455,2,0
Thaddeus Young,1988-06-21,0,2018-19,30,IND,NBA,PF,81,2489,.527,7.8,.826,.464,.287,.039,.037,.174,.564,.679,.456,.303,.226,.349,.554,.941,.050,36,.445,.354,2,0
Thaddeus Young,1988-06-21,0,2019-20,31,CHI,NBA,PF,64,1591,.448,11.9,.631,.329,.250,.023,.028,.369,.501,.601,.413,.214,.353,.356,.568,.937,.048,26,.423,.362,2,0
Thaddeus Young,1988-06-21,0,2020-21,32,CHI,NBA,PF,68,1652,.559,5.7,.932,.446,.424,.044,.018,.068,.580,.678,.505,.414,.333,.267,.570,1.000,.038,22,.489,.318,3,0
Nick Young,1985-06-01,0,2015-16,30,LAL,NBA,SG,54,1033,.339,21.0,.363,.038,.022,.099,.204,.637,.363,.429,.250,.405,.342,.325,.490,.805,.003,0,.224,.415,0,0
Nick Young,1985-06-01,0,2016-17,31,LAL,NBA,SG,60,1556,.430,20.7,.335,.082,.030,.073,.150,.665,.481,.673,.316,.413,.442,.404,.529,.906,.013,8,.247,.385,0,0
Thaddeus Young,1988-06-21,1,2010-11,22,PHI,NBA,PF,5,127,.417,7.3,.983,.400,.350,.033,.200,.017,.424,.625,.238,.500,.333,.000,.720,,.067,4,.000,,0,0
Thaddeus Young,1988-06-21,1,2011-12,23,PHI,NBA,PF,13,277,.429,7.0,1.000,.374,.363,.110,.154,.000,.429,.588,.455,.100,.214,,.641,,.066,5,,,0,0
Nick Young,1985-06-01,0,2017-18,32,GSW,NBA,SG,80,1393,.412,20.6,.332,.070,.023,.113,.127,.668,.481,.676,.455,.509,.355,.377,.641,.886,.006,1,.279,.396,1,0
Nick Young,1985-06-01,0,2018-19,33,DEN,NBA,SG,4,37,.333,23.4,.111,.000,.000,.111,.000,.889,.000,,,.000,,.375,,1.000,.000,0,.250,.000,0,0
Thaddeus Young,1988-06-21,1,2014-15,26,BRK,NBA,PF,6,190,.439,7.1,.939,.424,.348,.061,.106,.061,.468,.393,.609,.250,.429,.000,.690,,.015,1,.000,,0,0
Thaddeus Young,1988-06-21,1,2016-17,28,IND,NBA,PF,4,140,.538,5.9,.897,.538,.282,.026,.051,.103,.571,.571,.636,.000,.500,.250,.850,1.000,.051,1,.750,.333,0,0
Nick Young,1985-06-01,1,2011-12,26,LAC,NBA,SG,11,200,.433,18.8,.507,.090,.045,.164,.209,.493,.353,.667,.333,.364,.214,.515,.083,.765,.000,0,.485,.563,0,0
Nick Young,1985-06-01,1,2017-18,32,GSW,NBA,SG,20,205,.302,23.6,.113,.019,.057,.019,.019,.887,.333,1.000,.333,.000,.000,.298,1.000,.786,.000,0,.234,.182,0,0
Deandre Ayton,1998-07-23,0,2018-19,20,PHO,NBA,C,71,2183,.585,6.7,.995,.478,.217,.154,.146,.005,.588,.733,.556,.410,.346,.000,.711,,.163,135,.250,.000,0,0
Thaddeus Young,1988-06-21,1,2017-18,29,IND,NBA,PF,7,237,.600,4.6,.883,.633,.217,.033,.000,.117,.642,.711,.462,.500,,.286,.500,1.000,.067,4,.857,.333,0,0
Thaddeus Young,1988-06-21,1,2018-19,30,IND,NBA,PF,4,130,.429,8.1,.810,.476,.262,.024,.048,.190,.471,.550,.364,.000,.500,.250,.688,1.000,.119,5,.750,.333,0,0
Gustavo Ayón,1985-04-01,0,2011-12,26,NOH,NBA,PF,54,1088,.536,5.5,.996,.575,.215,.130,.077,.004,.538,.653,.429,.382,.250,.000,.800,,.050,12,.000,,0,0
Kelenna Azubuike,1983-12-16,0,2009-10,26,GSW,NBA,SF,9,231,.545,11.8,.693,.420,.114,.045,.114,.307,.623,.784,.500,.250,.300,.370,.553,.900,.136,12,.296,.500,0,0
Deandre Ayton,1998-07-23,0,2019-20,21,PHO,NBA,C,38,1236,.546,6.7,.977,.461,.227,.188,.100,.023,.553,.725,.411,.393,.386,.231,.746,1.000,.164,83,.154,.500,0,0
Deandre Ayton,1998-07-23,0,2020-21,22,PHO,NBA,C,69,2115,.626,5.5,.971,.530,.259,.137,.045,.029,.639,.766,.517,.479,.323,.200,.714,1.000,.166,109,.000,,0,0
Deni Avdija,2001-01-03,0,2020-21,20,WAS,NBA,SF,54,1257,.417,16.6,.462,.144,.237,.045,.035,.538,.535,.733,.473,.214,.545,.315,.727,.962,.048,11,.274,.283,1,0
Gustavo Ayón,1985-04-01,0,2012-13,27,TOT,NBA,C,55,734,.551,5.2,1.000,.593,.204,.090,.114,.000,.551,.687,.382,.267,.368,,.750,,.030,5,,,0,0
Gustavo Ayón,1985-04-01,0,2012-13,27,ORL,NBA,C,43,571,.536,5.4,1.000,.600,.176,.096,.128,.000,.536,.653,.409,.333,.313,,.791,,.024,3,,,0,0
Kelenna Azubuike,1983-12-16,0,2011-12,28,DAL,NBA,SG,3,18,.375,14.4,.625,.250,.125,.000,.250,.375,.400,1.000,.000,,.000,.333,.500,1.000,.125,1,.333,1.000,0,0
Kelenna Azubuike,1983-12-16,1,2011-12,28,DAL,NBA,SG,1,5,.333,22.3,.667,.000,.000,.000,.667,.333,.000,,,,.000,1.000,,1.000,.000,0,1.000,1.000,0,0
D.J. Augustin,1987-11-10,0,2009-10,22,CHA,NBA,PG,80,1472,.386,15.6,.591,.283,.060,.076,.172,.409,.381,.415,.423,.364,.320,.393,.286,.829,.000,0,.208,.459,5,0
Chucky Atkins,1974-08-14,0,2009-10,35,DET,NBA,PG,40,644,.363,18.5,.535,.166,.025,.038,.306,.465,.417,.538,.250,.333,.375,.301,.314,.818,.000,0,.288,.333,1,0
Jeff Ayres,1987-04-29,0,2009-10,22,POR,NBA,C,39,405,.662,4.9,1.000,.569,.215,.123,.092,.000,.662,.757,.429,.625,.667,,.791,,.308,19,,,0,0
Jamel Artis,1993-01-12,0,2017-18,25,ORL,NBA,SG,15,279,.392,14.6,.633,.152,.228,.076,.177,.367,.460,.667,.444,.333,.357,.276,.696,.875,.013,0,.310,.222,0,0
