Name,Born,Season,Team,Lg,Salary
Brodric Thomas,1997-01-28,2020-21,Cleveland Cavaliers,NBA,< Minimum
Ante Žižić,1997-01-04,2017-18,Cleveland Cavaliers,NBA,1645200
Paul Zipser,1994-02-18,2016-17,Chicago Bulls,NBA,750000
Ante Žižić,1997-01-04,2018-19,Cleveland Cavaliers,NBA,1952760
Ante Žižić,1997-01-04,2019-20,Cleveland Cavaliers,NBA,2281800
Ivica Zubac,1997-03-18,2016-17,Los Angeles Lakers,NBA,1034956
Kenny Thomas,1977-07-25,2009-10,Sacramento Kings,NBA,8775000
Paul Zipser,1994-02-18,2017-18,Chicago Bulls,NBA,1312611
Isaiah Thomas,1989-02-07,2011-12,Sacramento Kings,NBA,473604
Etan Thomas,1978-04-01,2009-10,Oklahoma City Thunder,NBA,7350000
Adonis Thomas,1993-03-25,2015-16,Detroit Pistons,NBA,60000
Ivica Zubac,1997-03-18,2017-18,Los Angeles Lakers,NBA,1312611
Ivica Zubac,1997-03-18,2018-19,Los Angeles Clippers,NBA,1544951
Ivica Zubac,1997-03-18,2019-20,Los Angeles Clippers,NBA,6481482
Ivica Zubac,1997-03-18,2020-21,Los Angeles Clippers,NBA,7000000
Isaiah Thomas,1989-02-07,2012-13,Sacramento Kings,NBA,762195
Isaiah Thomas,1989-02-07,2013-14,Sacramento Kings,NBA,884293
Isaiah Thomas,1989-02-07,2014-15,Boston Celtics,NBA,7238606
Isaiah Thomas,1989-02-07,2015-16,Boston Celtics,NBA,6912869
Isaiah Thomas,1989-02-07,2016-17,Boston Celtics,NBA,6587132
Isaiah Thomas,1989-02-07,2017-18,Los Angeles Lakers,NBA,6261395
Isaiah Thomas,1989-02-07,2018-19,Denver Nuggets,NBA,2029463
Isaiah Thomas,1989-02-07,2019-20,Los Angeles Clippers,NBA,2320044
Isaiah Thomas,1989-02-07,2020-21,New Orleans Pelicans,NBA,158907
Etan Thomas,1978-04-01,2010-11,Atlanta Hawks,NBA,1223166
Tyrell Terry,2000-09-28,2020-21,Dallas Mavericks,NBA,1289846
Daniel Theis,1992-04-04,2017-18,Boston Celtics,NBA,815615
Hasheem Thabeet,1987-02-16,2009-10,Memphis Grizzlies,NBA,4458840
Emanuel Terry,1996-08-21,2018-19,Miami Heat,NBA,47371
Jared Terrell,1995-02-10,2018-19,Minnesota Timberwolves,NBA,< Minimum
Daniel Theis,1992-04-04,2018-19,Boston Celtics,NBA,1378242
Daniel Theis,1992-04-04,2019-20,Boston Celtics,NBA,5000000
Daniel Theis,1992-04-04,2020-21,Chicago Bulls,NBA,5000000
Hasheem Thabeet,1987-02-16,2010-11,Houston Rockets,NBA,4793280
Hasheem Thabeet,1987-02-16,2011-12,Houston Rockets,NBA,5127720
Hasheem Thabeet,1987-02-16,2012-13,Oklahoma City Thunder,NBA,1200000
Hasheem Thabeet,1987-02-16,2013-14,Oklahoma City Thunder,NBA,1200000
Emanuel Terry,1996-08-21,2018-19,Phoenix Suns,NBA,47371
Emanuel Terry,1996-08-21,2018-19,Denver Nuggets,NBA,35000
Chris Silva,1996-09-19,2019-20,Miami Heat,NBA,466918
Jason Terry,1977-09-15,2009-10,Dallas Mavericks,NBA,9862500
Garret Siler,1986-10-25,2010-11,Phoenix Suns,NBA,473640
Xavier Silas,1988-01-22,2017-18,Boston Celtics,NBA,74159
Jordan Sibert,1992-08-01,2015-16,Orlando Magic,NBA,100000
Chris Silva,1996-09-19,2020-21,Sacramento Kings,NBA,1517981
Jason Terry,1977-09-15,2010-11,Dallas Mavericks,NBA,10650000
Jason Terry,1977-09-15,2011-12,Dallas Mavericks,NBA,11158000
Jason Terry,1977-09-15,2012-13,Boston Celtics,NBA,5000000
Jason Terry,1977-09-15,2013-14,Brooklyn Nets,NBA,5625313
Jason Terry,1977-09-15,2014-15,Houston Rockets,NBA,5850313
Jason Terry,1977-09-15,2015-16,Houston Rockets,NBA,1499187
Jason Terry,1977-09-15,2016-17,Milwaukee Bucks,NBA,1551659
Jason Terry,1977-09-15,2017-18,Milwaukee Bucks,NBA,1471382
Garret Siler,1986-10-25,2011-12,Phoenix Suns,NBA,51097
Jordan Sibert,1992-08-01,2018-19,Atlanta Hawks,NBA,47371
Jarnell Stokes,1994-01-07,2014-15,Memphis Grizzlies,NBA,725000
Jarnell Stokes,1994-01-07,2015-16,New Orleans Pelicans,NBA,845059
Jarnell Stokes,1994-01-07,2016-17,Denver Nuggets,NBA,150000
Julyan Stone,1988-12-07,2011-12,Denver Nuggets,NBA,473604
Max Strus,1996-03-28,2019-20,Boston Celtics,NBA,415414
Diamond Stone,1997-02-10,2016-17,Los Angeles Clippers,NBA,543471
Amar'e Stoudemire,1982-11-16,2009-10,Phoenix Suns,NBA,16378325
Peja Stojaković,1977-06-09,2009-10,New Orleans Hornets,NBA,13392000
Rodney Stuckey,1986-04-21,2009-10,Detroit Pistons,NBA,1805040
Julyan Stone,1988-12-07,2012-13,Denver Nuggets,NBA,762195
Julyan Stone,1988-12-07,2016-17,Indiana Pacers,NBA,50000
Julyan Stone,1988-12-07,2017-18,Charlotte Hornets,NBA,1524305
Max Strus,1996-03-28,2019-20,Chicago Bulls,NBA,< Minimum
Max Strus,1996-03-28,2020-21,Miami Heat,NBA,< Minimum
David Stockton,1991-06-24,2014-15,Sacramento Kings,NBA,29843
Greg Stiemsma,1985-09-26,2011-12,Boston Celtics,NBA,762195
Tony Wroten,1993-04-13,2012-13,Memphis Grizzlies,NBA,1110120
Diamond Stone,1997-02-10,2017-18,Atlanta Hawks,NBA,1312611
Diamond Stone,1997-02-10,2017-18,Chicago Bulls,NBA,50000
Amar'e Stoudemire,1982-11-16,2010-11,New York Knicks,NBA,16486611
Amar'e Stoudemire,1982-11-16,2011-12,New York Knicks,NBA,18217705
Amar'e Stoudemire,1982-11-16,2012-13,New York Knicks,NBA,19948799
Amar'e Stoudemire,1982-11-16,2013-14,New York Knicks,NBA,21679893
Amar'e Stoudemire,1982-11-16,2014-15,New York Knicks,NBA,23410988
Amar'e Stoudemire,1982-11-16,2014-15,Dallas Mavericks,NBA,485670
Amar'e Stoudemire,1982-11-16,2015-16,Miami Heat,NBA,1499187
Julian Wright,1987-05-20,2009-10,New Orleans Hornets,NBA,2000040
Peja Stojaković,1977-06-09,2010-11,Toronto Raptors,NBA,14896000
Peja Stojaković,1977-06-09,2010-11,Dallas Mavericks,NBA,636320
Justin Wright-Foreman,1997-10-27,2019-20,Utah Jazz,NBA,< Minimum
Rodney Stuckey,1986-04-21,2010-11,Detroit Pistons,NBA,2767126
Rodney Stuckey,1986-04-21,2011-12,Detroit Pistons,NBA,8500000
Rodney Stuckey,1986-04-21,2012-13,Detroit Pistons,NBA,8500000
Rodney Stuckey,1986-04-21,2013-14,Detroit Pistons,NBA,8500000
Rodney Stuckey,1986-04-21,2014-15,Indiana Pacers,NBA,1227985
Rodney Stuckey,1986-04-21,2015-16,Indiana Pacers,NBA,6500000
Rodney Stuckey,1986-04-21,2016-17,Indiana Pacers,NBA,7000000
Svi Mykhailiuk,1997-06-10,2018-19,Detroit Pistons,NBA,1487694
David Stockton,1991-06-24,2017-18,Utah Jazz,NBA,192813
Greg Stiemsma,1985-09-26,2012-13,Minnesota Timberwolves,NBA,2575000
Greg Stiemsma,1985-09-26,2013-14,New Orleans Pelicans,NBA,2676000
Greg Stiemsma,1985-09-26,2014-15,Toronto Raptors,NBA,981084
Tony Wroten,1993-04-13,2013-14,Memphis Grizzlies,NBA,1160040
Tony Wroten,1993-04-13,2014-15,Philadelphia 76ers,NBA,1210080
Tony Wroten,1993-04-13,2015-16,Philadelphia 76ers,NBA,2179354
Tony Wroten,1993-04-13,2015-16,New York Knicks,NBA,167406
Tony Wroten,1993-04-13,2016-17,Memphis Grizzlies,NBA,25000
Džanan Musa,1999-05-08,2018-19,Brooklyn Nets,NBA,1632240
Toure' Murry,1989-11-08,2014-15,Utah Jazz,NBA,250000
Jamal Murray,1997-02-23,2016-17,Denver Nuggets,NBA,3210840
Julian Wright,1987-05-20,2010-11,Toronto Raptors,NBA,2858057
Mike Muscala,1991-07-01,2014-15,Atlanta Hawks,NBA,816482
Ronald Murray,1979-07-29,2009-10,Chicago Bulls,NBA,1990000
Svi Mykhailiuk,1997-06-10,2019-20,Detroit Pistons,NBA,1416852
Svi Mykhailiuk,1997-06-10,2020-21,Oklahoma City Thunder,NBA,1663861
Džanan Musa,1999-05-08,2019-20,Brooklyn Nets,NBA,1911600
Džanan Musa,1999-05-08,2020-21,Detroit Pistons,NBA,2002800
Toure' Murry,1989-11-08,2014-15,Washington Wizards,NBA,96056
Jamal Murray,1997-02-23,2017-18,Denver Nuggets,NBA,3355320
Jamal Murray,1997-02-23,2018-19,Denver Nuggets,NBA,3499800
Jamal Murray,1997-02-23,2019-20,Denver Nuggets,NBA,4444746
Jamal Murray,1997-02-23,2020-21,Denver Nuggets,NBA,27285000
Mike Muscala,1991-07-01,2015-16,Atlanta Hawks,NBA,947276
Mike Muscala,1991-07-01,2016-17,Atlanta Hawks,NBA,1015696
Mike Muscala,1991-07-01,2017-18,Atlanta Hawks,NBA,5000000
Mike Muscala,1991-07-01,2018-19,Los Angeles Lakers,NBA,5000000
Mike Muscala,1991-07-01,2019-20,Oklahoma City Thunder,NBA,2028594
Mike Muscala,1991-07-01,2020-21,Oklahoma City Thunder,NBA,2283034
Dejounte Murray,1996-09-19,2016-17,San Antonio Spurs,NBA,1180080
Dejounte Murray,1996-09-19,2017-18,San Antonio Spurs,NBA,1312611
Dejounte Murray,1996-09-19,2018-19,San Antonio Spurs,NBA,1544951
Dejounte Murray,1996-09-19,2019-20,San Antonio Spurs,NBA,2321735
Dejounte Murray,1996-09-19,2020-21,San Antonio Spurs,NBA,14286000
Dwight Buycks,1989-03-06,2014-15,Los Angeles Lakers,NBA,48028
Dwight Buycks,1989-03-06,2017-18,Detroit Pistons,NBA,748160
Caron Butler,1980-03-13,2009-10,Dallas Mavericks,NBA,9780970
Will Bynum,1983-01-04,2009-10,Detroit Pistons,NBA,825497
Jimmy Butler,1989-09-14,2011-12,Chicago Bulls,NBA,1020960
Rasual Butler,1979-05-23,2009-10,Los Angeles Clippers,NBA,3945000
Caron Butler,1980-03-13,2010-11,Dallas Mavericks,NBA,10561960
Caron Butler,1980-03-13,2011-12,Los Angeles Clippers,NBA,8000000
Caron Butler,1980-03-13,2012-13,Los Angeles Clippers,NBA,8000000
Caron Butler,1980-03-13,2013-14,Phoenix Suns,NBA,8000000
Caron Butler,1980-03-13,2014-15,Milwaukee Bucks,NBA,4500000
Caron Butler,1980-03-13,2015-16,Sacramento Kings,NBA,1499187
Caron Butler,1980-03-13,2016-17,Sacramento Kings,NBA,517220
Caron Butler,1980-03-13,2017-18,Sacramento Kings,NBA,517220
Caron Butler,1980-03-13,2018-19,Sacramento Kings,NBA,517219
Will Bynum,1983-01-04,2010-11,Detroit Pistons,NBA,3250000
Will Bynum,1983-01-04,2011-12,Detroit Pistons,NBA,3250000
Will Bynum,1983-01-04,2012-13,Detroit Pistons,NBA,3250000
Will Bynum,1983-01-04,2013-14,Detroit Pistons,NBA,2790343
Will Bynum,1983-01-04,2014-15,Boston Celtics,NBA,2915908
Will Bynum,1983-01-04,2014-15,Washington Wizards,NBA,144468
Andrew Bynum,1987-10-27,2009-10,Los Angeles Lakers,NBA,12526998
Jimmy Butler,1989-09-14,2012-13,Chicago Bulls,NBA,1097520
Jimmy Butler,1989-09-14,2013-14,Chicago Bulls,NBA,1112880
Jimmy Butler,1989-09-14,2014-15,Chicago Bulls,NBA,2008748
Jimmy Butler,1989-09-14,2015-16,Chicago Bulls,NBA,15260000
Jimmy Butler,1989-09-14,2016-17,Chicago Bulls,NBA,17552209
Jimmy Butler,1989-09-14,2017-18,Minnesota Timberwolves,NBA,19301070
Jimmy Butler,1989-09-14,2018-19,Philadelphia 76ers,NBA,20445779
Jimmy Butler,1989-09-14,2019-20,Miami Heat,NBA,32742000
Deonte Burton,1994-01-31,2018-19,Oklahoma City Thunder,NBA,151587
Alec Burks,1991-07-20,2011-12,Utah Jazz,NBA,2020200
Rasual Butler,1979-05-23,2010-11,Los Angeles Clippers,NBA,2400000
Rasual Butler,1979-05-23,2011-12,Toronto Raptors,NBA,1229255
Rasual Butler,1979-05-23,2014-15,Washington Wizards,NBA,1448490
Rasual Butler,1979-05-23,2015-16,San Antonio Spurs,NBA,1499187
Pape Sy,1988-04-05,2010-11,Atlanta Hawks,NBA,473604
Caleb Swanigan,1997-04-18,2017-18,Portland Trail Blazers,NBA,1465920
Edmond Sumner,1995-12-31,2017-18,Indiana Pacers,NBA,< Minimum
Andrew Bynum,1987-10-27,2010-11,Los Angeles Lakers,NBA,13700000
Andrew Bynum,1987-10-27,2011-12,Los Angeles Lakers,NBA,14900000
Andrew Bynum,1987-10-27,2012-13,Philadelphia 76ers,NBA,16889000
Andrew Bynum,1987-10-27,2013-14,Chicago Bulls,NBA,6000000
Jimmy Butler,1989-09-14,2020-21,Miami Heat,NBA,34379100
Deonte Burton,1994-01-31,2019-20,Oklahoma City Thunder,NBA,1416852
Alec Burks,1991-07-20,2012-13,Utah Jazz,NBA,2171640
Alec Burks,1991-07-20,2013-14,Utah Jazz,NBA,2202000
Alec Burks,1991-07-20,2014-15,Utah Jazz,NBA,3034356
Alec Burks,1991-07-20,2015-16,Utah Jazz,NBA,9213484
Alec Burks,1991-07-20,2016-17,Utah Jazz,NBA,10154495
Alec Burks,1991-07-20,2017-18,Utah Jazz,NBA,10845506
Alec Burks,1991-07-20,2018-19,Sacramento Kings,NBA,11536515
Alec Burks,1991-07-20,2019-20,Philadelphia 76ers,NBA,2320044
Alec Burks,1991-07-20,2020-21,New York Knicks,NBA,6000000
DaJuan Summers,1988-01-24,2009-10,Detroit Pistons,NBA,457588
Jared Sullinger,1992-03-04,2012-13,Boston Celtics,NBA,1306920
Caleb Swanigan,1997-04-18,2018-19,Sacramento Kings,NBA,1740000
Caleb Swanigan,1997-04-18,2019-20,Portland Trail Blazers,NBA,2033160
Edmond Sumner,1995-12-31,2018-19,Indiana Pacers,NBA,449794
Edmond Sumner,1995-12-31,2019-20,Indiana Pacers,NBA,2000000
Edmond Sumner,1995-12-31,2020-21,Indiana Pacers,NBA,2160000
DaJuan Summers,1988-01-24,2010-11,Detroit Pistons,NBA,762195
DaJuan Summers,1988-01-24,2011-12,New Orleans Hornets,NBA,303137
Jared Sullinger,1992-03-04,2013-14,Boston Celtics,NBA,1365720
Jared Sullinger,1992-03-04,2014-15,Boston Celtics,NBA,1424520
Jared Sullinger,1992-03-04,2015-16,Boston Celtics,NBA,2269260
Jared Sullinger,1992-03-04,2016-17,Phoenix Suns,NBA,5628000
Kevin Murphy,1990-03-06,2012-13,Utah Jazz,NBA,473604
Erik Murphy,1990-10-26,2014-15,Boston Celtics,NBA,100000
Troy Murphy,1980-05-02,2009-10,Indiana Pacers,NBA,11047619
Kevin Murphy,1990-03-06,2014-15,Utah Jazz,NBA,65000
Troy Murphy,1980-05-02,2010-11,Golden State Warriors,NBA,11968253
Troy Murphy,1980-05-02,2011-12,Los Angeles Lakers,NBA,1352181
Troy Murphy,1980-05-02,2012-13,Dallas Mavericks,NBA,214758
Timofey Mozgov,1986-07-16,2010-11,Denver Nuggets,NBA,3567096
Xavier Munford,1992-06-01,2015-16,Memphis Grizzlies,NBA,89588
Timofey Mozgov,1986-07-16,2011-12,Denver Nuggets,NBA,3343896
Timofey Mozgov,1986-07-16,2012-13,Denver Nuggets,NBA,3140429
Timofey Mozgov,1986-07-16,2013-14,Denver Nuggets,NBA,4400000
Timofey Mozgov,1986-07-16,2014-15,Cleveland Cavaliers,NBA,4650000
Timofey Mozgov,1986-07-16,2015-16,Cleveland Cavaliers,NBA,4950000
Timofey Mozgov,1986-07-16,2016-17,Los Angeles Lakers,NBA,16000000
Timofey Mozgov,1986-07-16,2017-18,Brooklyn Nets,NBA,15280000
Timofey Mozgov,1986-07-16,2018-19,Orlando Magic,NBA,16000000
Timofey Mozgov,1986-07-16,2019-20,Orlando Magic,NBA,5573333
Byron Mullens,1989-02-14,2009-10,Oklahoma City Thunder,NBA,1120200
Xavier Munford,1992-06-01,2017-18,Milwaukee Bucks,NBA,< Minimum
Mychal Mulder,1994-06-12,2019-20,Golden State Warriors,NBA,238534
Trey Burke,1992-11-12,2013-14,Utah Jazz,NBA,2438760
Shabazz Muhammad,1992-11-13,2013-14,Minnesota Timberwolves,NBA,1887120
Emmanuel Mudiay,1996-03-05,2015-16,Denver Nuggets,NBA,3102240
Thomas Bryant,1997-07-31,2017-18,Los Angeles Lakers,NBA,815615
Reggie Bullock,1991-03-16,2013-14,Los Angeles Clippers,NBA,1149000
Chase Budinger,1988-05-22,2009-10,Houston Rockets,NBA,457588
Nicolás Brussino,1993-03-02,2016-17,Dallas Mavericks,NBA,543471
Greg Buckner,1976-09-16,2009-10,Dallas Mavericks,NBA,1000000
Elijah Bryant,1995-04-19,2020-21,Milwaukee Bucks,NBA,24611
Kobe Bryant,1978-08-23,2009-10,Los Angeles Lakers,NBA,23034375
Jalen Brunson,1996-08-31,2018-19,Dallas Mavericks,NBA,1230000
Byron Mullens,1989-02-14,2010-11,Oklahoma City Thunder,NBA,1204200
Byron Mullens,1989-02-14,2011-12,Charlotte Bobcats,NBA,1288200
Byron Mullens,1989-02-14,2012-13,Charlotte Bobcats,NBA,2253306
Byron Mullens,1989-02-14,2013-14,Los Angeles Clippers,NBA,947907
Mychal Mulder,1994-06-12,2020-21,Golden State Warriors,NBA,1517981
Trey Burke,1992-11-12,2014-15,Utah Jazz,NBA,2548560
Trey Burke,1992-11-12,2015-16,Utah Jazz,NBA,2658240
Trey Burke,1992-11-12,2016-17,Washington Wizards,NBA,3386598
Trey Burke,1992-11-12,2017-18,New York Knicks,NBA,784160
Trey Burke,1992-11-12,2018-19,Dallas Mavericks,NBA,1795015
Trey Burke,1992-11-12,2019-20,Philadelphia 76ers,NBA,2028594
Trey Burke,1992-11-12,2019-20,Dallas Mavericks,NBA,229220
Trey Burke,1992-11-12,2020-21,Dallas Mavericks,NBA,3000000
Shabazz Muhammad,1992-11-13,2014-15,Minnesota Timberwolves,NBA,1971960
Shabazz Muhammad,1992-11-13,2015-16,Minnesota Timberwolves,NBA,2056920
Shabazz Muhammad,1992-11-13,2016-17,Minnesota Timberwolves,NBA,3046299
Shabazz Muhammad,1992-11-13,2017-18,Minnesota Timberwolves,NBA,1238616
Shabazz Muhammad,1992-11-13,2017-18,Milwaukee Bucks,NBA,324203
Emmanuel Mudiay,1996-03-05,2016-17,Denver Nuggets,NBA,3241800
Emmanuel Mudiay,1996-03-05,2017-18,New York Knicks,NBA,3381480
Emmanuel Mudiay,1996-03-05,2018-19,New York Knicks,NBA,4294480
Emmanuel Mudiay,1996-03-05,2019-20,Utah Jazz,NBA,1737145
Thomas Bryant,1997-07-31,2018-19,Washington Wizards,NBA,1378242
Thomas Bryant,1997-07-31,2019-20,Washington Wizards,NBA,8000000
Thomas Bryant,1997-07-31,2020-21,Washington Wizards,NBA,8333333
Reggie Bullock,1991-03-16,2014-15,Phoenix Suns,NBA,1200720
Reggie Bullock,1991-03-16,2015-16,Detroit Pistons,NBA,1252440
Reggie Bullock,1991-03-16,2016-17,Detroit Pistons,NBA,2255644
Reggie Bullock,1991-03-16,2017-18,Detroit Pistons,NBA,2500000
Reggie Bullock,1991-03-16,2018-19,Los Angeles Lakers,NBA,2500000
Reggie Bullock,1991-03-16,2019-20,New York Knicks,NBA,4000000
Reggie Bullock,1991-03-16,2020-21,New York Knicks,NBA,4200000
Chase Budinger,1988-05-22,2010-11,Houston Rockets,NBA,780871
Chase Budinger,1988-05-22,2011-12,Houston Rockets,NBA,854389
Chase Budinger,1988-05-22,2012-13,Minnesota Timberwolves,NBA,885120
Chase Budinger,1988-05-22,2013-14,Minnesota Timberwolves,NBA,5000000
Chase Budinger,1988-05-22,2014-15,Minnesota Timberwolves,NBA,5000000
Chase Budinger,1988-05-22,2015-16,Indiana Pacers,NBA,5000000
Chase Budinger,1988-05-22,2015-16,Phoenix Suns,NBA,258082
Nicolás Brussino,1993-03-02,2017-18,Atlanta Hawks,NBA,905249
Chris Wright,1988-09-30,2011-12,Golden State Warriors,NBA,473604
Kobe Bryant,1978-08-23,2010-11,Los Angeles Lakers,NBA,24806250
Kobe Bryant,1978-08-23,2011-12,Los Angeles Lakers,NBA,25244493
Kobe Bryant,1978-08-23,2012-13,Los Angeles Lakers,NBA,27849149
Kobe Bryant,1978-08-23,2013-14,Los Angeles Lakers,NBA,30453805
Kobe Bryant,1978-08-23,2014-15,Los Angeles Lakers,NBA,23500000
Kobe Bryant,1978-08-23,2015-16,Los Angeles Lakers,NBA,25000000
Jalen Brunson,1996-08-31,2019-20,Dallas Mavericks,NBA,1416852
Jalen Brunson,1996-08-31,2020-21,Dallas Mavericks,NBA,1663861
Dorell Wright,1985-12-02,2009-10,Miami Heat,NBA,2750000
Arnett Moultrie,1990-11-18,2012-13,Philadelphia 76ers,NBA,1042320
Delon Wright,1992-04-26,2015-16,Toronto Raptors,NBA,1509360
Brandan Wright,1987-10-05,2009-10,Golden State Warriors,NBA,2671440
Johnathan Motley,1995-05-04,2017-18,Dallas Mavericks,NBA,< Minimum
Antoine Wright,1984-02-06,2009-10,Toronto Raptors,NBA,2110550
Chris Wright,1988-09-30,2016-17,Oklahoma City Thunder,NBA,100000
Dorell Wright,1985-12-02,2010-11,Golden State Warriors,NBA,3500000
Dorell Wright,1985-12-02,2011-12,Golden State Warriors,NBA,3823000
Dorell Wright,1985-12-02,2012-13,Philadelphia 76ers,NBA,4106000
Dorell Wright,1985-12-02,2013-14,Portland Trail Blazers,NBA,3000000
Dorell Wright,1985-12-02,2014-15,Portland Trail Blazers,NBA,3150000
Dorell Wright,1985-12-02,2015-16,Miami Heat,NBA,17637
Arnett Moultrie,1990-11-18,2013-14,Philadelphia 76ers,NBA,1089240
Arnett Moultrie,1990-11-18,2014-15,New York Knicks,NBA,1136160
Delon Wright,1992-04-26,2016-17,Toronto Raptors,NBA,1577280
Delon Wright,1992-04-26,2017-18,Toronto Raptors,NBA,1645200
Delon Wright,1992-04-26,2018-19,Memphis Grizzlies,NBA,2536898
Delon Wright,1992-04-26,2019-20,Dallas Mavericks,NBA,9473684
Delon Wright,1992-04-26,2020-21,Sacramento Kings,NBA,9000000
Brandan Wright,1987-10-05,2010-11,New Jersey Nets,NBA,3398072
Brandan Wright,1987-10-05,2013-14,Dallas Mavericks,NBA,5000000
Brandan Wright,1987-10-05,2014-15,Phoenix Suns,NBA,5000000
Brandan Wright,1987-10-05,2015-16,Memphis Grizzlies,NBA,5500000
Brandan Wright,1987-10-05,2016-17,Memphis Grizzlies,NBA,5700000
Brandan Wright,1987-10-05,2017-18,Memphis Grizzlies,NBA,5179760
Brandan Wright,1987-10-05,2017-18,Houston Rockets,NBA,490461
Johnathan Motley,1995-05-04,2018-19,Los Angeles Clippers,NBA,< Minimum
Johnathan Motley,1995-05-04,2019-20,Los Angeles Clippers,NBA,< Minimum
Antoine Wright,1984-02-06,2010-11,Sacramento Kings,NBA,992680
Donatas Motiejūnas,1990-09-20,2012-13,Houston Rockets,NBA,1453520
Adam Morrison,1984-07-19,2009-10,Los Angeles Lakers,NBA,5257229
Randolph Morris,1986-01-02,2009-10,Atlanta Hawks,NBA,855189
Donatas Motiejūnas,1990-09-20,2013-14,Houston Rockets,NBA,1422720
Donatas Motiejūnas,1990-09-20,2014-15,Houston Rockets,NBA,1483920
Donatas Motiejūnas,1990-09-20,2015-16,Houston Rockets,NBA,2288205
Donatas Motiejūnas,1990-09-20,2016-17,New Orleans Pelicans,NBA,576724
Donatas Motiejūnas,1990-09-20,2018-19,San Antonio Spurs,NBA,59820
Monte Morris,1995-06-27,2017-18,Denver Nuggets,NBA,< Minimum
Jaylen Morris,1995-09-19,2017-18,Atlanta Hawks,NBA,193536
Markieff Morris,1989-09-02,2011-12,Phoenix Suns,NBA,1919160
Anthony Morrow,1985-09-27,2009-10,Golden State Warriors,NBA,736420
Marcus Morris,1989-09-02,2011-12,Houston Rockets,NBA,1823280
Eric Moreland,1991-12-24,2014-15,Sacramento Kings,NBA,507336
Juwan Morgan,1997-04-17,2019-20,Utah Jazz,NBA,746054
Troy Brown Jr.,1999-07-28,2018-19,Washington Wizards,NBA,2749080
Shannon Brown,1985-11-29,2009-10,Los Angeles Lakers,NBA,2000000
Moses Brown,1999-10-13,2019-20,Portland Trail Blazers,NBA,< Minimum
Markel Brown,1992-01-29,2014-15,Brooklyn Nets,NBA,507336
Darius Morris,1991-01-03,2011-12,Los Angeles Lakers,NBA,473604
Sterling Brown,1995-02-10,2017-18,Milwaukee Bucks,NBA,815615
Monte Morris,1995-06-27,2018-19,Denver Nuggets,NBA,1349383
Monte Morris,1995-06-27,2019-20,Denver Nuggets,NBA,1588231
Monte Morris,1995-06-27,2020-21,Denver Nuggets,NBA,1723707
Markieff Morris,1989-09-02,2012-13,Phoenix Suns,NBA,2063040
Markieff Morris,1989-09-02,2013-14,Phoenix Suns,NBA,2091840
Markieff Morris,1989-09-02,2014-15,Phoenix Suns,NBA,2989239
Markieff Morris,1989-09-02,2015-16,Washington Wizards,NBA,8000000
Markieff Morris,1989-09-02,2016-17,Washington Wizards,NBA,7400000
Markieff Morris,1989-09-02,2017-18,Washington Wizards,NBA,8000000
Markieff Morris,1989-09-02,2018-19,New Orleans Pelicans,NBA,8600000
Markieff Morris,1989-09-02,2018-19,Oklahoma City Thunder,NBA,573295
Markieff Morris,1989-09-02,2019-20,Detroit Pistons,NBA,2241808
Markieff Morris,1989-09-02,2019-20,Los Angeles Lakers,NBA,1750000
Anthony Morrow,1985-09-27,2010-11,New Jersey Nets,NBA,4000000
Anthony Morrow,1985-09-27,2011-12,New Jersey Nets,NBA,4000000
Anthony Morrow,1985-09-27,2012-13,Dallas Mavericks,NBA,4000000
Anthony Morrow,1985-09-27,2013-14,New Orleans Pelicans,NBA,1027424
Anthony Morrow,1985-09-27,2014-15,Oklahoma City Thunder,NBA,3200000
Anthony Morrow,1985-09-27,2015-16,Oklahoma City Thunder,NBA,3344000
Anthony Morrow,1985-09-27,2016-17,Chicago Bulls,NBA,3488000
Marcus Morris,1989-09-02,2012-13,Phoenix Suns,NBA,1959960
Marcus Morris,1989-09-02,2013-14,Phoenix Suns,NBA,1987320
Marcus Morris,1989-09-02,2014-15,Phoenix Suns,NBA,2943221
Marcus Morris,1989-09-02,2015-16,Detroit Pistons,NBA,5000000
Marcus Morris,1989-09-02,2016-17,Detroit Pistons,NBA,4625000
Marcus Morris,1989-09-02,2017-18,Boston Celtics,NBA,5000000
Marcus Morris,1989-09-02,2018-19,Boston Celtics,NBA,5375000
Marcus Morris,1989-09-02,2019-20,Los Angeles Clippers,NBA,15000000
Marcus Morris,1989-09-02,2020-21,Los Angeles Clippers,NBA,14883721
Eric Moreland,1991-12-24,2015-16,Sacramento Kings,NBA,845059
Eric Moreland,1991-12-24,2017-18,Detroit Pistons,NBA,1739333
Eric Moreland,1991-12-24,2018-19,Phoenix Suns,NBA,239035
Eric Moreland,1991-12-24,2018-19,Toronto Raptors,NBA,106237
Juwan Morgan,1997-04-17,2020-21,Utah Jazz,NBA,1517981
Troy Brown Jr.,1999-07-28,2019-20,Washington Wizards,NBA,3219480
Troy Brown Jr.,1999-07-28,2020-21,Chicago Bulls,NBA,3372840
Shannon Brown,1985-11-29,2010-11,Los Angeles Lakers,NBA,2200000
Shannon Brown,1985-11-29,2011-12,Phoenix Suns,NBA,3500000
Shannon Brown,1985-11-29,2012-13,Phoenix Suns,NBA,3500000
Shannon Brown,1985-11-29,2013-14,Phoenix Suns,NBA,3500000
Moses Brown,1999-10-13,2020-21,Oklahoma City Thunder,NBA,1250000
