name,Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS
Los Angeles Lakers,2017-18,NBA,Los Angeles Lakers,35,47,.427,3rd of 5,-1.44,100.3,3.0,106.5,-2.1,108.0,-0.6,,L. Walton,J. Randle
Los Angeles Lakers,2016-17,NBA,Los Angeles Lakers,26,56,.317,4th of 5,-6.29,98.5,2.1,106.0,-2.8,113.0,4.2,,L. Walton,L. Williams
Los Angeles Lakers,2015-16,NBA,Los Angeles Lakers,17,65,.207,5th of 5,-8.92,95.6,-0.2,101.6,-4.8,111.6,5.2,,B. Scott,L. Williams
Los Angeles Lakers,2014-15,NBA,Los Angeles Lakers,21,61,.256,5th of 5,-6.17,94.0,0.1,103.4,-2.2,110.6,5.0,,B. Scott,E. Davis
Los Angeles Lakers,2013-14,NBA,Los Angeles Lakers,27,55,.329,5th of 5,-5.33,98.7,4.8,104.2,-2.5,110.6,3.9,,M. D'Antoni,J. Meeks
Los Angeles Lakers,2012-13,NBA,Los Angeles Lakers,45,37,.549,3rd of 5,1.48,94.4,2.4,107.8,1.9,106.6,0.7,Lost W. Conf. 1st Rnd.,M. Brown,K. Bryant
Los Angeles Lakers,2011-12,NBA,Los Angeles Lakers,41,25,.621,1st of 5,1.96,90.5,-0.8,106.0,1.4,104.4,-0.2,Lost W. Conf. Semis,M. Brown,P. Gasol
Los Angeles Lakers,2010-11,NBA,Los Angeles Lakers,57,25,.695,1st of 5,6.01,90.7,-1.4,111.0,3.7,104.3,-3.0,Lost W. Conf. Semis,P. Jackson,P. Gasol
Los Angeles Lakers,2009-10,NBA,Los Angeles Lakers,57,25,.695,1st of 5,4.78,92.8,0.1,108.8,1.2,103.7,-3.9,Won Finals,P. Jackson,P. Gasol
Los Angeles Clippers,2020-21,NBA,Los Angeles Clippers,47,25,.653,2nd of 5,6.02,96.9,-2.3,117.6,5.3,111.2,-1.1,Lost W. Conf. Finals,T. Lue,K. Leonard
Los Angeles Clippers,2019-20,NBA,Los Angeles Clippers,49,23,.681,2nd of 5,6.66,101.5,1.2,113.9,3.3,107.6,-3.0,Lost W. Conf. Semis,D. Rivers,K. Leonard
Los Angeles Clippers,2018-19,NBA,Los Angeles Clippers,48,34,.585,2nd of 5,1.09,101.7,1.7,112.4,2.0,111.5,1.1,Lost W. Conf. 1st Rnd.,D. Rivers,M. Harrell
Los Angeles Clippers,2017-18,NBA,Los Angeles Clippers,42,40,.512,2nd of 5,0.15,98.7,1.4,110.3,1.7,110.2,1.6,,D. Rivers,D. Jordan
Los Angeles Clippers,2016-17,NBA,Los Angeles Clippers,51,31,.622,2nd of 5,4.42,96.1,-0.3,112.7,3.9,108.2,-0.6,Lost W. Conf. 1st Rnd.,D. Rivers,D. Jordan
Los Angeles Clippers,2015-16,NBA,Los Angeles Clippers,53,29,.646,2nd of 5,4.13,95.8,0.0,108.3,1.9,103.8,-2.6,Lost W. Conf. 1st Rnd.,D. Rivers,C. Paul
Los Angeles Clippers,2014-15,NBA,Los Angeles Clippers,56,26,.683,2nd of 5,6.80,94.7,0.8,112.4,6.8,105.5,-0.1,Lost W. Conf. Semis,D. Rivers,C. Paul
Los Angeles Clippers,2013-14,NBA,Los Angeles Clippers,57,25,.695,1st of 5,7.27,95.9,2.0,112.1,5.4,104.8,-1.9,Lost W. Conf. Semis,D. Rivers,B. Griffin
Los Angeles Clippers,2012-13,NBA,Los Angeles Clippers,56,26,.683,1st of 5,6.43,91.1,-0.9,110.6,4.7,103.6,-2.3,Lost W. Conf. 1st Rnd.,V. Del Negro,C. Paul
Los Angeles Clippers,2011-12,NBA,Los Angeles Clippers,40,26,.606,2nd of 5,2.82,89.2,-2.1,108.5,3.9,105.7,1.1,Lost W. Conf. Semis,V. Del Negro,C. Paul
Los Angeles Clippers,2010-11,NBA,Los Angeles Clippers,32,50,.390,4th of 5,-2.71,92.8,0.7,105.3,-2.0,108.7,1.4,,V. Del Negro,B. Griffin
Los Angeles Clippers,2009-10,NBA,Los Angeles Clippers,29,53,.354,3rd of 5,-6.01,92.6,-0.1,103.3,-4.3,110.1,2.5,,M. Dunleavy,M. Camby
Indiana Pacers,2020-21,NBA,Indiana Pacers,34,38,.472,2nd of 5,-0.13,101.6,2.4,112.4,0.1,112.4,0.1,,N. Bjorkgren,D. Sabonis
Indiana Pacers,2019-20,NBA,Indiana Pacers,45,28,.616,2nd of 5,1.63,98.9,-1.4,110.0,-0.6,108.0,-2.6,Lost E. Conf. 1st Rnd.,N. McMillan,D. Sabonis
Indiana Pacers,2018-19,NBA,Indiana Pacers,48,34,.585,2nd of 5,2.76,98.1,-1.9,109.9,-0.5,106.5,-3.9,Lost E. Conf. 1st Rnd.,N. McMillan,D. Sabonis
Indiana Pacers,2017-18,NBA,Indiana Pacers,48,34,.585,2nd of 5,1.18,96.0,-1.3,109.5,0.9,108.1,-0.5,Lost E. Conf. 1st Rnd.,N. McMillan,V. Oladipo
Indiana Pacers,2016-17,NBA,Indiana Pacers,42,40,.512,3rd of 5,-0.64,95.9,-0.5,108.6,-0.2,108.8,0.0,Lost E. Conf. 1st Rnd.,N. McMillan,J. Teague
Indiana Pacers,2015-16,NBA,Indiana Pacers,45,37,.549,2nd of 5,1.62,96.6,0.8,104.6,-1.8,102.9,-3.5,Lost E. Conf. 1st Rnd.,F. Vogel,P. George
Indiana Pacers,2014-15,NBA,Indiana Pacers,38,44,.463,4th of 5,-0.23,93.2,-0.7,103.5,-2.1,103.2,-2.4,,F. Vogel,G. Hill
Indiana Pacers,2013-14,NBA,Indiana Pacers,56,26,.683,1st of 5,3.63,92.5,-1.4,104.1,-2.6,99.3,-7.4,Lost E. Conf. Finals,F. Vogel,P. George
Indiana Pacers,2012-13,NBA,Indiana Pacers,49,32,.605,1st of 5,3.34,90.2,-1.8,104.3,-1.6,99.8,-6.1,Lost E. Conf. Finals,F. Vogel,G. Hill
Indiana Pacers,2011-12,NBA,Indiana Pacers,42,24,.636,2nd of 5,2.60,90.7,-0.6,106.7,2.1,103.1,-1.5,Lost E. Conf. Semis,F. Vogel,D. Granger
Indiana Pacers,2010-11,NBA,Indiana Pacers,37,45,.451,2nd of 5,-1.38,94.7,2.6,104.8,-2.5,106.0,-1.3,Lost E. Conf. 1st Rnd.,J. O'Brien,D. Granger
Indiana Pacers,2009-10,NBA,Indiana Pacers,32,50,.390,4th of 5,-3.11,97.1,4.4,103.7,-3.9,106.8,-0.8,,J. O'Brien,T. Murphy
Houston Rockets,2020-21,NBA,Houston Rockets,17,55,.236,5th of 5,-7.50,101.4,2.2,107.1,-5.2,114.9,2.6,,S. Silas,J. Tate
Houston Rockets,2019-20,NBA,Houston Rockets,44,28,.611,1st of 5,3.13,103.7,3.4,112.9,2.3,110.1,-0.5,Lost W. Conf. Semis,M. D'Antoni,J. Harden
Houston Rockets,2018-19,NBA,Houston Rockets,53,29,.646,1st of 5,4.96,97.9,-2.1,115.5,5.1,110.7,0.3,Lost W. Conf. Semis,M. D'Antoni,J. Harden
Houston Rockets,2017-18,NBA,Houston Rockets,65,17,.793,1st of 5,8.21,97.6,0.3,114.7,6.1,106.1,-2.5,Lost W. Conf. Finals,M. D'Antoni,J. Harden
Houston Rockets,2016-17,NBA,Houston Rockets,55,27,.671,2nd of 5,5.84,100.0,3.6,114.7,5.9,109.0,0.2,Lost W. Conf. Semis,M. D'Antoni,J. Harden
Houston Rockets,2015-16,NBA,Houston Rockets,41,41,.500,4th of 5,0.34,97.6,1.8,108.3,1.9,108.1,1.7,Lost W. Conf. 1st Rnd.,K. McHale,J. Harden
Houston Rockets,2014-15,NBA,Houston Rockets,56,26,.683,1st of 5,3.82,96.5,2.6,107.0,1.4,103.4,-2.2,Lost W. Conf. Finals,K. McHale,J. Harden
Houston Rockets,2013-14,NBA,Houston Rockets,54,28,.659,2nd of 5,5.06,96.3,2.4,111.0,4.3,106.3,-0.4,Lost W. Conf. 1st Rnd.,K. McHale,J. Harden
Houston Rockets,2012-13,NBA,Houston Rockets,45,37,.549,3rd of 5,3.69,96.1,4.1,109.7,3.8,106.1,0.2,Lost W. Conf. 1st Rnd.,K. McHale,J. Harden
Houston Rockets,2011-12,NBA,Houston Rockets,34,32,.515,4th of 5,0.57,91.7,0.4,105.5,0.9,105.2,0.6,,K. McHale,G. Dragić
Houston Rockets,2010-11,NBA,Houston Rockets,43,39,.524,5th of 5,2.37,94.2,2.1,111.3,4.0,109.0,1.7,,R. Adelman,K. Martin
Houston Rockets,2009-10,NBA,Houston Rockets,42,40,.512,3rd of 5,-0.02,94.0,1.3,107.6,0.0,108.0,0.4,,R. Adelman,L. Scola
Golden State Warriors,2020-21,NBA,Golden State Warriors,39,33,.542,4th of 5,1.10,102.2,3.0,111.1,-1.2,110.1,-2.2,,S. Kerr,S. Curry
Golden State Warriors,2019-20,NBA,Golden State Warriors,15,50,.231,5th of 5,-8.12,100.3,0.0,105.2,-5.4,113.8,3.2,,S. Kerr,M. Chriss
Golden State Warriors,2018-19,NBA,Golden State Warriors,57,25,.695,1st of 5,6.42,100.9,0.9,115.9,5.5,109.5,-0.9,Lost Finals,S. Kerr,K. Durant
Golden State Warriors,2017-18,NBA,Golden State Warriors,58,24,.707,1st of 5,5.79,99.6,2.3,113.6,5.0,107.6,-1.0,Won Finals,S. Kerr,K. Durant
Golden State Warriors,2016-17,NBA,Golden State Warriors,67,15,.817,1st of 5,11.35,99.8,3.4,115.6,6.8,104.0,-4.8,Won Finals,S. Kerr,S. Curry
Golden State Warriors,2015-16,NBA,Golden State Warriors,73,9,.890,1st of 5,10.38,99.3,3.5,114.5,8.1,103.8,-2.6,Lost Finals,S. Kerr,S. Curry
Golden State Warriors,2014-15,NBA,Golden State Warriors,67,15,.817,1st of 5,10.01,98.3,4.4,111.6,6.0,101.4,-4.2,Won Finals,S. Kerr,S. Curry
Golden State Warriors,2013-14,NBA,Golden State Warriors,51,31,.622,2nd of 5,5.15,96.2,2.3,107.5,0.8,102.6,-4.1,Lost W. Conf. 1st Rnd.,M. Jackson,S. Curry
Golden State Warriors,2012-13,NBA,Golden State Warriors,47,35,.573,2nd of 5,1.32,94.5,2.5,106.4,0.5,105.5,-0.4,Lost W. Conf. Semis,M. Jackson,S. Curry
Golden State Warriors,2011-12,NBA,Golden State Warriors,23,43,.348,4th of 5,-2.79,92.3,1.0,105.4,0.8,109.1,4.5,,M. Jackson,D. Lee
Golden State Warriors,2010-11,NBA,Golden State Warriors,36,46,.439,3rd of 5,-2.00,94.8,2.7,108.2,0.9,110.7,3.4,,K. Smart,S. Curry
Golden State Warriors,2009-10,NBA,Golden State Warriors,26,56,.317,4th of 5,-3.28,100.4,7.7,108.1,0.5,111.7,4.1,,D. Nelson,C. Maggette
Detroit Pistons,2020-21,NBA,Detroit Pistons,20,52,.278,5th of 5,-4.38,97.9,-1.3,108.0,-4.3,112.5,0.2,,D. Casey,M. Plumlee
Detroit Pistons,2019-20,NBA,Detroit Pistons,20,46,.303,4th of 5,-4.38,97.6,-2.7,109.0,-1.6,112.7,2.1,,D. Casey,C. Wood
Detroit Pistons,2018-19,NBA,Detroit Pistons,41,41,.500,3rd of 5,-0.56,97.4,-2.6,109.0,-1.4,109.2,-1.2,Lost E. Conf. 1st Rnd.,D. Casey,A. Drummond
Detroit Pistons,2017-18,NBA,Detroit Pistons,39,43,.476,4th of 5,-0.26,96.2,-1.1,107.2,-1.4,107.3,-1.3,,S. Van Gundy,A. Drummond
Detroit Pistons,2016-17,NBA,Detroit Pistons,37,45,.451,5th of 5,-1.29,95.0,-1.4,106.0,-2.8,107.1,-1.7,,S. Van Gundy,T. Harris
Detroit Pistons,2015-16,NBA,Detroit Pistons,44,38,.537,3rd of 5,0.43,95.1,-0.7,106.1,-0.3,105.5,-0.9,Lost E. Conf. 1st Rnd.,S. Van Gundy,A. Drummond
Detroit Pistons,2014-15,NBA,Detroit Pistons,32,50,.390,5th of 5,-1.39,92.8,-1.1,105.3,-0.3,106.4,0.8,,S. Van Gundy,A. Drummond
Detroit Pistons,2013-14,NBA,Detroit Pistons,29,53,.354,4th of 5,-4.13,94.9,1.0,105.9,-0.8,109.7,3.0,,M. Cheeks,A. Drummond
Detroit Pistons,2012-13,NBA,Detroit Pistons,29,53,.354,4th of 5,-4.33,90.8,-1.2,103.8,-2.1,108.1,2.2,,L. Frank,G. Monroe
Detroit Pistons,2011-12,NBA,Detroit Pistons,25,41,.379,4th of 5,-5.19,89.2,-2.1,101.0,-3.6,106.3,1.7,,L. Frank,G. Monroe
Detroit Pistons,2010-11,NBA,Detroit Pistons,30,52,.366,4th of 5,-3.78,89.2,-2.9,107.7,0.4,111.7,4.4,,J. Kuester,G. Monroe
Detroit Pistons,2009-10,NBA,Detroit Pistons,27,55,.329,5th of 5,-5.02,88.5,-4.2,105.6,-2.0,111.4,3.8,,J. Kuester,B. Wallace
Denver Nuggets,2020-21,NBA,Denver Nuggets,47,25,.653,2nd of 5,4.82,97.1,-2.1,117.1,4.8,112.1,-0.2,Lost W. Conf. Semis,M. Malone,N. Jokić
Denver Nuggets,2019-20,NBA,Denver Nuggets,46,27,.630,1st of 5,2.35,97.1,-3.2,113.1,2.5,111.0,0.4,Lost W. Conf. Finals,M. Malone,N. Jokić
Denver Nuggets,2018-19,NBA,Denver Nuggets,54,28,.659,1st of 5,4.19,97.7,-2.3,113.0,2.6,108.9,-1.5,Lost W. Conf. Semis,M. Malone,N. Jokić
Denver Nuggets,2017-18,NBA,Denver Nuggets,46,36,.561,5th of 5,1.57,96.8,-0.5,112.5,3.9,111.0,2.4,,M. Malone,N. Jokić
Denver Nuggets,2016-17,NBA,Denver Nuggets,40,42,.488,4th of 5,0.70,98.3,1.9,113.2,4.4,112.7,3.9,,M. Malone,N. Jokić
Denver Nuggets,2015-16,NBA,Denver Nuggets,33,49,.402,4th of 5,-2.81,95.7,-0.1,105.6,-0.8,108.9,2.5,,M. Malone,N. Jokić
Denver Nuggets,2014-15,NBA,Denver Nuggets,30,52,.366,4th of 5,-3.07,96.1,2.2,104.5,-1.1,108.2,2.6,,B. Shaw,T. Lawson
Denver Nuggets,2013-14,NBA,Denver Nuggets,36,46,.439,4th of 5,-1.40,98.1,4.2,106.0,-0.7,108.2,1.5,,B. Shaw,K. Faried
Denver Nuggets,2012-13,NBA,Denver Nuggets,57,25,.695,2nd of 5,5.37,95.1,3.1,110.4,4.5,105.1,-0.8,Lost W. Conf. 1st Rnd.,G. Karl,K. Faried
Denver Nuggets,2011-12,NBA,Denver Nuggets,38,28,.576,2nd of 5,3.16,94.2,2.9,109.2,4.6,106.2,1.6,Lost W. Conf. 1st Rnd.,G. Karl,T. Lawson
Denver Nuggets,2010-11,NBA,Denver Nuggets,50,32,.610,2nd of 5,4.81,95.6,3.5,112.3,5.0,107.3,0.0,Lost W. Conf. 1st Rnd.,G. Karl,N. Hilário
Denver Nuggets,2009-10,NBA,Denver Nuggets,53,29,.646,1st of 5,4.15,94.8,2.1,111.8,4.2,107.5,-0.1,Lost W. Conf. 1st Rnd.,G. Karl,N. Hilário
Dallas Mavericks,2020-21,NBA,Dallas Mavericks,42,30,.583,1st of 5,2.26,97.3,-1.9,115.4,3.1,113.0,0.7,Lost W. Conf. 1st Rnd.,R. Carlisle,L. Dončić
Dallas Mavericks,2019-20,NBA,Dallas Mavericks,43,32,.573,2nd of 5,4.87,99.3,-1.0,116.7,6.1,111.7,1.1,Lost W. Conf. 1st Rnd.,R. Carlisle,L. Dončić
Dallas Mavericks,2018-19,NBA,Dallas Mavericks,33,49,.402,5th of 5,-0.87,99.0,-1.0,109.4,-1.0,110.7,0.3,,R. Carlisle,D. Powell
Dallas Mavericks,2017-18,NBA,Dallas Mavericks,24,58,.293,4th of 5,-2.70,95.6,-1.7,106.3,-2.3,109.5,0.9,,R. Carlisle,D. Powell
Dallas Mavericks,2016-17,NBA,Dallas Mavericks,33,49,.402,5th of 5,-2.53,92.2,-4.2,105.6,-3.2,108.8,0.0,,R. Carlisle,S. Curry
Dallas Mavericks,2015-16,NBA,Dallas Mavericks,42,40,.512,2nd of 5,-0.02,94.3,-1.5,106.7,0.3,107.0,0.6,Lost W. Conf. 1st Rnd.,R. Carlisle,D. Nowitzki
Dallas Mavericks,2014-15,NBA,Dallas Mavericks,50,32,.610,4th of 5,3.36,95.2,1.3,109.5,3.9,106.4,0.8,Lost W. Conf. 1st Rnd.,R. Carlisle,T. Chandler
Dallas Mavericks,2013-14,NBA,Dallas Mavericks,49,33,.598,4th of 5,2.91,93.5,-0.4,111.2,4.5,108.7,2.0,Lost W. Conf. 1st Rnd.,R. Carlisle,D. Nowitzki
Dallas Mavericks,2012-13,NBA,Dallas Mavericks,41,41,.500,4th of 5,-0.24,94.1,2.1,105.9,0.0,106.5,0.6,,R. Carlisle,V. Carter
Dallas Mavericks,2011-12,NBA,Dallas Mavericks,36,30,.545,3rd of 5,1.78,91.4,0.1,103.3,-1.3,102.3,-2.3,Lost W. Conf. 1st Rnd.,R. Carlisle,D. Nowitzki
Dallas Mavericks,2010-11,NBA,Dallas Mavericks,57,25,.695,2nd of 5,4.41,91.3,-0.8,109.7,2.4,105.0,-2.3,Won Finals,R. Carlisle,D. Nowitzki
Dallas Mavericks,2009-10,NBA,Dallas Mavericks,55,27,.671,1st of 5,2.66,92.5,-0.2,109.2,1.6,106.3,-1.3,Lost W. Conf. 1st Rnd.,R. Carlisle,D. Nowitzki
Cleveland Cavaliers,2020-21,NBA,Cleveland Cavaliers,22,50,.306,4th of 5,-8.19,97.3,-1.9,105.8,-6.5,114.4,2.1,,J. Bickerstaff,J. Allen
Cleveland Cavaliers,2019-20,NBA,Cleveland Cavaliers,19,46,.292,5th of 5,-7.77,98.7,-1.6,107.5,-3.1,115.4,4.8,,J. Beilein,L. Nance
Cleveland Cavaliers,2018-19,NBA,Cleveland Cavaliers,19,63,.232,5th of 5,-9.39,96.6,-3.4,107.7,-2.7,117.6,7.2,,T. Lue,L. Nance
Cleveland Cavaliers,2017-18,NBA,Cleveland Cavaliers,50,32,.610,1st of 5,0.59,98.0,0.7,112.9,4.3,111.9,3.3,Lost Finals,T. Lue,L. James
Cleveland Cavaliers,2016-17,NBA,Cleveland Cavaliers,51,31,.622,1st of 5,2.87,96.2,-0.2,113.6,4.8,110.3,1.5,Lost Finals,T. Lue,L. James
Cleveland Cavaliers,2015-16,NBA,Cleveland Cavaliers,57,25,.695,1st of 5,5.45,93.3,-2.5,110.9,4.5,104.5,-1.9,Won Finals,D. Blatt,L. James
Cleveland Cavaliers,2014-15,NBA,Cleveland Cavaliers,53,29,.646,1st of 5,4.08,92.3,-1.6,111.1,5.5,106.3,0.7,Lost Finals,D. Blatt,K. Irving
Cleveland Cavaliers,2013-14,NBA,Cleveland Cavaliers,33,49,.402,3rd of 5,-3.86,93.1,-0.8,104.2,-2.5,107.7,1.0,,M. Brown,K. Irving
Cleveland Cavaliers,2012-13,NBA,Cleveland Cavaliers,24,58,.293,5th of 5,-4.87,92.3,0.3,104.3,-1.6,109.4,3.5,,B. Scott,K. Irving
Cleveland Cavaliers,2011-12,NBA,Cleveland Cavaliers,21,45,.318,5th of 5,-7.34,91.3,0.0,101.1,-3.5,108.9,4.3,,B. Scott,K. Irving
Cleveland Cavaliers,2010-11,NBA,Cleveland Cavaliers,19,63,.232,5th of 5,-8.88,93.0,0.9,102.2,-5.1,111.8,4.5,,B. Scott,R. Sessions
Cleveland Cavaliers,2009-10,NBA,Cleveland Cavaliers,61,21,.744,1st of 5,6.17,91.4,-1.3,111.2,3.6,104.1,-3.5,Lost E. Conf. Semis,M. Brown,L. James
Chicago Bulls,2020-21,NBA,Chicago Bulls,31,41,.431,3rd of 5,-0.94,99.0,-0.2,111.1,-1.2,112.0,-0.3,,B. Donovan,Z. LaVine
Chicago Bulls,2019-20,NBA,Chicago Bulls,22,43,.338,3rd of 5,-4.00,99.7,-0.6,106.7,-3.9,109.8,-0.8,,J. Boylen,Z. LaVine
Chicago Bulls,2018-19,NBA,Chicago Bulls,22,60,.268,4th of 5,-8.32,99.0,-1.0,104.8,-5.6,113.2,2.8,,F. Hoiberg,R. Arcidiacono
Chicago Bulls,2017-18,NBA,Chicago Bulls,27,55,.329,5th of 5,-6.84,98.3,1.0,103.8,-4.8,110.9,2.3,,F. Hoiberg,B. Portis
Chicago Bulls,2016-17,NBA,Chicago Bulls,41,41,.500,4th of 5,0.03,95.3,-1.1,107.4,-1.4,107.0,-1.8,Lost E. Conf. 1st Rnd.,F. Hoiberg,J. Butler
Chicago Bulls,2015-16,NBA,Chicago Bulls,42,40,.512,4th of 5,-1.46,95.7,-0.1,105.0,-1.4,106.5,0.1,,F. Hoiberg,J. Butler
Chicago Bulls,2014-15,NBA,Chicago Bulls,50,32,.610,2nd of 5,2.54,92.8,-1.1,107.5,1.9,104.3,-1.3,Lost E. Conf. Semis,T. Thibodeau,J. Butler
Chicago Bulls,2013-14,NBA,Chicago Bulls,48,34,.585,2nd of 5,1.20,90.2,-3.7,102.5,-4.2,100.5,-6.2,Lost E. Conf. 1st Rnd.,T. Thibodeau,J. Noah
Chicago Bulls,2012-13,NBA,Chicago Bulls,45,37,.549,2nd of 5,-0.02,89.3,-2.7,103.5,-2.4,103.2,-2.7,Lost E. Conf. Semis,T. Thibodeau,J. Noah
Chicago Bulls,2011-12,NBA,Chicago Bulls,50,16,.758,1st of 5,7.43,89.1,-2.2,107.4,2.8,98.3,-6.3,Lost E. Conf. 1st Rnd.,T. Thibodeau,J. Noah
Chicago Bulls,2010-11,NBA,Chicago Bulls,62,20,.756,1st of 5,6.53,90.4,-1.7,108.3,1.0,100.3,-7.0,Lost E. Conf. Finals,T. Thibodeau,D. Rose
Chicago Bulls,2009-10,NBA,Chicago Bulls,41,41,.500,3rd of 5,-1.64,93.1,0.4,103.5,-4.1,105.3,-2.3,Lost E. Conf. 1st Rnd.,V. Del Negro,J. Noah
Charlotte Hornets,2020-21,NBA,Charlotte Hornets,33,39,.458,4th of 5,-1.94,98.3,-0.9,110.9,-1.4,112.8,0.5,,J. Borrego,T. Rozier
Charlotte Hornets,2019-20,NBA,Charlotte Hornets,23,42,.354,3rd of 5,-7.03,95.8,-4.5,106.3,-4.3,113.3,2.7,,J. Borrego,C. Zeller
Charlotte Hornets,2018-19,NBA,Charlotte Hornets,39,43,.476,2nd of 5,-1.32,98.7,-1.3,111.4,1.0,112.5,2.1,,J. Borrego,K. Walker
Charlotte Hornets,2017-18,NBA,Charlotte Hornets,36,46,.439,3rd of 5,0.07,98.4,1.1,109.4,0.8,109.1,0.5,,S. Clifford,K. Walker
Charlotte Hornets,2016-17,NBA,Charlotte Hornets,36,46,.439,4th of 5,-0.07,95.7,-0.7,108.8,0.0,108.6,-0.2,,S. Clifford,K. Walker
Charlotte Hornets,2015-16,NBA,Charlotte Hornets,48,34,.585,3rd of 5,2.36,95.7,-0.1,107.1,0.7,104.3,-2.1,Lost E. Conf. 1st Rnd.,S. Clifford,K. Walker
Charlotte Hornets,2014-15,NBA,Charlotte Hornets,33,49,.402,4th of 5,-3.44,93.0,-0.9,100.1,-5.5,103.5,-2.1,,S. Clifford,A. Jefferson
Charlotte Hornets,2013-14,NBA,Charlotte Bobcats,43,39,.524,3rd of 5,-0.89,92.4,-1.5,103.6,-3.1,103.8,-2.9,Lost E. Conf. 1st Rnd.,S. Clifford,A. Jefferson
Charlotte Hornets,2012-13,NBA,Charlotte Bobcats,21,61,.256,4th of 5,-9.29,91.5,-0.5,101.5,-4.4,111.5,5.6,,M. Dunlap,K. Walker
Charlotte Hornets,2011-12,NBA,Charlotte Bobcats,7,59,.106,5th of 5,-13.96,91.1,-0.2,95.2,-9.4,110.4,5.8,,P. Silas,D. Brown
Charlotte Hornets,2010-11,NBA,Charlotte Bobcats,34,48,.415,4th of 5,-4.08,89.6,-2.5,103.4,-3.9,107.8,0.5,,L. Brown,D. Augustin
Charlotte Hornets,2009-10,NBA,Charlotte Bobcats,44,38,.537,4th of 5,1.30,90.4,-2.3,104.4,-3.2,102.8,-4.8,Lost E. Conf. 1st Rnd.,L. Brown,G. Wallace
Brooklyn Nets,2020-21,NBA,Brooklyn Nets,48,24,.667,2nd of 5,4.24,99.5,0.3,118.3,6.0,113.8,1.5,Lost E. Conf. Semis,S. Nash,K. Irving
Brooklyn Nets,2019-20,NBA,Brooklyn Nets,35,37,.486,4th of 5,-1.01,101.4,1.1,108.9,-1.7,109.5,-1.1,Lost E. Conf. 1st Rnd.,K. Atkinson,J. Allen
Brooklyn Nets,2018-19,NBA,Brooklyn Nets,42,40,.512,4th of 5,-0.40,100.8,0.8,109.6,-0.8,109.7,-0.7,Lost E. Conf. 1st Rnd.,K. Atkinson,J. Allen
Brooklyn Nets,2017-18,NBA,Brooklyn Nets,28,54,.341,5th of 5,-3.67,98.9,1.6,106.9,-1.7,110.6,2.0,,K. Atkinson,S. Dinwiddie
Brooklyn Nets,2016-17,NBA,Brooklyn Nets,20,62,.244,5th of 5,-6.74,101.3,4.9,104.1,-4.7,110.7,1.9,,K. Atkinson,B. Lopez
Brooklyn Nets,2015-16,NBA,Brooklyn Nets,21,61,.256,4th of 5,-7.12,95.2,-0.6,103.2,-3.2,110.9,4.5,,L. Hollins,B. Lopez
Brooklyn Nets,2014-15,NBA,Brooklyn Nets,38,44,.463,3rd of 5,-3.13,92.7,-1.2,104.4,-1.2,107.4,1.8,Lost E. Conf. 1st Rnd.,L. Hollins,B. Lopez
Brooklyn Nets,2013-14,NBA,Brooklyn Nets,44,38,.537,2nd of 5,-1.58,91.4,-2.5,106.7,0.0,107.7,1.0,Lost E. Conf. Semis,J. Kidd,D. Williams
Brooklyn Nets,2012-13,NBA,Brooklyn Nets,49,33,.598,2nd of 5,1.25,88.8,-3.2,108.2,2.3,106.2,0.3,Lost E. Conf. 1st Rnd.,A. Johnson,D. Williams
Brooklyn Nets,2011-12,NBA,New Jersey Nets,22,44,.333,5th of 5,-6.37,90.1,-1.2,102.9,-1.7,109.6,5.0,,A. Johnson,K. Humphries
Brooklyn Nets,2010-11,NBA,New Jersey Nets,24,58,.293,4th of 5,-6.28,89.9,-2.2,103.1,-4.2,109.9,2.6,,A. Johnson,B. Lopez
Brooklyn Nets,2009-10,NBA,New Jersey Nets,12,70,.146,5th of 5,-8.93,91.4,-1.3,100.6,-7.0,110.5,2.9,,L. Frank,B. Lopez
Boston Celtics,2020-21,NBA,Boston Celtics,36,36,.500,4th of 5,1.32,98.3,-0.9,114.0,1.7,112.5,0.2,Lost E. Conf. 1st Rnd.,B. Stevens,J. Tatum
Boston Celtics,2019-20,NBA,Boston Celtics,48,24,.667,2nd of 5,5.83,99.5,-0.8,113.3,2.7,107.0,-3.6,Lost E. Conf. Finals,B. Stevens,J. Tatum
Boston Celtics,2018-19,NBA,Boston Celtics,49,33,.598,3rd of 5,3.90,99.6,-0.4,112.2,1.8,107.8,-2.6,Lost E. Conf. Semis,B. Stevens,K. Irving
Boston Celtics,2017-18,NBA,Boston Celtics,55,27,.671,2nd of 5,3.23,96.0,-1.3,107.6,-1.0,103.9,-4.7,Lost E. Conf. Finals,B. Stevens,K. Irving
Boston Celtics,2016-17,NBA,Boston Celtics,53,29,.646,1st of 5,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,Lost E. Conf. Finals,B. Stevens,I. Thomas
Boston Celtics,2015-16,NBA,Boston Celtics,48,34,.585,2nd of 5,2.84,98.5,2.7,106.8,0.4,103.6,-2.8,Lost E. Conf. 1st Rnd.,B. Stevens,I. Thomas
Boston Celtics,2014-15,NBA,Boston Celtics,40,42,.488,2nd of 5,-0.40,95.8,1.9,104.7,-0.9,104.5,-1.1,Lost E. Conf. 1st Rnd.,B. Stevens,T. Zeller
