Name,Born,Year,Age,Team,Lg,Round,W/L,Opp,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP_PerG,PTS_PerG,TRB_PerG,AST_PerG
Al Horford,1986-06-03,2011,24,ATL,2011,,W,ORL,6,4,2,239,29,72,0,2,14,18,13,61,22,3,6,8,17,72,.403,.000,.778,39.8,12.0,10.2,3.7
Jodie Meeks,1987-08-21,2019,31,TOR,2019,,W,MIL,3,2,1,12,2,7,1,3,0,0,0,1,0,1,0,1,1,5,.286,.333,,4.0,1.7,0.3,0.0
Jodie Meeks,1987-08-21,2019,31,TOR,2019,,W,GSW,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.9,0.0,0.0,0.0
Al Horford,1986-06-03,2011,24,ATL,2011,,L,CHI,6,2,4,229,29,65,0,0,6,8,12,54,20,2,6,9,16,64,.446,,.750,38.2,10.7,9.0,3.3
Al Horford,1986-06-03,2012,25,ATL,2012,,L,BOS,3,1,2,108,20,34,0,0,6,8,5,25,8,4,4,12,11,46,.588,,.750,35.9,15.3,8.3,2.7
Al Horford,1986-06-03,2013,26,ATL,2013,,L,IND,6,2,4,218,41,83,0,0,18,27,12,53,18,6,5,9,17,100,.494,,.667,36.3,16.7,8.8,3.0
Al Horford,1986-06-03,2015,28,ATL,2015,,W,BRK,6,4,2,198,40,83,0,4,6,8,15,60,23,6,7,12,15,86,.482,.000,.750,33.0,14.3,10.0,3.8
Al Horford,1986-06-03,2015,28,ATL,2015,,W,WAS,6,4,2,208,46,92,2,4,7,8,20,59,26,6,14,11,12,101,.500,.500,.875,34.6,16.8,9.8,4.3
Al Horford,1986-06-03,2015,28,ATL,2015,,L,CLE,4,0,4,116,21,36,0,1,2,4,5,19,10,1,2,2,7,44,.583,.000,.500,29.0,11.0,4.8,2.5
Rodney Hood,1992-10-20,2017,24,UTA,2017,,W,LAC,7,4,3,173,25,67,12,35,11,16,1,17,5,4,0,6,15,73,.373,.343,.688,24.7,10.4,2.4,0.7
Richaun Holmes,1993-10-15,2018,24,PHI,2018,,W,MIA,2,1,1,9,0,0,0,0,0,0,0,1,1,0,0,0,3,0,,,,4.6,0.0,0.5,0.5
Rondae Hollis-Jefferson,1995-01-03,2019,24,BRK,2019,,L,PHI,4,0,4,62,16,33,1,1,20,25,3,12,6,1,5,3,7,53,.485,1.000,.800,15.6,13.3,3.0,1.5
Ryan Hollins,1984-10-10,2009,24,DAL,2009,,W,SAS,5,4,1,40,2,4,0,0,2,4,5,10,1,1,3,2,10,6,.500,,.500,8.1,1.2,2.0,0.2
Al Horford,1986-06-03,2016,29,ATL,2016,,W,BOS,6,4,2,196,29,67,6,15,11,12,13,51,21,8,16,9,13,75,.433,.400,.917,32.6,12.5,8.5,3.5
Al Horford,1986-06-03,2016,29,ATL,2016,,L,CLE,4,0,4,132,25,49,5,13,4,4,0,14,9,4,8,8,12,59,.510,.385,1.000,32.9,14.8,3.5,2.3
Rodney Hood,1992-10-20,2017,24,UTA,2017,,L,GSW,4,0,4,104,12,38,1,15,0,2,0,13,7,1,0,4,15,25,.316,.067,.000,26.0,6.3,3.3,1.8
Rodney Hood,1992-10-20,2018,25,CLE,2018,,W,IND,7,4,3,132,18,39,2,12,6,8,0,7,7,3,1,8,14,44,.462,.167,.750,18.8,6.3,1.0,1.0
Richaun Holmes,1993-10-15,2018,24,PHI,2018,,L,BOS,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.7,0.0,0.0,0.0
Rondae Hollis-Jefferson,1995-01-03,2020,25,TOR,2020,,W,BRK,3,3,0,30,3,8,0,1,4,6,4,7,2,2,1,1,4,10,.375,.000,.667,10.0,3.3,2.3,0.7
Rondae Hollis-Jefferson,1995-01-03,2020,25,TOR,2020,,L,BOS,2,0,2,9,1,2,0,0,2,2,1,3,1,0,0,0,1,4,.500,,1.000,4.4,2.0,1.5,0.5
Dante Cunningham,1987-04-22,2010,22,POR,2010,,L,PHO,5,1,4,42,9,15,0,1,5,6,5,13,0,5,0,3,10,23,.600,.000,.833,8.4,4.6,2.6,0.0
Ryan Hollins,1984-10-10,2009,24,DAL,2009,,L,DEN,4,0,4,44,6,10,0,0,4,6,4,14,0,0,1,2,12,16,.600,,.667,10.9,4.0,3.5,0.0
Ryan Hollins,1984-10-10,2012,27,BOS,2012,,W,ATL,5,4,1,59,3,12,0,0,1,2,7,12,2,0,3,2,11,7,.250,,.500,11.9,1.4,2.4,0.4
Al Horford,1986-06-03,2017,30,BOS,2017,,W,CHI,6,4,2,203,37,62,7,13,11,13,11,51,39,7,3,7,7,92,.597,.538,.846,33.8,15.3,8.5,6.5
Al Horford,1986-06-03,2017,30,BOS,2017,,W,WAS,7,4,3,243,48,71,14,23,7,10,13,46,36,5,9,14,13,117,.676,.609,.700,34.7,16.7,6.6,5.1
Jae Crowder,1990-07-06,2014,23,DAL,2014,,L,SAS,7,3,4,81,8,18,3,7,0,0,4,12,2,2,1,3,13,19,.444,.429,,11.6,2.7,1.7,0.3
Rodney Hood,1992-10-20,2018,25,CLE,2018,,W,TOR,3,3,0,39,1,9,0,3,0,0,2,7,4,0,1,2,8,2,.111,.000,,12.9,0.7,2.3,1.3
Rodney Hood,1992-10-20,2018,25,CLE,2018,,W,BOS,3,0,3,33,8,17,1,4,1,1,0,2,4,0,0,1,4,18,.471,.250,1.000,11.1,6.0,0.7,1.3
Dante Cunningham,1987-04-22,2012,24,MEM,2012,,L,LAC,7,3,4,49,4,11,0,0,0,0,6,11,0,1,2,1,3,8,.364,,,7.0,1.1,1.6,0.0
Dante Cunningham,1987-04-22,2015,27,NOP,2015,,L,GSW,4,0,4,75,9,11,0,0,3,3,4,18,2,3,4,0,7,21,.818,,1.000,18.8,5.3,4.5,0.5
Ryan Hollins,1984-10-10,2012,27,BOS,2012,,W,PHI,7,4,3,83,5,11,0,0,3,7,7,12,4,0,4,4,12,13,.455,,.429,11.8,1.9,1.7,0.6
Al Horford,1986-06-03,2017,30,BOS,2017,,L,CLE,5,1,4,165,26,57,6,16,4,6,7,21,22,3,2,12,13,62,.456,.375,.667,32.9,12.4,4.2,4.4
Al Horford,1986-06-03,2018,31,BOS,2018,,W,MIL,7,4,3,245,47,80,7,16,26,34,14,61,23,5,10,17,19,127,.588,.438,.765,35.0,18.1,8.7,3.3
Jordan Crawford,1988-10-23,2013,24,BOS,2013,,L,NYK,5,1,4,59,7,23,3,12,1,2,0,3,0,2,0,3,3,18,.304,.250,.500,11.8,3.6,0.6,0.0
Jae Crowder,1990-07-06,2015,24,BOS,2015,,L,CLE,4,0,4,100,15,29,3,10,10,13,8,20,8,4,3,5,14,43,.517,.300,.769,25.1,10.8,5.0,2.0
Jae Crowder,1990-07-06,2016,25,BOS,2016,,L,ATL,6,2,4,197,20,72,10,41,7,11,5,39,13,9,3,7,17,57,.278,.244,.636,32.9,9.5,6.5,2.2
Rodney Hood,1992-10-20,2018,25,CLE,2018,,L,GSW,4,0,4,56,12,27,1,5,2,3,5,15,3,2,2,2,4,27,.444,.200,.667,14.1,6.8,3.8,0.8
Rodney Hood,1992-10-20,2019,26,POR,2019,,W,OKC,5,4,1,99,6,22,2,12,2,2,1,7,4,2,0,2,9,16,.273,.167,1.000,19.7,3.2,1.4,0.8
Dante Cunningham,1987-04-22,2019,31,SAS,2019,,L,DEN,5,2,3,13,2,3,2,2,0,0,2,6,0,0,0,0,0,6,.667,1.000,,2.6,1.2,1.2,0.0
Ryan Hollins,1984-10-10,2012,27,BOS,2012,,L,MIA,5,1,4,28,3,3,0,0,0,0,2,3,2,0,1,1,6,6,1.000,,,5.6,1.2,0.6,0.4
Ryan Hollins,1984-10-10,2013,28,LAC,2013,,L,MEM,5,2,3,37,5,9,0,0,1,2,3,5,2,0,2,2,10,11,.556,,.500,7.5,2.2,1.0,0.4
Al Horford,1986-06-03,2018,31,BOS,2018,,W,PHI,5,4,1,185,31,55,2,9,13,14,8,43,17,9,6,10,9,77,.564,.222,.929,37.0,15.4,8.6,3.4
Al Horford,1986-06-03,2018,31,BOS,2018,,L,CLE,7,3,4,249,33,69,6,18,23,27,10,53,23,5,6,5,11,95,.478,.333,.852,35.6,13.6,7.6,3.3
Jamal Crawford,1980-03-20,2010,29,ATL,2010,,W,MIL,7,4,3,211,37,97,12,35,25,29,1,21,20,7,1,13,17,111,.381,.343,.862,30.1,15.9,3.0,2.9
Jordan Crawford,1988-10-23,2014,25,GSW,2014,,L,LAC,6,2,4,57,12,33,2,7,11,14,4,9,2,1,0,5,7,37,.364,.286,.786,9.4,6.2,1.5,0.3
Jordan Crawford,1988-10-23,2018,29,NOP,2018,,W,POR,1,1,0,7,2,6,1,5,0,0,0,1,0,1,0,2,0,5,.333,.200,,7.1,5.0,1.0,0.0
Jae Crowder,1990-07-06,2017,26,BOS,2017,,W,CHI,6,4,2,203,27,66,9,33,9,10,7,32,11,6,2,5,16,72,.409,.273,.900,33.8,12.0,5.3,1.8
Jae Crowder,1990-07-06,2017,26,BOS,2017,,W,WAS,7,4,3,228,34,78,11,29,21,25,5,46,20,9,3,3,19,100,.436,.379,.840,32.5,14.3,6.6,2.9
Rodney Hood,1992-10-20,2019,26,POR,2019,,W,DEN,7,4,3,170,34,59,11,22,24,31,4,22,6,0,3,4,12,103,.576,.500,.774,24.3,14.7,3.1,0.9
Rodney Hood,1992-10-20,2019,26,POR,2019,,L,GSW,4,0,4,105,12,30,5,17,10,11,4,7,4,4,0,1,7,39,.400,.294,.909,26.1,9.8,1.8,1.0
Ryan Hollins,1984-10-10,2014,29,LAC,2014,,W,GSW,3,1,2,6,1,2,0,0,1,1,1,2,0,0,0,0,1,3,.500,,1.000,1.9,1.0,0.7,0.0
Ryan Hollins,1984-10-10,2014,29,LAC,2014,,L,OKC,2,1,1,4,0,2,0,0,0,0,0,1,0,0,0,1,2,0,.000,,,1.8,0.0,0.5,0.0
Al Horford,1986-06-03,2019,32,BOS,2019,,W,IND,4,4,0,138,16,47,5,16,7,9,9,41,18,2,3,10,9,44,.340,.313,.778,34.6,11.0,10.3,4.5
Al Horford,1986-06-03,2019,32,BOS,2019,,L,MIL,5,1,4,172,30,63,13,28,8,9,4,40,22,2,4,9,12,81,.476,.464,.889,34.3,16.2,8.0,4.4
Jamal Crawford,1980-03-20,2010,29,ATL,2010,,L,ORL,4,0,4,140,19,57,6,15,24,29,0,9,10,2,0,7,9,68,.333,.400,.828,35.0,17.0,2.3,2.5
Jamal Crawford,1980-03-20,2011,30,ATL,2011,,W,ORL,6,4,2,179,40,92,17,37,26,34,0,10,17,4,3,7,10,123,.435,.459,.765,29.9,20.5,1.7,2.8
Jordan Crawford,1988-10-23,2018,29,NOP,2018,,L,GSW,1,0,1,8,6,7,2,3,0,0,0,3,1,0,0,1,1,14,.857,.667,,8.3,14.0,3.0,1.0
Jae Crowder,1990-07-06,2017,26,BOS,2017,,L,CLE,5,1,4,166,26,56,11,26,10,13,8,37,17,4,1,4,17,73,.464,.423,.769,33.2,14.6,7.4,3.4
Jae Crowder,1990-07-06,2018,27,UTA,2018,,W,OKC,6,4,2,165,18,57,11,38,9,12,2,23,12,11,0,8,17,56,.316,.289,.750,27.5,9.3,3.8,2.0
Al Horford,1986-06-03,2020,33,PHI,2020,,L,BOS,4,0,4,129,12,25,0,4,4,7,9,29,9,1,5,3,14,28,.480,.000,.571,32.1,7.0,7.3,2.3
Jamal Crawford,1980-03-20,2011,30,ATL,2011,,L,CHI,6,2,4,179,21,63,4,23,16,17,1,6,13,5,1,9,7,62,.333,.174,.941,29.8,10.3,1.0,2.2
Jamal Crawford,1980-03-20,2013,32,LAC,2013,,L,MEM,6,2,4,161,24,62,6,22,11,11,2,12,10,3,1,4,9,65,.387,.273,1.000,26.9,10.8,2.0,1.7
Jae Crowder,1990-07-06,2018,27,UTA,2018,,L,HOU,5,1,4,158,17,51,11,28,9,16,2,33,7,4,2,6,8,54,.333,.393,.563,31.7,10.8,6.6,1.4
Jae Crowder,1990-07-06,2019,28,UTA,2019,,L,HOU,5,1,4,130,17,46,9,30,14,19,4,29,4,5,0,1,7,57,.370,.300,.737,26.0,11.4,5.8,0.8
Jamal Crawford,1980-03-20,2014,33,LAC,2014,,W,GSW,7,4,3,168,38,86,17,45,24,27,2,9,13,6,0,8,14,117,.442,.378,.889,24.1,16.7,1.3,1.9
Jamal Crawford,1980-03-20,2014,33,LAC,2014,,L,OKC,6,2,4,144,30,85,10,34,15,17,3,10,13,6,2,7,10,85,.353,.294,.882,24.0,14.2,1.7,2.2
Jae Crowder,1990-07-06,2020,29,MIA,2020,,W,IND,4,4,0,102,12,30,8,24,7,10,3,26,6,4,0,1,6,39,.400,.333,.700,25.6,9.8,6.5,1.5
Jae Crowder,1990-07-06,2020,29,MIA,2020,,W,MIL,5,4,1,168,23,53,22,51,8,10,2,30,11,3,2,6,12,76,.434,.431,.800,33.5,15.2,6.0,2.2
Jamal Crawford,1980-03-20,2015,34,LAC,2015,,W,SAS,7,4,3,181,33,86,6,30,10,10,0,11,12,1,1,7,12,82,.384,.200,1.000,25.8,11.7,1.6,1.7
Jamal Crawford,1980-03-20,2015,34,LAC,2015,,L,HOU,7,3,4,199,34,100,12,44,16,20,6,19,15,12,2,10,22,96,.340,.273,.800,28.4,13.7,2.7,2.1
Jae Crowder,1990-07-06,2020,29,MIA,2020,,W,BOS,6,4,2,201,23,63,12,47,12,16,2,30,15,5,7,4,15,70,.365,.255,.750,33.5,11.7,5.0,2.5
Jae Crowder,1990-07-06,2020,29,MIA,2020,,L,LAL,6,2,4,189,23,55,13,39,8,10,4,31,7,2,3,4,22,67,.418,.333,.800,31.5,11.2,5.2,1.2
Jamal Crawford,1980-03-20,2016,35,LAC,2016,,L,POR,6,2,4,199,39,103,4,21,22,25,2,13,13,10,0,9,9,104,.379,.190,.880,33.2,17.3,2.2,2.2
Jamal Crawford,1980-03-20,2017,36,LAC,2017,,L,UTA,7,3,4,196,35,83,6,25,12,12,2,9,13,4,1,9,12,88,.422,.240,1.000,27.9,12.6,1.3,1.9
Jamal Crawford,1980-03-20,2018,37,MIN,2018,,L,HOU,5,1,4,123,21,47,7,17,10,13,1,13,12,5,0,5,6,59,.447,.412,.769,24.6,11.8,2.6,2.4
C.J. Wilcox,1990-12-30,2016,25,LAC,2016,,L,POR,2,0,2,7,0,1,0,0,0,0,0,1,1,0,0,0,1,0,.000,,,3.7,0.0,0.5,0.5
Torrey Craig,1990-12-19,2019,28,DEN,2019,,W,SAS,7,4,3,155,18,31,11,18,2,6,6,38,8,4,3,3,18,49,.581,.611,.333,22.1,7.0,5.4,1.1
Andrew Wiggins,1995-02-23,2018,22,MIN,2018,,L,HOU,5,1,4,164,30,68,7,21,12,20,5,26,10,2,2,9,14,79,.441,.333,.600,32.8,15.8,5.2,2.0
Chris Wilcox,1982-09-03,2013,30,BOS,2013,,L,NYK,2,1,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,3.1,0.0,1.0,0.0
Damien Wilkins,1980-01-11,2011,31,ATL,2011,,W,ORL,2,0,2,10,1,2,0,1,0,0,0,1,0,0,1,0,0,2,.500,.000,,5.2,1.0,0.5,0.0
Torrey Craig,1990-12-19,2019,28,DEN,2019,,L,POR,7,3,4,176,15,38,6,18,7,10,15,34,4,3,2,3,20,43,.395,.333,.700,25.1,6.1,4.9,0.6
Torrey Craig,1990-12-19,2020,29,DEN,2020,,W,UTA,7,4,3,169,15,36,8,21,3,4,7,26,6,3,3,4,19,41,.417,.381,.750,24.2,5.9,3.7,0.9
Hassan Whiteside,1989-06-13,2016,26,MIA,2016,,W,CHO,7,4,3,204,37,53,0,0,18,31,20,80,2,3,24,9,27,92,.698,,.581,29.2,13.1,11.4,0.3
Damien Wilkins,1980-01-11,2011,31,ATL,2011,,L,CHI,6,2,4,28,6,11,0,1,0,0,3,7,1,2,1,2,2,12,.545,.000,,4.7,2.0,1.2,0.2
Myles Turner,1996-03-24,2016,19,IND,2016,,L,TOR,7,3,4,197,33,71,0,2,6,9,16,45,3,2,23,12,24,72,.465,.000,.667,28.2,10.3,6.4,0.4
Torrey Craig,1990-12-19,2020,29,DEN,2020,,W,LAC,7,4,3,130,11,25,2,12,3,6,5,26,5,2,0,4,14,27,.440,.167,.500,18.6,3.9,3.7,0.7
Torrey Craig,1990-12-19,2020,29,DEN,2020,,L,LAL,5,1,4,76,7,17,1,9,3,3,1,10,2,2,4,1,11,18,.412,.111,1.000,15.2,3.6,2.0,0.4
Hassan Whiteside,1989-06-13,2016,26,MIA,2016,,L,TOR,3,1,2,87,10,16,0,0,8,13,6,29,1,5,4,4,7,28,.625,,.615,29.0,9.3,9.7,0.3
Hassan Whiteside,1989-06-13,2018,28,MIA,2018,,L,PHI,5,1,4,77,9,20,0,0,8,13,10,30,1,0,6,12,16,26,.450,,.615,15.4,5.2,6.0,0.2
Marcus Smart,1994-03-06,2015,20,BOS,2015,,L,CLE,4,0,4,90,14,29,3,13,8,15,5,11,5,1,1,4,12,39,.483,.231,.533,22.5,9.8,2.8,1.3
Myles Turner,1996-03-24,2017,20,IND,2017,,L,CLE,4,0,4,133,19,44,0,6,5,8,6,27,3,7,5,6,15,43,.432,.000,.625,33.3,10.8,6.8,0.8
Myles Turner,1996-03-24,2018,21,IND,2018,,L,CLE,7,3,4,196,33,54,6,13,15,19,6,36,4,2,4,11,25,87,.611,.462,.789,28.0,12.4,5.1,0.6
Donald Sloan,1988-01-15,2014,26,IND,2014,,W,ATL,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,4.0,0.0,1.0,0.0
Hassan Whiteside,1989-06-13,2020,30,POR,2020,,L,LAL,5,1,4,106,13,24,1,1,7,14,7,35,2,1,10,6,17,34,.542,1.000,.500,21.2,6.8,7.0,0.4
Marcus Smart,1994-03-06,2016,21,BOS,2016,,L,ATL,6,2,4,193,22,60,11,32,17,21,8,27,18,10,5,15,17,72,.367,.344,.810,32.1,12.0,4.5,3.0
Marcus Smart,1994-03-06,2017,22,BOS,2017,,W,CHI,6,4,2,179,18,48,10,26,2,3,9,32,29,9,5,8,13,48,.375,.385,.667,29.9,8.0,5.3,4.8
Myles Turner,1996-03-24,2019,22,IND,2019,,L,BOS,4,0,4,126,14,35,3,14,8,13,4,25,6,0,7,3,14,39,.400,.214,.615,31.5,9.8,6.3,1.5
Myles Turner,1996-03-24,2020,23,IND,2020,,L,MIA,4,0,4,146,25,44,6,14,7,16,11,43,3,2,16,9,13,63,.568,.429,.438,36.4,15.8,10.8,0.8
Donald Sloan,1988-01-15,2014,26,IND,2014,,W,WAS,1,0,1,6,1,4,0,2,0,0,0,0,0,0,0,0,0,2,.250,.000,,6.4,2.0,0.0,0.0
Donald Sloan,1988-01-15,2014,26,IND,2014,,L,MIA,2,1,1,5,1,3,1,2,2,4,0,0,3,1,0,1,0,5,.333,.500,.500,2.6,2.5,0.0,1.5
Marcus Smart,1994-03-06,2017,22,BOS,2017,,W,WAS,7,4,3,206,16,45,9,23,15,29,7,34,31,10,8,15,23,56,.356,.391,.517,29.4,8.0,4.9,4.4
Marcus Smart,1994-03-06,2017,22,BOS,2017,,L,CLE,5,1,4,153,13,41,10,24,15,18,7,19,25,8,3,15,15,51,.317,.417,.833,30.6,10.2,3.8,5.0
James Singleton,1981-07-20,2009,27,DAL,2009,,W,SAS,4,3,1,18,2,4,1,3,0,2,1,3,0,0,0,1,2,5,.500,.333,.000,4.4,1.3,0.8,0.0
Kyle Singler,1988-05-04,2016,27,OKC,2016,,W,DAL,2,1,1,19,2,4,2,2,0,0,1,3,0,0,0,0,2,6,.500,1.000,,9.4,3.0,1.5,0.0
Marcus Smart,1994-03-06,2018,23,BOS,2018,,W,MIL,3,2,1,83,6,23,0,8,8,8,2,11,11,4,4,9,8,20,.261,.000,1.000,27.6,6.7,3.7,3.7
Marcus Smart,1994-03-06,2018,23,BOS,2018,,W,PHI,5,4,1,167,21,56,8,29,15,23,5,21,24,10,4,14,21,65,.375,.276,.652,33.3,13.0,4.2,4.8
James Singleton,1981-07-20,2009,27,DAL,2009,,L,DEN,5,1,4,24,3,6,1,2,0,0,1,3,0,0,1,1,6,7,.500,.500,,4.8,1.4,0.6,0.0
Kyle Singler,1988-05-04,2016,27,OKC,2016,,W,SAS,1,0,1,12,0,1,0,1,0,0,0,1,0,0,0,0,1,0,.000,.000,,12.2,0.0,1.0,0.0
Kyle Singler,1988-05-04,2016,27,OKC,2016,,L,GSW,3,2,1,20,1,4,0,1,0,2,0,3,0,1,0,0,1,2,.250,.000,.000,6.5,0.7,1.0,0.0
Marcus Smart,1994-03-06,2018,23,BOS,2018,,L,CLE,7,3,4,200,21,64,7,31,13,18,7,24,45,12,2,13,15,62,.328,.226,.722,28.5,8.9,3.4,6.4
Marcus Smart,1994-03-06,2019,24,BOS,2019,,L,MIL,2,0,2,32,1,11,1,11,4,6,4,4,4,3,0,3,3,7,.091,.091,.667,16.2,3.5,2.0,2.0
Jorge Gutiérrez,1988-12-27,2014,25,BRK,2014,,L,MIA,2,1,1,3,0,0,0,0,2,4,1,1,0,0,0,0,0,2,,,.500,1.7,1.0,0.5,0.0
Kyle Singler,1988-05-04,2017,28,OKC,2017,,L,HOU,1,0,1,10,0,1,0,0,0,0,0,1,0,0,0,0,2,0,.000,,,10.4,0.0,1.0,0.0
Marcus Smart,1994-03-06,2020,25,BOS,2020,,W,PHI,4,4,0,143,10,30,2,15,12,13,2,18,10,6,1,5,9,34,.333,.133,.923,35.8,8.5,4.5,2.5
Marcus Smart,1994-03-06,2020,25,BOS,2020,,W,TOR,7,4,3,275,35,84,24,61,16,20,3,42,36,8,5,24,22,110,.417,.393,.800,39.3,15.7,6.0,5.1
Jorge Gutiérrez,1988-12-27,2015,26,MIL,2015,,L,CHI,1,0,1,12,1,2,0,0,0,0,0,1,1,0,0,0,1,2,.500,,,12.0,2.0,1.0,1.0
Jorge Gutiérrez,1988-12-27,2016,27,CHO,2016,,L,MIA,3,1,2,12,0,3,0,0,0,0,0,2,2,0,0,1,0,0,.000,,,3.9,0.0,0.7,0.7
Chris Bosh,1984-03-24,2011,26,MIA,2011,,W,PHI,5,4,1,199,37,77,0,2,25,32,13,45,4,5,6,9,10,99,.481,.000,.781,39.7,19.8,9.0,0.8
Carlos Boozer,1981-11-20,2009,27,UTA,2009,,L,LAL,5,1,4,186,38,72,0,0,27,35,12,66,11,8,2,15,18,103,.528,,.771,37.1,20.6,13.2,2.2
Marcus Smart,1994-03-06,2020,25,BOS,2020,,L,MIA,6,2,4,229,33,84,15,47,21,23,5,29,32,7,2,16,24,102,.393,.319,.913,38.2,17.0,4.8,5.3
Trevor Booker,1987-11-25,2014,26,WAS,2014,,W,CHI,5,4,1,121,12,27,0,1,4,6,16,33,6,2,8,1,20,28,.444,.000,.667,24.2,5.6,6.6,1.2
Chris Bosh,1984-03-24,2011,26,MIA,2011,,W,BOS,5,4,1,192,21,52,0,0,22,28,14,51,7,5,5,8,11,64,.404,,.786,38.3,12.8,10.2,1.4
Chris Bosh,1984-03-24,2011,26,MIA,2011,,W,CHI,5,4,1,207,42,70,0,1,32,35,5,38,6,3,5,10,12,116,.600,.000,.914,41.5,23.2,7.6,1.2
Carlos Boozer,1981-11-20,2010,28,UTA,2010,,W,DEN,6,4,2,247,60,103,0,0,15,28,16,80,20,3,6,14,21,135,.583,,.536,41.2,22.5,13.3,3.3
Carlos Boozer,1981-11-20,2010,28,UTA,2010,,L,LAL,4,0,4,154,29,65,0,0,4,7,17,52,10,1,1,10,17,62,.446,,.571,38.5,15.5,13.0,2.5
Trevor Booker,1987-11-25,2014,26,WAS,2014,,L,IND,4,2,2,24,1,2,0,1,0,0,0,6,2,0,1,2,5,2,.500,.000,,6.1,0.5,1.5,0.5
Trevor Booker,1987-11-25,2018,30,IND,2018,,L,CLE,7,3,4,64,6,10,0,1,6,7,5,18,0,1,1,1,12,18,.600,.000,.857,9.1,2.6,2.6,0.0
Joel Bolomboy,1994-01-28,2017,23,UTA,2017,,L,GSW,2,0,2,9,2,3,0,0,0,0,0,2,0,0,1,0,0,4,.667,,,4.5,2.0,1.0,0.0
Matt Bonner,1980-04-05,2009,28,SAS,2009,,L,DAL,5,1,4,100,5,23,3,13,2,2,6,16,0,3,2,2,10,15,.217,.231,1.000,19.9,3.0,3.2,0.0
Chris Bosh,1984-03-24,2011,26,MIA,2011,,L,DAL,6,2,4,237,38,92,0,1,35,45,15,44,6,1,3,13,15,111,.413,.000,.778,39.4,18.5,7.3,1.0
Chris Bosh,1984-03-24,2012,27,MIA,2012,,W,NYK,5,4,1,167,25,49,2,3,23,28,10,36,6,2,4,8,8,75,.510,.667,.821,33.4,15.0,7.2,1.2
Carlos Boozer,1981-11-20,2011,29,CHI,2011,,W,IND,5,4,1,152,19,53,0,1,12,17,13,51,8,3,3,14,19,50,.358,.000,.706,30.4,10.0,10.2,1.6
Carlos Boozer,1981-11-20,2011,29,CHI,2011,,W,ATL,6,4,2,188,34,66,0,0,12,12,11,53,12,2,0,9,15,80,.515,,1.000,31.3,13.3,8.8,2.0
Jonah Bolden,1996-01-02,2019,23,PHI,2019,,W,BRK,5,4,1,39,3,9,2,8,2,4,2,9,0,0,1,4,7,10,.333,.250,.500,7.8,2.0,1.8,0.0
Bol Bol,1999-11-16,2020,20,DEN,2020,,W,UTA,2,0,2,13,3,7,1,2,6,6,2,3,0,1,1,1,1,13,.429,.500,1.000,6.4,6.5,1.5,0.0
Matt Bonner,1980-04-05,2010,29,SAS,2010,,W,DAL,6,4,2,96,9,26,5,16,0,0,4,22,2,0,1,1,16,23,.346,.313,,16.0,3.8,3.7,0.3
Matt Bonner,1980-04-05,2010,29,SAS,2010,,L,PHO,4,0,4,78,10,18,5,11,2,2,3,10,2,1,2,6,6,27,.556,.455,1.000,19.4,6.8,2.5,0.5
Chris Bosh,1984-03-24,2012,27,MIA,2012,,W,IND,1,1,0,16,6,11,0,0,1,2,2,5,0,0,0,3,0,13,.545,,.500,15.8,13.0,5.0,0.0
Chris Bosh,1984-03-24,2012,27,MIA,2012,,W,BOS,3,2,1,74,14,26,3,5,4,5,9,21,1,1,4,4,3,35,.538,.600,.800,24.5,11.7,7.0,0.3
Carlos Boozer,1981-11-20,2011,29,CHI,2011,,L,MIA,5,1,4,167,24,59,0,0,24,31,16,51,8,4,4,5,15,72,.407,,.774,33.5,14.4,10.2,1.6
Carlos Boozer,1981-11-20,2012,30,CHI,2012,,L,PHI,6,2,4,200,38,90,0,0,5,7,10,59,18,5,2,23,20,81,.422,,.714,33.4,13.5,9.8,3.0
Jonah Bolden,1996-01-02,2019,23,PHI,2019,,L,TOR,5,3,2,40,2,10,2,8,0,0,2,5,3,2,0,5,5,6,.200,.250,,8.0,1.2,1.0,0.6
Bol Bol,1999-11-16,2020,20,DEN,2020,,W,LAC,1,0,1,4,1,1,1,1,1,2,1,2,0,1,1,1,0,4,1.000,1.000,.500,4.4,4.0,2.0,0.0
Bol Bol,1999-11-16,2020,20,DEN,2020,,L,LAL,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,4.1,2.0,0.0,0.0
Andrew Bogut,1984-11-28,2013,28,GSW,2013,,W,DEN,6,4,2,166,24,38,0,0,1,5,24,62,10,5,14,13,18,49,.632,,.200,27.7,8.2,10.3,1.7
Bojan Bogdanović,1989-04-18,2015,25,BRK,2015,,L,ATL,6,2,4,206,23,59,11,33,5,7,3,23,10,4,2,8,12,62,.390,.333,.714,34.4,10.3,3.8,1.7
Matt Bonner,1980-04-05,2011,30,SAS,2011,,L,MEM,6,2,4,123,12,25,6,18,8,10,7,19,2,1,1,1,18,38,.480,.333,.800,20.4,6.3,3.2,0.3
