Name,Born,Year,Age,Team,Lg,Round,W/L,Opp,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP_PerG,PTS_PerG,TRB_PerG,AST_PerG
Metta World Peace,1979-11-13,2013,33,LAL,2013,,L,SAS,3,0,3,84,7,28,2,14,2,2,6,11,5,2,1,3,5,18,.250,.143,1.000,28.2,6.0,3.7,1.7
Sterling Brown,1995-02-10,2018,22,MIL,2018,,L,BOS,3,1,2,13,3,5,1,3,0,0,1,2,0,1,0,0,2,7,.600,.333,,4.2,2.3,0.7,0.0
DeShawn Stevenson,1981-04-03,2010,28,DAL,2010,,L,SAS,2,2,0,6,0,3,0,3,0,0,0,0,0,0,0,0,2,0,.000,.000,,3.1,0.0,0.0,0.0
Lance Stephenson,1990-09-05,2012,21,IND,2012,,W,ORL,2,2,0,5,2,4,1,2,0,0,0,0,0,0,0,0,0,5,.500,.500,,2.4,2.5,0.0,0.0
Shannon Brown,1985-11-29,2009,23,LAL,2009,,W,UTA,5,4,1,87,12,24,6,9,6,9,3,6,9,4,0,4,11,36,.500,.667,.667,17.3,7.2,1.2,1.8
Markel Brown,1992-01-29,2015,23,BRK,2015,,L,ATL,2,0,2,10,2,5,0,2,2,2,2,2,1,0,0,2,0,6,.400,.000,1.000,5.1,3.0,1.0,0.5
Sterling Brown,1995-02-10,2019,23,MIL,2019,,W,DET,4,4,0,103,11,19,5,9,6,9,4,23,15,5,3,6,10,33,.579,.556,.667,25.6,8.3,5.8,3.8
Sterling Brown,1995-02-10,2019,23,MIL,2019,,W,BOS,4,3,1,48,2,14,1,9,0,0,0,6,3,0,0,2,5,5,.143,.111,,12.1,1.3,1.5,0.8
Lorenzo Brown,1990-08-26,2018,27,TOR,2018,,W,WAS,2,1,1,19,2,7,1,3,0,0,1,3,1,0,1,1,2,5,.286,.333,,9.3,2.5,1.5,0.5
DeShawn Stevenson,1981-04-03,2011,29,DAL,2011,,W,POR,6,4,2,76,5,15,4,10,3,4,0,4,4,2,0,4,7,17,.333,.400,.750,12.7,2.8,0.7,0.7
DeShawn Stevenson,1981-04-03,2011,29,DAL,2011,,W,LAL,4,4,0,52,5,16,5,14,0,0,0,3,6,1,1,3,10,15,.313,.357,,13.0,3.8,0.8,1.5
Lance Stephenson,1990-09-05,2012,21,IND,2012,,L,MIA,2,1,1,7,0,5,0,0,1,2,0,0,1,0,0,2,2,1,.000,,.500,3.6,0.5,0.0,0.5
Lance Stephenson,1990-09-05,2013,22,IND,2013,,W,ATL,6,4,2,199,18,41,5,16,6,12,2,48,26,7,1,15,16,47,.439,.313,.500,33.2,7.8,8.0,4.3
Shannon Brown,1985-11-29,2009,23,LAL,2009,,W,HOU,7,4,3,104,15,31,4,8,8,8,3,13,2,6,1,3,9,42,.484,.500,1.000,14.9,6.0,1.9,0.3
Shannon Brown,1985-11-29,2009,23,LAL,2009,,W,DEN,6,4,2,69,9,26,2,8,5,7,1,5,2,0,1,3,6,25,.346,.250,.714,11.5,4.2,0.8,0.3
Kwame Brown,1982-03-10,2009,26,DET,2009,,L,CLE,3,0,3,48,3,8,0,0,3,4,6,15,0,0,3,3,12,9,.375,,.750,16.1,3.0,5.0,0.0
Sterling Brown,1995-02-10,2019,23,MIL,2019,,L,TOR,3,1,2,11,2,5,1,3,2,2,0,1,1,1,0,0,2,7,.400,.333,1.000,3.6,2.3,0.3,0.3
Sterling Brown,1995-02-10,2020,24,MIL,2020,,W,ORL,1,1,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,.000,.000,,3.6,0.0,1.0,0.0
Lorenzo Brown,1990-08-26,2018,27,TOR,2018,,L,CLE,2,0,2,10,1,3,1,2,1,2,0,3,1,0,0,0,0,4,.333,.500,.500,5.1,2.0,1.5,0.5
Derrick Brown,1987-09-08,2010,22,CHA,2010,,L,ORL,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,0.5,1.0,0.0,0.0
Jaylen Brown,1996-10-24,2017,20,BOS,2017,,W,CHI,5,3,2,30,6,12,1,5,0,1,1,4,1,0,0,3,1,13,.500,.200,.000,5.9,2.6,0.8,0.2
Devin Brown,1978-12-30,2009,30,NOH,2009,,L,DEN,3,0,3,33,3,8,0,4,2,2,2,5,0,0,0,3,2,8,.375,.000,1.000,10.9,2.7,1.7,0.0
DeShawn Stevenson,1981-04-03,2011,29,DAL,2011,,W,OKC,5,4,1,101,6,28,5,21,3,4,0,3,0,4,0,2,14,20,.214,.238,.750,20.3,4.0,0.6,0.0
DeShawn Stevenson,1981-04-03,2011,29,DAL,2011,,W,MIA,6,4,2,103,13,24,13,23,3,4,1,9,2,4,1,1,9,42,.542,.565,.750,17.2,7.0,1.5,0.3
Lance Stephenson,1990-09-05,2013,22,IND,2013,,W,NYK,6,4,2,210,27,62,6,25,10,15,5,49,14,6,0,6,6,70,.435,.240,.667,35.0,11.7,8.2,2.3
Lance Stephenson,1990-09-05,2013,22,IND,2013,,L,MIA,7,3,4,264,24,66,7,23,7,10,7,47,23,10,1,15,25,62,.364,.304,.700,37.7,8.9,6.7,3.3
Shannon Brown,1985-11-29,2009,23,LAL,2009,,W,ORL,3,3,0,16,0,2,0,0,0,0,1,1,0,0,0,0,1,0,.000,,,5.2,0.0,0.3,0.0
Shannon Brown,1985-11-29,2010,24,LAL,2010,,W,OKC,6,4,2,91,12,29,3,9,10,14,5,8,7,4,1,5,17,37,.414,.333,.714,15.2,6.2,1.3,1.2
Jaylen Brown,1996-10-24,2017,20,BOS,2017,,W,WAS,7,4,3,100,11,30,3,13,2,3,6,17,8,3,1,3,14,27,.367,.231,.667,14.3,3.9,2.4,1.1
Jaylen Brown,1996-10-24,2017,20,BOS,2017,,L,CLE,5,1,4,85,17,29,1,5,10,14,5,15,4,3,1,7,11,45,.586,.200,.714,17.0,9.0,3.0,0.8
Devin Brown,1978-12-30,2010,31,CHI,2010,,L,CLE,1,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,2,1.000,,.000,2.3,2.0,1.0,0.0
DeShawn Stevenson,1981-04-03,2013,31,ATL,2013,,L,IND,4,1,3,45,3,5,3,5,0,0,3,10,1,0,0,2,5,9,.600,.600,,11.3,2.3,2.5,0.3
Lance Stephenson,1990-09-05,2014,23,IND,2014,,W,ATL,7,4,3,240,42,88,10,31,14,22,11,62,21,6,3,18,18,108,.477,.323,.636,34.3,15.4,8.9,3.0
Lance Stephenson,1990-09-05,2014,23,IND,2014,,W,WAS,6,4,2,223,26,67,8,17,7,8,3,34,29,4,1,14,14,67,.388,.471,.875,37.2,11.2,5.7,4.8
Shannon Brown,1985-11-29,2010,24,LAL,2010,,W,UTA,4,4,0,74,12,31,3,8,2,4,1,8,3,4,2,4,6,29,.387,.375,.500,18.5,7.3,2.0,0.8
Shannon Brown,1985-11-29,2010,24,LAL,2010,,W,PHO,6,4,2,75,9,27,3,12,5,7,1,7,7,2,3,4,9,26,.333,.250,.714,12.5,4.3,1.2,1.2
