Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
Dejounte Murray,1996-09-19,0,2017-18,21,SAS,NBA,PG,81,48,1743,7.8,17.7,.443,0.3,1.0,.265,7.6,16.7,.454,3.0,4.3,.709,3.2,10.1,13.3,6.7,2.8,0.9,3.9,4.4,19.0,99,101
Dejounte Murray,1996-09-19,0,2019-20,23,SAS,NBA,PG,66,58,1687,8.3,18.0,.462,1.2,3.1,.369,7.2,14.9,.481,2.6,3.2,.798,2.0,8.9,10.8,7.7,3.1,0.5,3.5,4.1,20.4,105,110
Ronald Murray,1979-07-29,0,2009-10,30,CHA,NBA,SG,46,1,993,8.6,22.0,.389,2.2,7.0,.313,6.4,15.0,.425,5.0,7.0,.710,0.8,4.4,5.2,4.5,1.5,0.6,3.5,4.1,24.3,96,105
Ronald Murray,1979-07-29,0,2009-10,30,CHI,NBA,SG,29,1,680,8.2,20.6,.397,2.1,6.8,.311,6.1,13.8,.440,3.6,4.8,.762,1.0,5.5,6.4,3.9,1.4,0.3,2.0,3.7,22.1,102,108
Rasual Butler,1979-05-23,0,2010-11,31,CHI,NBA,SG,6,0,26,12.3,22.5,.545,8.2,14.3,.571,4.1,8.2,.500,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,4.1,6.1,32.7,110,108
Rasual Butler,1979-05-23,0,2011-12,32,TOR,NBA,SF,34,14,453,4.9,15.8,.308,2.5,9.1,.273,2.4,6.6,.357,0.8,1.4,.583,0.7,7.1,7.8,2.3,0.8,0.6,1.8,4.6,13.1,82,106
Troy Murphy,1980-05-02,0,2009-10,29,IND,NBA,PF,72,69,2344,8.1,17.2,.472,2.7,7.0,.384,5.4,10.1,.533,3.2,4.1,.798,2.7,12.8,15.6,3.2,1.5,0.7,2.1,3.7,22.2,115,103
Jimmy Butler,1989-09-14,0,2014-15,25,CHI,NBA,SG,65,65,2513,8.7,18.8,.462,1.5,4.0,.378,7.2,14.8,.484,7.9,9.5,.834,2.3,5.5,7.8,4.4,2.3,0.7,1.9,2.2,26.8,122,104
Jimmy Butler,1989-09-14,0,2015-16,26,CHI,NBA,SG,67,67,2474,9.5,21.0,.454,1.3,4.2,.312,8.2,16.8,.489,8.0,9.6,.832,1.6,5.7,7.3,6.5,2.2,0.9,2.7,2.5,28.4,116,106
Mike Muscala,1991-07-01,0,2016-17,25,ATL,NBA,C,70,3,1237,6.8,13.4,.504,1.8,4.4,.418,4.9,9.0,.546,2.0,2.6,.766,3.0,6.5,9.6,3.8,1.2,1.6,2.2,3.9,17.3,116,107
Mike Muscala,1991-07-01,0,2017-18,26,ATL,NBA,C,53,7,1060,6.6,14.4,.458,2.9,7.7,.371,3.7,6.7,.559,2.6,2.9,.919,2.6,8.0,10.6,2.4,1.4,1.2,1.9,3.7,18.7,115,110
Svi Mykhailiuk,1997-06-10,0,2020-21,23,DET,NBA,SF,36,5,634,6.5,17.3,.377,4.4,13.2,.333,2.1,4.0,.519,1.9,2.3,.800,0.9,4.9,5.7,4.4,2.1,0.5,3.0,2.6,19.3,100,113
Svi Mykhailiuk,1997-06-10,0,2020-21,23,OKC,NBA,SG,30,9,690,8.5,19.5,.438,3.3,9.9,.336,5.2,9.6,.543,1.0,1.4,.700,0.9,5.2,6.1,3.7,1.7,0.4,3.4,2.1,21.4,97,115
Toure' Murry,1989-11-08,0,2014-15,25,WAS,NBA,SG,4,0,17,6.0,12.1,.500,0.0,0.0,,6.0,12.1,.500,6.0,6.0,1.000,3.0,0.0,3.0,3.0,3.0,0.0,12.1,6.0,18.1,74,105
Jamal Murray,1997-02-23,0,2019-20,22,DEN,NBA,PG,59,59,1904,10.6,23.2,.456,2.9,8.4,.346,7.7,14.8,.519,4.2,4.8,.881,1.2,5.0,6.1,7.4,1.7,0.4,3.3,2.6,28.3,112,113
Jamal Murray,1997-02-23,0,2020-21,23,DEN,NBA,PG,48,48,1704,11.0,23.0,.477,3.7,9.2,.408,7.2,13.8,.523,3.9,4.4,.869,1.1,4.6,5.6,6.7,1.9,0.4,3.1,2.8,29.5,116,114
Dejounte Murray,1996-09-19,0,2020-21,24,SAS,NBA,PG,67,67,2139,10.0,22.1,.453,1.4,4.5,.317,8.6,17.6,.488,2.4,3.0,.791,1.3,9.4,10.7,8.2,2.3,0.2,2.7,3.1,23.8,106,111
Dejounte Murray,1996-09-19,1,2016-17,20,SAS,NBA,PG,11,2,168,7.0,18.7,.377,0.0,0.9,.000,7.0,17.8,.397,5.2,7.7,.680,1.2,7.0,8.3,8.3,4.9,0.3,4.9,4.3,19.3,91,106
Ronald Murray,1979-07-29,1,2009-10,30,CHI,NBA,SG,5,0,97,8.0,19.8,.405,2.1,6.4,.333,5.9,13.4,.440,4.3,4.3,1.000,2.1,4.8,7.0,5.4,1.1,0.0,0.5,1.6,22.5,118,117
Rasual Butler,1979-05-23,0,2013-14,34,IND,NBA,SG,50,2,378,7.0,15.1,.464,3.6,8.5,.419,3.4,6.6,.521,1.1,1.9,.571,0.8,4.8,5.6,2.3,1.0,1.2,1.5,4.1,18.7,113,102
Rasual Butler,1979-05-23,0,2014-15,35,WAS,NBA,SF,75,1,1505,7.4,17.6,.422,3.1,8.0,.387,4.3,9.6,.450,1.8,2.3,.791,0.9,5.8,6.7,2.1,1.0,0.7,1.6,3.3,19.7,104,105
Troy Murphy,1980-05-02,0,2010-11,30,TOT,NBA,PF,35,4,466,4.8,13.0,.368,0.6,3.8,.152,4.2,9.3,.457,2.3,3.4,.667,2.5,10.4,12.9,2.6,1.7,0.3,2.3,5.4,12.5,90,104
Troy Murphy,1980-05-02,0,2010-11,30,NJN,NBA,PF,18,4,288,4.8,14.1,.342,0.7,4.3,.174,4.1,9.8,.415,1.7,3.2,.529,2.0,11.9,13.9,3.2,1.3,0.4,2.4,5.2,12.1,83,107
Jimmy Butler,1989-09-14,0,2016-17,27,CHI,NBA,SF,76,75,2809,10.2,22.5,.455,1.6,4.4,.367,8.6,18.0,.477,10.5,12.1,.865,2.3,6.1,8.4,7.5,2.6,0.6,2.9,2.0,32.6,123,106
Jimmy Butler,1989-09-14,0,2017-18,28,MIN,NBA,SG,59,59,2164,10.1,21.3,.474,1.6,4.6,.350,8.5,16.7,.509,8.4,9.8,.854,1.8,5.4,7.3,6.7,2.7,0.6,2.5,1.8,30.2,122,110
