Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
Mario Hezonja,1995-02-25,0,2015-16,20,ORL,NBA,SF,79,9,1413,6.4,14.8,.433,2.4,6.8,.349,4.0,8.0,.504,1.7,1.9,.907,1.0,5.2,6.2,3.9,1.4,0.6,3.4,4.4,16.9,97,109
Goran Dragić,1986-05-06,0,2020-21,34,MIA,NBA,PG,50,11,1337,8.9,20.6,.432,3.4,9.1,.373,5.5,11.6,.479,3.8,4.5,.828,0.9,5.4,6.3,8.1,1.2,0.3,4.4,4.2,25.0,104,114
Goran Dragić,1986-05-06,1,2009-10,23,PHO,NBA,PG,16,0,237,9.6,22.3,.430,2.9,8.9,.325,6.7,13.4,.500,5.1,6.9,.742,2.2,4.2,6.5,8.0,0.9,0.2,3.6,4.0,27.2,112,116
Kevin Hervey,1996-07-09,0,2019-20,23,OKC,NBA,PF,10,0,52,6.5,25.2,.259,2.8,18.7,.150,3.7,6.5,.571,0.0,0.0,,0.9,10.3,11.2,4.7,0.9,0.9,0.0,3.7,15.9,78,109
Tyler Herro,2000-01-20,0,2019-20,20,MIA,NBA,SG,55,8,1508,8.7,20.4,.428,3.8,9.6,.389,5.0,10.8,.462,2.8,3.2,.870,0.5,6.7,7.3,3.9,1.1,0.3,2.8,2.5,24.1,103,112
Isaiah Hicks,1994-07-24,0,2017-18,23,NYK,NBA,PF,18,0,240,6.8,14.9,.458,0.4,1.9,.222,6.4,13.0,.492,2.5,3.7,.667,2.1,6.4,8.5,3.3,0.4,0.8,3.3,9.3,16.5,95,113
Willy Hernangómez,1994-05-27,0,2016-17,22,NYK,NBA,C,72,22,1324,9.3,17.6,.529,0.2,0.6,.267,9.1,17.0,.538,3.4,4.7,.728,6.4,12.5,19.0,3.6,1.5,1.4,3.8,5.7,22.2,111,107
Mario Hezonja,1995-02-25,0,2016-17,21,ORL,NBA,SF,65,2,960,6.0,17.0,.355,2.2,7.4,.299,3.8,9.6,.398,2.1,2.6,.800,1.0,6.5,7.5,3.2,1.5,0.8,3.0,3.8,16.4,87,111
Mario Hezonja,1995-02-25,0,2017-18,22,ORL,NBA,SF,75,30,1657,8.1,18.2,.442,2.7,7.9,.337,5.4,10.3,.523,2.5,3.1,.819,1.2,7.1,8.3,3.1,2.4,0.9,2.5,4.0,21.3,103,108
Goran Dragić,1986-05-06,1,2015-16,29,MIA,NBA,PG,14,14,472,10.3,23.2,.442,1.8,5.2,.348,8.5,18.0,.469,3.7,4.8,.767,1.2,6.5,7.8,6.1,0.7,0.3,3.5,5.2,26.1,103,105
Goran Dragić,1986-05-06,1,2017-18,31,MIA,NBA,PG,5,5,156,10.7,23.0,.467,2.5,6.4,.381,8.3,16.5,.500,4.6,6.7,.682,0.9,3.1,4.0,7.0,1.5,0.0,4.6,4.6,28.5,102,118
Tyler Herro,2000-01-20,0,2020-21,21,MIA,NBA,SG,54,15,1635,9.3,21.2,.439,3.3,9.0,.360,6.1,12.2,.498,2.9,3.6,.803,0.8,7.4,8.1,5.6,1.1,0.5,3.1,2.2,24.8,104,113
Tyler Herro,2000-01-20,1,2019-20,20,MIA,NBA,SG,21,5,706,8.5,19.6,.433,3.4,9.1,.375,5.1,10.6,.483,3.3,3.8,.870,0.5,7.1,7.6,5.5,0.6,0.1,3.0,2.2,23.7,106,114
Isaiah Hicks,1994-07-24,0,2018-19,24,NYK,NBA,PF,3,0,32,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,6.0,7.5,.800,3.0,7.5,10.5,3.0,1.5,4.5,1.5,7.5,18.1,123,109
Willy Hernangómez,1994-05-27,0,2017-18,23,TOT,NBA,C,48,1,495,9.0,16.3,.555,0.5,1.2,.417,8.5,15.1,.566,5.9,8.9,.656,6.1,12.1,18.2,3.3,1.8,1.6,3.5,6.4,24.4,117,106
Willy Hernangómez,1994-05-27,0,2017-18,23,NYK,NBA,C,26,0,233,10.4,17.2,.605,0.2,1.1,.200,10.2,16.2,.632,2.6,6.0,.429,4.7,9.6,14.3,4.5,1.7,1.5,5.5,6.8,23.6,102,108
Roy Hibbert,1986-12-11,0,2009-10,23,IND,NBA,C,81,69,2035,9.4,19.0,.495,0.1,0.1,.500,9.3,18.9,.495,4.1,5.4,.754,4.3,7.0,11.3,3.8,0.7,3.2,3.5,6.9,23.0,105,106
J.J. Hickson,1988-09-04,0,2009-10,21,CLE,NBA,PF,81,73,1691,9.0,16.2,.554,0.0,0.0,.000,9.0,16.2,.555,3.4,5.1,.681,3.4,9.0,12.4,1.2,1.1,1.2,2.9,4.1,21.4,109,104
Dewan Hernandez,1996-12-09,0,2019-20,23,TOR,NBA,C,6,0,28,8.5,23.8,.357,1.7,3.4,.500,6.8,20.4,.333,5.1,8.5,.600,8.5,15.3,23.8,5.1,1.7,0.0,5.1,10.2,23.8,95,101
Kyle Guy,1997-08-11,0,2019-20,22,SAC,NBA,SG,3,0,10,9.7,24.3,.400,0.0,14.6,.000,9.7,9.7,1.000,0.0,0.0,,0.0,4.9,4.9,4.9,0.0,0.0,0.0,4.9,19.4,92,118
Jorge Gutiérrez,1988-12-27,0,2013-14,25,BRK,NBA,PG,15,2,244,5.4,11.6,.463,0.6,2.6,.250,4.7,9.0,.524,1.9,2.6,.750,0.6,4.1,4.7,6.5,2.2,0.2,3.0,8.0,13.3,101,109
Marko Guduric,1995-03-08,0,2019-20,24,MEM,NBA,SG,44,0,484,6.0,15.1,.395,2.4,8.0,.301,3.6,7.1,.500,2.3,2.5,.923,1.4,5.7,7.0,4.3,1.2,0.8,3.5,3.3,16.7,97,112
Mario Hezonja,1995-02-25,0,2018-19,23,NYK,NBA,SF,58,24,1206,7.6,18.5,.412,1.7,6.1,.276,6.0,12.5,.478,3.5,4.6,.763,1.1,8.4,9.6,3.5,2.3,0.3,3.5,4.4,20.4,94,112
Mario Hezonja,1995-02-25,0,2019-20,24,POR,NBA,PF,53,4,871,5.0,11.9,.422,1.3,4.3,.308,3.7,7.7,.486,2.6,3.2,.814,1.6,8.4,10.1,2.7,2.0,0.5,2.3,5.9,14.0,104,113
Goran Dragić,1986-05-06,1,2019-20,33,MIA,NBA,PG,17,16,553,10.8,24.3,.444,3.3,9.7,.346,7.4,14.6,.509,4.4,5.5,.803,1.2,5.1,6.2,6.8,1.5,0.2,3.5,4.5,29.3,107,113
Goran Dragić,1986-05-06,1,2020-21,34,MIA,NBA,PG,4,2,117,9.5,22.4,.426,3.7,10.8,.346,5.8,11.6,.500,3.7,5.0,.750,0.4,2.5,2.9,4.6,1.7,0.8,2.5,4.6,26.5,102,119
Juancho Hernangómez,1995-09-28,0,2016-17,21,DEN,NBA,PF,62,9,842,5.9,13.0,.451,2.7,6.6,.407,3.2,6.4,.495,3.3,4.4,.750,2.5,8.4,10.8,1.7,1.7,0.7,1.8,3.6,17.7,117,112
John Henson,1990-12-28,0,2012-13,22,MIL,NBA,PF,63,9,827,9.9,20.6,.482,0.0,0.2,.000,9.9,20.4,.486,3.4,6.4,.533,7.1,11.1,18.2,1.9,1.2,2.6,2.9,5.1,23.3,103,102
Taylor Griffin,1986-04-18,0,2009-10,23,PHO,NBA,SF,8,0,32,6.3,15.7,.400,0.0,3.1,.000,6.3,12.6,.500,3.1,6.3,.500,0.0,3.1,3.1,1.6,0.0,3.1,1.6,6.3,15.7,87,113
Tyler Herro,2000-01-20,1,2020-21,21,MIA,NBA,SG,4,0,93,6.3,19.8,.316,3.1,9.9,.316,3.1,9.9,.316,3.7,3.7,1.000,0.5,6.3,6.8,3.7,0.5,0.5,1.6,1.0,19.3,92,119
Willy Hernangómez,1994-05-27,0,2017-18,23,CHO,NBA,C,22,1,262,7.8,15.5,.506,0.7,1.3,.571,7.1,14.1,.500,8.7,11.5,.758,7.3,14.3,21.6,2.2,1.9,1.7,1.7,6.0,25.1,131,104
Willy Hernangómez,1994-05-27,0,2018-19,24,CHO,NBA,C,58,3,812,9.2,17.7,.519,0.9,2.3,.385,8.3,15.3,.539,6.0,8.6,.694,7.0,11.6,18.6,3.6,1.0,1.2,3.5,5.9,25.2,118,111
Willy Hernangómez,1994-05-27,0,2019-20,25,CHO,NBA,C,31,0,375,9.9,18.6,.532,0.7,2.9,.227,9.2,15.6,.590,4.9,7.9,.627,5.7,12.2,17.9,3.9,1.3,0.9,4.0,4.3,25.4,110,110
Roy Hibbert,1986-12-11,0,2010-11,24,IND,NBA,C,81,80,2244,9.3,20.1,.461,0.0,0.1,.000,9.3,20.0,.463,4.6,6.2,.745,4.1,9.7,13.8,3.7,0.7,3.2,4.2,5.8,23.1,100,104
Roy Hibbert,1986-12-11,0,2011-12,25,IND,NBA,C,65,65,1937,9.1,18.2,.497,0.0,0.0,.000,9.1,18.2,.498,4.6,6.5,.711,5.8,9.8,15.6,2.9,0.9,3.5,3.5,5.3,22.8,109,101
J.J. Hickson,1988-09-04,0,2010-11,22,CLE,NBA,C,80,66,2256,9.8,21.4,.458,0.0,0.1,.000,9.8,21.3,.461,5.6,8.4,.673,5.0,10.9,15.9,2.1,1.1,1.2,4.0,4.9,25.3,98,109
J.J. Hickson,1988-09-04,0,2011-12,23,TOT,NBA,PF,54,19,1244,7.6,16.3,.467,0.0,0.1,.000,7.6,16.2,.469,3.6,5.6,.642,5.5,8.4,13.9,1.9,1.2,1.5,2.9,3.5,18.8,102,108
Kyle Guy,1997-08-11,0,2020-21,23,SAC,NBA,PG,31,0,235,5.9,18.0,.330,2.7,9.4,.283,3.3,8.6,.381,3.3,4.1,.800,1.0,6.1,7.1,6.5,1.2,0.0,2.2,4.1,17.8,99,119
Jorge Gutiérrez,1988-12-27,0,2014-15,26,TOT,NBA,PG,20,1,175,6.4,12.0,.537,0.0,0.9,.000,6.4,11.1,.579,2.6,3.8,.692,1.5,5.9,7.3,6.4,1.8,0.0,3.5,7.3,15.5,105,105
Jorge Gutiérrez,1988-12-27,0,2014-15,26,BRK,NBA,PG,10,0,44,8.2,16.5,.500,0.0,1.2,.000,8.2,15.3,.538,2.4,3.5,.667,0.0,8.2,8.2,8.2,1.2,0.0,3.5,10.6,18.8,101,108
Mario Hezonja,1995-02-25,1,2019-20,24,POR,NBA,PF,5,0,68,6.2,15.2,.409,1.4,4.8,.286,4.8,10.4,.467,2.1,2.8,.750,1.4,9.7,11.1,4.2,2.1,0.0,2.1,5.5,15.9,100,112
Juancho Hernangómez,1995-09-28,0,2017-18,22,DEN,NBA,PF,25,3,277,5.2,13.4,.387,2.5,8.9,.280,2.7,4.5,.600,1.8,2.1,.833,3.2,6.4,9.7,2.1,1.1,0.5,1.6,4.5,14.7,109,113
Juancho Hernangómez,1995-09-28,0,2018-19,23,DEN,NBA,PF,70,25,1358,5.0,11.4,.439,2.4,6.5,.365,2.6,4.8,.541,2.4,3.1,.767,2.3,7.3,9.6,2.0,1.0,0.9,1.3,3.4,14.8,118,110
John Henson,1990-12-28,0,2013-14,23,MIL,NBA,PF,70,23,1856,9.7,18.0,.538,0.0,0.0,.000,9.7,18.0,.539,2.6,5.0,.514,4.8,9.2,14.0,3.2,1.2,3.3,3.2,5.2,22.0,106,108
John Henson,1990-12-28,0,2014-15,24,MIL,NBA,C,67,11,1228,8.1,14.4,.566,0.0,0.0,,8.1,14.4,.566,3.2,5.7,.569,5.2,7.8,13.0,2.5,1.2,5.6,3.6,6.3,19.5,106,98
Willy Hernangómez,1994-05-27,0,2020-21,26,NOP,NBA,C,47,12,846,8.6,15.2,.563,0.1,0.6,.100,8.5,14.6,.581,3.5,5.3,.667,6.6,12.3,18.9,2.8,1.2,1.3,1.9,3.9,20.7,125,111
Orien Greene,1982-02-04,0,2010-11,28,NJN,NBA,SG,3,0,5,10.7,21.4,.500,0.0,0.0,,10.7,21.4,.500,10.7,21.4,.500,0.0,0.0,0.0,10.7,10.7,0.0,0.0,0.0,32.0,121,95
Donté Greene,1988-02-21,0,2009-10,21,SAC,NBA,SF,76,50,1630,7.6,17.3,.441,2.2,5.7,.377,5.5,11.6,.473,2.8,4.4,.643,1.7,5.7,7.3,2.2,1.3,1.7,2.9,4.7,20.3,101,110
Bol Bol,1999-11-16,0,2019-20,20,DEN,NBA,PF,7,0,87,8.0,15.9,.500,2.3,5.1,.444,5.7,10.8,.526,4.5,5.7,.800,2.8,8.0,10.8,3.4,1.1,3.4,5.7,6.2,22.7,102,108
Roy Hibbert,1986-12-11,0,2012-13,26,IND,NBA,C,79,79,2269,9.0,20.2,.448,0.0,0.1,.250,9.0,20.1,.449,3.9,5.3,.741,6.9,8.4,15.4,2.7,0.9,4.8,3.8,6.5,22.0,101,97
Roy Hibbert,1986-12-11,0,2013-14,27,IND,NBA,C,81,81,2409,7.1,16.2,.439,0.0,0.1,.400,7.1,16.1,.439,4.5,5.8,.770,4.4,7.2,11.6,2.0,0.6,3.9,3.2,5.8,18.8,100,98
J.J. Hickson,1988-09-04,0,2011-12,23,SAC,NBA,PF,35,9,644,5.0,13.6,.370,0.0,0.1,.000,5.0,13.5,.372,2.9,4.6,.638,5.3,8.7,13.9,1.7,1.4,1.3,3.1,3.5,13.0,89,109
J.J. Hickson,1988-09-04,0,2011-12,23,POR,NBA,PF,19,10,600,10.4,19.2,.543,0.0,0.1,.000,10.4,19.1,.546,4.3,6.7,.645,5.8,8.1,13.9,2.0,1.1,1.6,2.7,3.6,25.2,113,106
Blake Griffin,1989-03-16,0,2010-11,21,LAC,NBA,PF,82,82,3112,11.6,22.9,.506,0.1,0.4,.292,11.4,22.5,.510,7.4,11.5,.642,4.5,11.9,16.4,5.2,1.0,0.7,3.7,4.2,30.7,111,107
Jorge Gutiérrez,1988-12-27,0,2014-15,26,MIL,NBA,PG,10,1,131,5.8,10.5,.556,0.0,0.8,.000,5.8,9.7,.600,2.7,3.9,.700,1.9,5.1,7.0,5.8,1.9,0.0,3.5,6.2,14.4,107,105
Jorge Gutiérrez,1988-12-27,0,2015-16,27,CHO,NBA,PG,12,0,63,4.8,8.8,.545,0.0,1.6,.000,4.8,7.2,.667,8.0,8.8,.909,0.0,5.6,5.6,13.5,2.4,0.0,4.8,2.4,17.5,124,105
Juancho Hernangómez,1995-09-28,0,2019-20,24,TOT,NBA,PF,48,14,833,5.7,14.2,.405,2.5,7.4,.341,3.2,6.8,.475,2.5,4.1,.620,2.5,8.9,11.3,2.3,1.1,0.5,1.8,3.7,16.6,105,113
Juancho Hernangómez,1995-09-28,0,2019-20,24,DEN,NBA,PF,34,0,422,4.5,12.9,.345,1.8,7.0,.250,2.7,5.9,.460,1.9,2.9,.640,2.8,8.3,11.1,2.6,0.6,0.6,2.1,3.4,12.5,95,113
John Henson,1990-12-28,0,2015-16,25,MIL,NBA,C,57,1,960,8.7,15.4,.564,0.0,0.1,.000,8.7,15.4,.566,3.7,6.2,.590,4.6,7.1,11.7,2.9,1.0,5.8,3.4,7.0,21.1,108,105
John Henson,1990-12-28,0,2016-17,26,MIL,NBA,C,58,39,1123,7.2,14.0,.515,0.0,0.0,.000,7.2,13.9,.516,3.3,4.8,.692,4.2,9.2,13.3,2.6,1.3,3.5,2.4,6.8,17.7,110,106
Donté Greene,1988-02-21,0,2010-11,22,SAC,NBA,SF,69,21,1127,7.0,17.3,.404,2.0,6.9,.292,5.0,10.4,.478,1.9,2.9,.662,2.2,4.4,6.6,2.1,1.6,0.9,2.7,3.9,17.9,97,110
Donté Greene,1988-02-21,0,2011-12,23,SAC,NBA,PF,53,7,777,7.0,17.4,.406,1.6,6.9,.238,5.4,10.5,.516,2.9,3.6,.800,1.2,7.4,8.7,2.2,1.2,1.9,2.1,4.4,18.6,100,110
Bol Bol,1999-11-16,0,2020-21,21,DEN,NBA,PF,32,2,160,7.7,17.9,.431,2.8,7.4,.375,4.9,10.5,.471,3.1,4.6,.667,0.0,7.4,7.4,2.2,0.9,3.1,4.0,4.3,21.3,92,111
Bol Bol,1999-11-16,1,2019-20,20,DEN,NBA,PF,4,0,21,12.1,21.9,.556,4.9,7.3,.667,7.3,14.6,.500,17.0,19.4,.875,7.3,4.9,12.1,0.0,4.9,4.9,4.9,2.4,46.2,137,104
Roy Hibbert,1986-12-11,0,2014-15,28,IND,NBA,C,76,76,1926,8.5,19.0,.446,0.0,0.1,.000,8.5,18.9,.448,4.5,5.5,.824,4.2,10.3,14.4,2.2,0.5,3.3,2.9,5.8,21.5,101,101
Roy Hibbert,1986-12-11,0,2015-16,29,LAL,NBA,C,81,81,1878,4.9,11.0,.443,0.0,0.1,.000,4.9,10.9,.445,3.1,3.9,.807,3.5,7.1,10.6,2.5,0.9,2.9,2.0,6.7,12.9,105,110
J.J. Hickson,1988-09-04,0,2012-13,24,POR,NBA,C,80,80,2323,9.5,16.8,.562,0.0,0.0,.000,9.5,16.8,.563,4.1,6.1,.679,6.0,12.7,18.7,2.0,1.1,1.2,3.3,3.6,23.0,113,106
J.J. Hickson,1988-09-04,0,2013-14,25,DEN,NBA,PF,69,52,1859,8.7,17.2,.508,0.0,0.2,.000,8.7,17.0,.514,3.9,7.6,.517,5.4,11.2,16.6,2.5,1.2,1.3,3.4,4.7,21.4,103,106
Blake Griffin,1989-03-16,0,2011-12,22,LAC,NBA,PF,66,66,2392,12.6,23.0,.549,0.0,0.4,.125,12.6,22.6,.556,5.5,10.5,.521,4.9,11.2,16.1,4.7,1.2,1.1,3.4,4.9,30.8,113,104
Blake Griffin,1989-03-16,0,2012-13,23,LAC,NBA,PF,80,80,2598,11.7,21.7,.538,0.1,0.6,.179,11.6,21.2,.548,5.7,8.6,.660,3.8,9.6,13.4,6.1,2.0,1.0,3.8,4.7,29.2,114,102
Jorge Gutiérrez,1988-12-27,1,2013-14,25,BRK,NBA,PG,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,37.0,74.1,.500,18.5,0.0,18.5,0.0,0.0,0.0,0.0,0.0,37.0,139,120
Jorge Gutiérrez,1988-12-27,1,2014-15,26,MIL,NBA,PG,1,0,12,4.3,8.6,.500,0.0,0.0,,4.3,8.6,.500,0.0,0.0,,0.0,4.3,4.3,4.3,0.0,0.0,0.0,4.3,8.6,116,113
Juancho Hernangómez,1995-09-28,0,2019-20,24,MIN,NBA,PF,14,14,411,7.0,15.5,.453,3.3,7.8,.420,3.7,7.7,.485,3.2,5.2,.609,2.1,9.4,11.5,2.0,1.6,0.5,1.6,4.0,20.4,114,112
Juancho Hernangómez,1995-09-28,0,2020-21,25,MIN,NBA,PF,52,6,900,6.8,15.7,.435,2.9,8.8,.327,3.9,6.9,.573,3.1,5.1,.619,2.4,8.4,10.8,1.8,1.0,0.4,1.4,2.7,19.7,111,117
John Henson,1990-12-28,0,2017-18,27,MIL,NBA,C,76,69,1970,7.3,12.7,.572,0.0,0.2,.143,7.2,12.5,.578,2.3,4.0,.570,3.8,9.2,13.0,2.9,1.1,2.8,2.1,5.1,16.8,115,108
John Henson,1990-12-28,0,2018-19,28,MIL,NBA,C,14,0,188,7.7,16.6,.463,2.7,7.7,.355,4.9,8.9,.556,1.5,2.5,.600,4.0,13.6,17.6,3.5,1.7,2.7,3.0,4.0,19.5,108,99
Andrew Bogut,1984-11-28,0,2009-10,25,MIL,NBA,C,69,69,2229,11.1,21.4,.520,0.0,0.0,.000,11.1,21.3,.521,3.5,5.6,.629,4.9,11.6,16.5,3.0,0.9,4.1,3.1,5.2,25.7,107,98
Bojan Bogdanović,1989-04-18,0,2014-15,25,BRK,NBA,SF,78,28,1854,7.3,16.1,.453,2.5,7.1,.355,4.7,8.9,.531,2.4,3.0,.821,1.4,4.6,5.9,1.9,0.9,0.3,2.2,2.9,19.5,106,111
Bol Bol,1999-11-16,1,2020-21,21,DEN,NBA,PF,3,0,6,0.0,8.3,.000,0.0,8.3,.000,0.0,0.0,,0.0,0.0,,0.0,8.3,8.3,16.6,0.0,0.0,0.0,0.0,0.0,95,126
Roy Hibbert,1986-12-11,0,2016-17,30,TOT,NBA,C,48,13,682,5.9,10.8,.544,0.0,0.0,,5.9,10.8,.544,4.5,5.5,.813,4.0,7.2,11.2,1.5,0.6,3.4,2.4,7.4,16.2,117,107
Roy Hibbert,1986-12-11,0,2016-17,30,CHO,NBA,C,42,13,671,5.8,10.8,.542,0.0,0.0,,5.8,10.8,.542,4.6,5.6,.813,4.0,7.3,11.2,1.5,0.6,3.3,2.3,7.3,16.2,117,107
J.J. Hickson,1988-09-04,0,2014-15,26,DEN,NBA,C,73,8,1411,7.7,16.2,.475,0.0,0.1,.000,7.7,16.2,.477,4.1,7.1,.577,5.3,10.7,16.0,2.0,1.3,1.2,3.4,4.8,19.5,100,106
J.J. Hickson,1988-09-04,0,2015-16,27,TOT,NBA,C,35,9,436,9.1,17.7,.516,0.0,0.1,.000,9.1,17.6,.519,5.2,11.7,.447,4.4,10.6,15.1,2.6,1.7,1.6,2.9,5.4,23.5,102,105
Blake Griffin,1989-03-16,0,2013-14,24,LAC,NBA,PF,80,80,2863,12.5,23.7,.528,0.2,0.8,.273,12.3,23.0,.537,8.4,11.8,.715,3.4,9.9,13.2,5.4,1.6,0.9,3.9,4.6,33.7,114,103
Blake Griffin,1989-03-16,0,2014-15,25,LAC,NBA,PF,67,67,2356,12.3,24.6,.502,0.2,0.5,.400,12.1,24.1,.504,6.7,9.2,.728,2.7,8.2,10.9,7.6,1.4,0.8,3.3,4.2,31.6,113,106
Jorge Gutiérrez,1988-12-27,1,2015-16,27,CHO,NBA,PG,3,0,12,0.0,13.2,.000,0.0,0.0,,0.0,13.2,.000,0.0,0.0,,0.0,8.8,8.8,8.8,0.0,0.0,4.4,0.0,0.0,23,112
Juancho Hernangómez,1995-09-28,1,2018-19,23,DEN,NBA,PF,5,0,15,3.5,10.4,.333,3.5,6.9,.500,0.0,3.5,.000,0.0,0.0,,0.0,10.4,10.4,0.0,0.0,0.0,3.5,6.9,10.4,72,114
John Henson,1990-12-28,0,2019-20,29,TOT,NBA,C,40,8,600,7.7,13.9,.556,0.7,2.9,.222,7.1,11.0,.644,1.9,3.7,.500,3.7,9.4,13.2,4.4,2.0,3.4,2.9,6.3,18.0,112,109
John Henson,1990-12-28,0,2019-20,29,CLE,NBA,C,29,2,412,7.2,14.2,.508,0.7,3.7,.194,6.5,10.5,.618,2.0,3.9,.515,3.8,9.7,13.5,5.1,1.9,3.8,2.5,6.5,17.1,112,109
Andrew Bogut,1984-11-28,0,2010-11,26,MIL,NBA,C,65,65,2297,8.5,17.3,.495,0.0,0.1,.000,8.5,17.2,.497,2.2,5.1,.442,4.6,12.1,16.8,3.0,1.1,3.9,2.9,5.1,19.3,100,97
Andrew Bogut,1984-11-28,0,2011-12,27,MIL,NBA,C,12,12,364,8.6,19.1,.449,0.0,0.1,.000,8.6,19.0,.452,2.0,3.2,.609,3.1,11.0,14.1,4.4,1.7,3.4,3.4,5.1,19.1,94,100
Bojan Bogdanović,1989-04-18,0,2015-16,26,BRK,NBA,SF,79,39,2115,7.7,17.8,.433,3.1,8.1,.382,4.6,9.8,.474,2.6,3.1,.833,0.9,5.2,6.1,2.4,0.7,0.1,2.7,2.8,21.1,102,115
Bojan Bogdanović,1989-04-18,0,2016-17,27,TOT,NBA,SF,81,54,2083,8.7,19.4,.445,3.3,9.0,.367,5.3,10.4,.512,5.0,5.6,.893,0.9,5.5,6.4,2.6,0.8,0.2,3.0,3.4,25.6,108,114
Roy Hibbert,1986-12-11,0,2016-17,30,DEN,NBA,C,6,0,11,8.9,13.3,.667,0.0,0.0,,8.9,13.3,.667,0.0,0.0,,4.4,4.4,8.9,4.4,0.0,8.9,4.4,13.3,17.8,112,106
Roy Hibbert,1986-12-11,1,2010-11,24,IND,NBA,C,5,5,132,8.1,18.2,.444,0.0,0.0,,8.1,18.2,.444,4.8,6.9,.706,6.1,7.7,13.7,1.2,0.8,3.6,5.3,8.5,21.0,93,108
J.J. Hickson,1988-09-04,0,2015-16,27,DEN,NBA,C,20,9,305,9.0,17.9,.505,0.0,0.0,,9.0,17.9,.505,4.4,9.7,.458,3.6,10.7,14.3,2.6,1.6,2.0,2.6,5.8,22.5,101,105
J.J. Hickson,1988-09-04,0,2015-16,27,WAS,NBA,C,15,0,131,9.3,17.1,.543,0.0,0.4,.000,9.3,16.7,.556,7.1,16.4,.432,6.3,10.4,16.7,2.6,1.9,0.7,3.3,4.5,25.7,104,104
Blake Griffin,1989-03-16,0,2015-16,26,LAC,NBA,PF,35,35,1170,12.9,25.8,.499,0.3,0.8,.333,12.6,25.1,.504,6.0,8.3,.727,2.2,10.4,12.6,7.3,1.2,0.7,3.6,4.1,32.1,108,103
Blake Griffin,1989-03-16,0,2016-17,27,LAC,NBA,PF,61,61,2076,11.5,23.4,.493,0.9,2.7,.336,10.6,20.7,.514,7.7,10.1,.760,2.7,9.3,12.0,7.2,1.4,0.5,3.4,3.8,31.7,115,108
John Henson,1990-12-28,0,2019-20,29,DET,NBA,C,11,6,188,8.9,13.3,.667,0.5,1.3,.400,8.4,12.0,.696,1.6,3.4,.462,3.7,8.9,12.6,2.9,2.1,2.6,3.9,6.0,19.9,112,108
John Henson,1990-12-28,1,2012-13,22,MIL,NBA,PF,4,0,33,4.8,17.6,.273,0.0,1.6,.000,4.8,16.0,.300,0.0,0.0,,0.0,12.8,12.8,1.6,3.2,0.0,3.2,8.0,9.6,51,104
Andrew Bogut,1984-11-28,0,2012-13,28,GSW,NBA,C,32,32,786,5.4,11.9,.451,0.1,0.1,1.000,5.3,11.8,.448,1.2,2.5,.500,4.4,11.4,15.8,4.3,1.3,3.6,2.3,5.5,12.0,103,100
Andrew Bogut,1984-11-28,0,2013-14,29,GSW,NBA,C,67,67,1769,6.6,10.6,.627,0.0,0.0,,6.6,10.6,.627,0.6,1.8,.344,5.1,13.8,18.9,3.2,1.3,3.4,2.7,5.9,13.9,115,96
Bojan Bogdanović,1989-04-18,0,2016-17,27,BRK,NBA,SF,55,54,1482,8.6,19.5,.440,3.2,8.9,.357,5.4,10.7,.509,4.7,5.3,.874,0.7,5.6,6.3,2.9,0.8,0.1,3.0,3.2,25.0,106,114
Bojan Bogdanović,1989-04-18,0,2016-17,27,WAS,NBA,SF,26,0,601,8.8,19.2,.457,3.7,9.4,.391,5.1,9.8,.521,5.8,6.2,.934,1.1,5.4,6.6,1.7,0.8,0.3,3.1,3.9,27.1,113,113
Roy Hibbert,1986-12-11,1,2011-12,25,IND,NBA,C,11,11,340,8.3,16.7,.500,0.2,0.2,1.000,8.2,16.5,.495,3.9,5.8,.667,7.2,12.5,19.7,1.9,0.6,5.5,3.5,6.1,20.7,108,95
Roy Hibbert,1986-12-11,1,2012-13,26,IND,NBA,C,19,19,694,9.5,18.6,.511,0.0,0.0,,9.5,18.6,.511,6.6,8.2,.806,7.1,7.8,14.9,2.1,0.2,2.9,3.4,5.9,25.6,117,104
J.J. Hickson,1988-09-04,1,2009-10,21,CLE,NBA,PF,11,0,79,9.2,14.4,.636,0.0,0.0,,9.2,14.4,.636,7.2,10.5,.688,0.7,5.3,5.9,0.7,0.0,0.0,3.9,5.9,25.6,110,112
Blake Griffin,1989-03-16,0,2017-18,28,TOT,NBA,PF,58,58,1970,10.9,24.8,.438,2.8,8.0,.345,8.1,16.8,.482,6.5,8.2,.785,1.8,8.9,10.7,8.3,1.0,0.4,4.1,3.5,31.0,109,110
Blake Griffin,1989-03-16,0,2017-18,28,LAC,NBA,PF,33,33,1139,10.9,24.7,.441,2.7,8.0,.342,8.2,16.7,.488,7.3,9.3,.785,2.0,9.2,11.2,7.6,1.3,0.4,4.2,3.3,31.8,110,110
