Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Solomon Hill,1991-03-18,0,2017-18,26,NOP,NBA,SF,12,1,187,2.1,7.9,.268,0.8,4.0,.190,1.3,3.9,.350,0.6,1.2,.500,1.7,5.2,6.9,4.2,1.3,0.2,1.7,4.2,5.6
Jordan Hill,1987-07-27,0,2010-11,23,HOU,NBA,C,72,11,1125,5.5,11.3,.491,0.0,0.1,.000,5.5,11.2,.494,1.9,2.7,.706,4.1,5.7,9.8,0.9,0.4,1.7,2.0,5.0,13.0
Jordan Hill,1987-07-27,0,2011-12,24,TOT,NBA,C,39,8,551,5.4,10.8,.497,0.0,0.2,.000,5.4,10.6,.506,2.0,3.1,.638,4.0,8.2,12.2,1.0,0.9,1.8,2.0,4.6,12.7
Glenn Robinson III,1994-01-08,0,2017-18,24,IND,NBA,SF,23,1,338,3.8,9.1,.424,1.5,3.6,.412,2.3,5.4,.431,1.0,1.2,.818,1.2,2.8,3.9,1.8,1.4,0.1,0.5,1.5,10.1
Glenn Robinson III,1994-01-08,0,2018-19,25,DET,NBA,SF,47,18,610,4.4,10.4,.420,1.1,3.7,.290,3.3,6.7,.491,1.9,2.4,.800,1.0,3.2,4.2,1.2,0.8,0.5,1.1,2.7,11.7
Chauncey Billups,1976-09-25,0,2009-10,33,DEN,NBA,PG,73,73,2490,5.8,13.9,.418,2.3,5.9,.386,3.5,8.0,.441,6.7,7.4,.910,0.4,2.9,3.3,5.9,1.2,0.1,2.6,2.2,20.6
Andris Biedriņš,1986-04-02,0,2009-10,23,GSW,NBA,C,33,29,763,3.8,6.5,.591,0.0,0.0,,3.8,6.5,.591,0.2,1.2,.160,3.0,9.2,12.2,2.7,0.9,2.1,1.5,5.5,7.8
Grant Hill,1972-10-05,0,2011-12,39,PHO,NBA,SF,49,46,1378,5.3,11.8,.446,0.4,1.4,.264,4.9,10.4,.470,2.2,2.8,.761,0.8,3.7,4.5,2.8,1.1,0.8,1.7,2.3,13.0
Grant Hill,1972-10-05,0,2012-13,40,LAC,NBA,SF,29,0,437,3.1,8.1,.388,0.2,0.9,.273,2.9,7.2,.402,1.2,2.0,.583,0.5,3.5,4.0,2.1,0.9,0.6,2.1,3.2,7.7
George Hill,1986-05-04,0,2010-11,24,SAS,NBA,PG,76,5,2148,4.8,10.6,.453,1.3,3.4,.377,3.5,7.2,.490,3.9,4.5,.863,0.4,2.9,3.3,3.2,1.1,0.4,1.7,2.6,14.8
George Hill,1986-05-04,0,2011-12,25,IND,NBA,PG,50,9,1274,4.7,10.7,.442,1.5,4.2,.367,3.2,6.6,.489,2.6,3.3,.778,0.9,3.4,4.3,4.1,1.2,0.5,1.5,2.8,13.6
Khem Birch,1992-09-28,0,2018-19,26,ORL,NBA,C,50,1,643,5.1,8.5,.603,0.0,0.1,.000,5.1,8.4,.607,3.2,4.6,.699,4.4,6.2,10.6,2.1,1.0,1.6,1.1,4.0,13.4
Khem Birch,1992-09-28,0,2019-20,27,ORL,NBA,C,48,24,922,2.9,5.6,.510,0.0,0.0,.000,2.9,5.5,.514,2.6,3.9,.653,3.6,5.0,8.6,2.0,0.8,0.9,1.2,3.6,8.3
Nenê,1982-09-13,0,2010-11,28,DEN,NBA,C,75,75,2291,6.3,10.3,.615,0.0,0.1,.200,6.3,10.2,.618,4.5,6.3,.711,2.3,6.7,9.0,2.3,1.3,1.1,2.1,3.7,17.1
Nenê,1982-09-13,0,2011-12,29,TOT,NBA,C,39,33,1110,6.8,12.7,.537,0.0,0.1,.000,6.8,12.6,.542,3.7,5.4,.673,2.0,7.4,9.4,2.6,1.4,1.2,3.1,3.1,17.4
Kirk Hinrich,1981-01-02,0,2012-13,32,CHI,NBA,PG,60,60,1764,3.2,8.6,.377,1.4,3.7,.390,1.8,4.9,.367,1.4,2.0,.714,0.3,2.9,3.2,6.4,1.3,0.5,2.0,3.9,9.4
Kirk Hinrich,1981-01-02,0,2013-14,33,CHI,NBA,PG,73,61,2116,4.1,10.5,.393,1.4,4.1,.351,2.7,6.4,.419,1.6,2.1,.760,0.5,2.7,3.3,4.9,1.4,0.4,2.0,3.5,11.3
Solomon Hill,1991-03-18,0,2018-19,27,NOP,NBA,SF,44,15,878,2.8,7.3,.382,1.3,4.1,.317,1.5,3.2,.468,0.9,1.3,.719,1.4,4.1,5.5,2.3,0.9,0.4,1.3,3.3,7.8
Solomon Hill,1991-03-18,0,2019-20,28,TOT,NBA,PF,59,4,1088,3.6,9.2,.396,2.1,5.7,.368,1.6,3.5,.439,1.3,1.8,.741,1.0,4.5,5.5,3.4,1.4,0.4,1.7,2.8,10.7
Jordan Hill,1987-07-27,0,2011-12,24,HOU,NBA,C,32,7,469,5.2,10.4,.504,0.0,0.2,.000,5.2,10.1,.515,1.9,3.0,.641,3.6,8.3,11.9,1.1,0.7,1.6,1.8,4.6,12.4
Jordan Hill,1987-07-27,0,2011-12,24,LAL,NBA,C,7,1,82,6.1,13.2,.467,0.0,0.0,,6.1,13.2,.467,2.2,3.5,.625,6.1,7.5,13.6,0.9,2.2,2.6,3.1,4.8,14.5
Glenn Robinson III,1994-01-08,0,2019-20,26,TOT,NBA,SF,62,52,1786,5.8,11.9,.486,1.6,4.0,.391,4.3,8.0,.534,1.5,1.7,.860,1.6,3.8,5.4,1.9,1.1,0.3,1.1,2.0,14.7
Glenn Robinson III,1994-01-08,0,2019-20,26,GSW,NBA,SF,48,48,1516,5.8,12.0,.481,1.6,4.0,.400,4.2,8.0,.522,1.5,1.8,.851,1.6,3.8,5.4,2.0,1.1,0.3,1.2,1.9,14.7
Chauncey Billups,1976-09-25,0,2010-11,34,TOT,NBA,PG,72,72,2310,5.3,12.4,.427,2.3,5.7,.402,3.0,6.7,.448,6.0,6.5,.916,0.4,2.6,3.0,6.0,1.1,0.2,2.8,2.3,18.8
Chauncey Billups,1976-09-25,0,2010-11,34,DEN,NBA,PG,51,51,1646,5.1,11.7,.438,2.3,5.2,.441,2.8,6.5,.436,5.8,6.3,.923,0.3,2.5,2.7,5.9,1.1,0.3,2.8,2.1,18.4
Andris Biedriņš,1986-04-02,0,2010-11,24,GSW,NBA,C,59,55,1397,3.7,6.9,.534,0.0,0.0,,3.7,6.9,.534,0.3,0.8,.323,3.7,7.2,11.0,1.5,1.3,1.3,1.5,5.1,7.6
Andris Biedriņš,1986-04-02,0,2011-12,25,GSW,NBA,C,47,35,739,1.9,3.1,.609,0.0,0.0,,1.9,3.1,.609,0.0,0.4,.111,2.2,6.4,8.6,0.8,1.1,2.2,0.7,6.1,3.8
Grant Hill,1972-10-05,1,2009-10,37,PHO,NBA,SF,16,16,452,4.7,9.8,.480,0.2,1.3,.188,4.5,8.5,.523,2.6,3.0,.868,1.0,6.5,7.4,2.9,1.0,0.8,1.5,3.7,12.3
Grant Hill,1972-10-05,1,2012-13,40,LAC,NBA,SF,1,0,20,3.6,7.2,.500,0.0,0.0,,3.6,7.2,.500,0.0,0.0,,3.6,3.6,7.2,3.6,0.0,0.0,1.8,9.0,7.2
Mike Bibby,1978-05-13,0,2009-10,31,ATL,NBA,PG,80,80,2195,4.4,10.6,.416,2.1,5.3,.389,2.3,5.2,.444,1.1,1.3,.861,0.3,2.7,3.0,5.1,1.1,0.0,1.5,2.6,12.0
George Hill,1986-05-04,0,2012-13,26,IND,NBA,PG,76,76,2620,5.3,12.0,.443,1.8,4.9,.368,3.5,7.1,.494,2.4,2.9,.817,0.6,3.3,3.9,4.9,1.1,0.4,1.6,1.8,14.8
George Hill,1986-05-04,0,2013-14,27,IND,NBA,PG,76,76,2434,4.0,9.1,.442,1.4,3.8,.365,2.6,5.3,.497,2.1,2.6,.807,0.8,3.4,4.2,3.9,1.1,0.3,1.4,2.3,11.6
George Hill,1986-05-04,0,2014-15,28,IND,NBA,PG,43,36,1267,7.2,15.2,.477,2.0,5.5,.358,5.3,9.7,.544,3.2,4.1,.790,0.7,4.4,5.1,6.3,1.3,0.4,2.0,3.2,19.7
Khem Birch,1992-09-28,0,2020-21,28,TOT,NBA,C,67,22,1529,4.4,8.9,.497,0.3,1.2,.250,4.1,7.7,.537,2.1,3.0,.705,4.1,5.0,9.1,2.1,1.1,1.2,1.0,2.7,11.3
Khem Birch,1992-09-28,0,2020-21,28,ORL,NBA,C,48,5,952,3.6,7.9,.450,0.2,0.8,.190,3.4,7.1,.479,2.4,3.2,.741,4.4,4.8,9.2,2.0,1.2,1.1,0.9,2.5,9.6
Khem Birch,1992-09-28,0,2020-21,28,TOR,NBA,C,19,17,577,5.9,10.7,.556,0.6,1.9,.290,5.4,8.7,.614,1.7,2.7,.636,3.6,5.4,9.0,2.2,1.0,1.4,1.3,2.9,14.2
Nenê,1982-09-13,0,2011-12,29,DEN,NBA,C,28,27,826,6.2,12.2,.509,0.0,0.1,.000,6.2,12.2,.513,3.9,5.8,.677,1.9,7.2,9.1,2.7,1.6,1.1,3.4,3.0,16.4
Nenê,1982-09-13,0,2011-12,29,WAS,NBA,C,11,6,284,8.6,14.2,.607,0.0,0.3,.000,8.6,13.9,.618,2.9,4.4,.657,2.5,8.0,10.5,2.4,0.8,1.6,2.4,3.3,20.2
Kirk Hinrich,1981-01-02,0,2014-15,34,CHI,NBA,SG,66,22,1610,3.2,8.5,.373,1.3,3.8,.345,1.9,4.8,.394,0.8,1.1,.700,0.4,2.3,2.7,3.3,1.0,0.3,1.6,3.2,8.4
Kirk Hinrich,1981-01-02,0,2015-16,35,TOT,NBA,PG,46,7,631,2.8,7.4,.380,1.4,3.5,.387,1.4,3.8,.373,0.9,0.9,.938,0.5,3.5,4.0,4.2,0.9,0.1,1.7,3.7,7.8
Solomon Hill,1991-03-18,0,2019-20,28,MEM,NBA,PF,48,3,901,3.8,9.3,.412,2.2,5.9,.381,1.6,3.4,.465,1.0,1.5,.684,1.0,4.8,5.8,3.8,1.2,0.3,1.6,2.9,10.9
Solomon Hill,1991-03-18,0,2019-20,28,MIA,NBA,PF,11,1,187,2.7,8.7,.311,1.3,4.6,.292,1.3,4.0,.333,2.7,3.1,.875,1.0,3.1,4.0,1.9,2.3,1.0,2.1,2.3,9.4
Solomon Hill,1991-03-18,0,2020-21,29,ATL,NBA,PF,71,16,1513,2.5,7.1,.359,1.6,5.0,.321,0.9,2.0,.453,0.8,1.1,.761,1.0,4.1,5.1,1.8,1.2,0.3,1.0,2.8,7.5
Jordan Hill,1987-07-27,0,2012-13,25,LAL,NBA,PF,29,1,458,6.1,12.2,.497,0.0,0.2,.000,6.1,12.0,.503,3.1,4.8,.656,6.4,6.6,13.0,1.0,0.6,1.5,2.0,4.3,15.2
Jordan Hill,1987-07-27,0,2013-14,26,LAL,NBA,PF,72,32,1500,6.9,12.5,.549,0.0,0.0,.000,6.9,12.5,.550,3.0,4.3,.685,4.7,8.2,12.8,1.3,0.7,1.5,1.8,4.1,16.7
Glenn Robinson III,1994-01-08,0,2019-20,26,PHI,NBA,SF,14,4,270,5.9,11.3,.518,1.2,3.6,.333,4.7,7.7,.603,1.5,1.6,.917,2.0,3.9,5.9,1.5,1.2,0.3,0.7,2.4,14.4
Glenn Robinson III,1994-01-08,0,2020-21,27,SAC,NBA,SF,23,2,369,4.1,9.7,.424,1.6,4.3,.364,2.5,5.4,.473,2.0,2.2,.913,1.1,3.3,4.4,2.0,0.4,0.3,1.1,2.2,11.8
Chauncey Billups,1976-09-25,0,2010-11,34,NYK,NBA,PG,21,21,664,5.6,14.0,.403,2.2,6.8,.328,3.4,7.2,.474,6.5,7.2,.902,0.7,2.8,3.5,6.3,1.0,0.1,2.6,2.8,20.0
Chauncey Billups,1976-09-25,0,2011-12,35,LAC,NBA,SG,20,20,607,4.9,13.5,.364,2.8,7.4,.384,2.1,6.1,.340,5.0,5.6,.895,0.2,2.7,3.0,4.7,0.5,0.2,2.3,2.4,17.7
Andris Biedriņš,1986-04-02,0,2012-13,26,GSW,NBA,C,53,9,495,0.7,1.5,.476,0.0,0.0,,0.7,1.5,.476,0.3,0.9,.308,2.5,8.7,11.1,1.0,1.1,3.1,1.0,7.3,1.7
Andris Biedriņš,1986-04-02,0,2013-14,27,UTA,NBA,C,6,0,45,0.8,0.8,1.000,0.0,0.0,,0.8,0.8,1.000,0.8,4.8,.167,1.6,12.0,13.6,0.0,0.0,0.0,1.6,4.8,2.4
Mike Bibby,1978-05-13,0,2010-11,32,TOT,NBA,PG,80,68,2285,3.9,9.1,.431,2.4,5.5,.440,1.5,3.6,.417,0.6,1.0,.629,0.3,2.8,3.1,4.2,0.8,0.1,1.6,2.8,10.8
George Hill,1986-05-04,0,2015-16,29,IND,NBA,PG,74,73,2524,4.6,10.5,.441,1.8,4.5,.408,2.8,6.1,.466,1.6,2.1,.760,0.8,3.4,4.3,3.7,1.2,0.2,1.4,2.1,12.8
George Hill,1986-05-04,0,2016-17,30,UTA,NBA,PG,49,49,1544,6.7,14.1,.477,2.2,5.4,.403,4.5,8.7,.523,3.7,4.6,.801,0.5,3.4,3.9,4.8,1.2,0.3,2.0,2.7,19.3
Khem Birch,1992-09-28,1,2018-19,26,ORL,NBA,C,5,0,92,3.9,7.0,.556,0.0,0.0,,3.9,7.0,.556,2.3,2.7,.857,3.5,8.6,12.1,1.6,0.4,2.0,2.3,3.1,10.2
Khem Birch,1992-09-28,1,2019-20,27,ORL,NBA,C,5,0,89,2.8,5.7,.500,0.0,0.0,,2.8,5.7,.500,4.0,4.4,.909,3.6,6.5,10.1,2.8,0.4,0.0,2.0,4.4,9.7
Nenê,1982-09-13,0,2012-13,30,WAS,NBA,PF,61,49,1659,6.2,12.9,.480,0.0,0.0,.000,6.2,12.9,.481,4.3,5.8,.729,2.2,6.6,8.8,3.8,1.2,0.8,3.0,3.7,16.6
Nenê,1982-09-13,0,2013-14,31,WAS,NBA,PF,53,37,1560,6.9,13.7,.503,0.0,0.1,.200,6.9,13.6,.506,3.6,6.1,.583,1.5,5.3,6.8,3.5,1.5,1.1,2.7,3.8,17.4
Kirk Hinrich,1981-01-02,0,2015-16,35,CHI,NBA,PG,35,7,555,3.0,7.7,.398,1.5,3.6,.411,1.6,4.0,.387,1.0,1.0,.938,0.5,3.3,3.8,3.8,0.8,0.1,1.8,4.1,8.6
Kirk Hinrich,1981-01-02,0,2015-16,35,ATL,NBA,PG,11,0,76,0.9,5.2,.182,0.5,2.8,.167,0.5,2.4,.200,0.0,0.0,,0.5,5.2,5.7,6.6,0.9,0.5,1.4,0.5,2.4
Solomon Hill,1991-03-18,1,2013-14,22,IND,NBA,SF,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Hill,1991-03-18,1,2015-16,24,IND,NBA,SF,7,0,198,2.5,5.6,.452,2.0,3.5,.579,0.5,2.2,.250,2.7,2.9,.938,0.9,4.2,5.1,1.5,0.4,0.0,0.5,3.6,9.8
Jordan Hill,1987-07-27,0,2014-15,27,LAL,NBA,C,70,57,1874,6.9,14.9,.459,0.1,0.2,.273,6.8,14.7,.462,2.4,3.2,.738,3.3,7.3,10.7,2.0,0.7,1.0,2.0,3.2,16.2
Jordan Hill,1987-07-27,0,2015-16,28,IND,NBA,C,73,11,1513,6.6,13.1,.506,0.0,0.0,.000,6.6,13.0,.507,2.1,3.0,.712,3.7,7.0,10.7,2.1,0.9,0.9,2.2,3.7,15.3
Glenn Robinson III,1994-01-08,1,2015-16,22,IND,NBA,SF,4,0,10,10.8,14.4,.750,0.0,0.0,,10.8,14.4,.750,3.6,3.6,1.000,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,25.2
Glenn Robinson III,1994-01-08,1,2016-17,23,IND,NBA,SF,3,0,31,7.0,7.0,1.000,2.3,2.3,1.000,4.6,4.6,1.000,1.2,2.3,.500,0.0,3.5,3.5,1.2,0.0,0.0,0.0,2.3,17.4
Chauncey Billups,1976-09-25,0,2012-13,36,LAC,NBA,SG,22,22,418,4.6,11.4,.402,2.8,7.8,.367,1.7,3.6,.476,3.9,4.1,.938,0.2,2.6,2.8,4.2,1.0,0.1,2.2,2.2,15.8
Chauncey Billups,1976-09-25,0,2013-14,37,DET,NBA,SG,19,7,309,2.8,9.2,.304,1.6,5.6,.292,1.2,3.6,.323,1.2,1.4,.833,0.5,2.8,3.3,4.9,0.9,0.1,2.9,2.9,8.4
Andris Biedriņš,1986-04-02,1,2012-13,26,GSW,NBA,C,3,0,17,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,4.2,10.6,14.8,2.1,0.0,4.2,2.1,12.7,0.0
Mike Bibby,1978-05-13,0,2010-11,32,ATL,NBA,PG,56,56,1674,4.1,9.5,.435,2.4,5.5,.441,1.7,4.0,.427,0.6,1.0,.630,0.3,2.8,3.1,4.3,0.8,0.1,1.5,2.7,11.3
Mike Bibby,1978-05-13,0,2010-11,32,WAS,NBA,PG,2,0,29,1.2,11.2,.111,0.0,5.0,.000,1.2,6.2,.200,0.0,0.0,,0.0,3.7,3.7,9.9,1.2,0.0,1.2,3.7,2.5
George Hill,1986-05-04,0,2017-18,31,TOT,NBA,PG,67,60,1812,4.7,10.2,.460,1.7,4.1,.415,3.0,6.1,.490,2.2,2.8,.786,0.8,2.8,3.6,3.7,1.2,0.5,1.7,2.5,13.3
George Hill,1986-05-04,0,2017-18,31,SAC,NBA,PG,43,36,1143,4.8,10.3,.469,1.8,4.0,.453,3.0,6.2,.480,2.4,3.1,.778,0.7,3.0,3.7,3.7,1.2,0.4,1.9,2.4,13.9
Nenê,1982-09-13,0,2014-15,32,WAS,NBA,PF,67,58,1693,6.5,12.8,.511,0.0,0.1,.200,6.5,12.7,.513,2.6,4.3,.604,1.8,5.5,7.3,2.6,1.4,0.5,2.6,3.8,15.7
Nenê,1982-09-13,0,2015-16,33,WAS,NBA,PF,57,11,1094,6.9,12.6,.544,0.0,0.1,.000,6.9,12.5,.549,3.5,6.1,.578,1.7,6.8,8.5,3.2,1.8,0.9,2.5,5.1,17.3
Kirk Hinrich,1981-01-02,1,2009-10,29,CHI,NBA,SG,5,5,196,4.0,9.6,.423,1.5,2.9,.500,2.6,6.6,.389,1.8,2.6,.714,0.2,3.9,4.0,3.7,1.3,0.0,0.4,2.6,11.4
Kirk Hinrich,1981-01-02,1,2010-11,30,ATL,NBA,PG,6,6,173,5.4,10.8,.500,1.7,4.0,.421,3.7,6.9,.545,0.2,0.2,1.000,0.2,2.7,2.9,3.3,1.5,0.4,0.8,4.4,12.7
Solomon Hill,1991-03-18,1,2017-18,26,NOP,NBA,SF,9,0,114,2.8,7.9,.360,1.9,5.1,.375,0.9,2.8,.333,2.8,3.2,.900,1.9,3.5,5.4,2.2,0.3,0.3,1.9,5.4,10.4
Solomon Hill,1991-03-18,1,2019-20,28,MIA,NBA,PF,7,0,42,4.3,7.7,.556,1.7,5.1,.333,2.6,2.6,1.000,0.0,0.0,,0.9,5.1,6.0,2.6,0.9,0.0,0.0,4.3,10.3
Jordan Hill,1987-07-27,0,2016-17,29,MIN,NBA,C,7,0,47,3.8,10.0,.385,0.0,0.0,,3.8,10.0,.385,1.5,1.5,1.000,6.1,4.6,10.7,0.0,0.8,0.0,3.1,6.9,9.2
Jordan Hill,1987-07-27,1,2011-12,24,LAL,NBA,C,12,0,217,3.8,8.8,.434,0.0,0.0,,3.8,8.8,.434,1.8,2.7,.688,6.5,6.1,12.6,0.2,0.5,1.3,1.2,5.3,9.5
Glenn Robinson III,1994-01-08,1,2017-18,24,IND,NBA,SF,2,0,6,6.0,6.0,1.000,0.0,0.0,,6.0,6.0,1.000,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0
Glenn Robinson III,1994-01-08,1,2018-19,25,DET,NBA,SF,3,0,36,4.0,15.0,.267,1.0,8.0,.125,3.0,7.0,.429,4.0,4.0,1.000,2.0,5.0,7.0,2.0,2.0,0.0,1.0,5.0,13.0
Chauncey Billups,1976-09-25,1,2009-10,33,DEN,NBA,PG,6,6,207,6.4,14.4,.446,1.9,5.4,.355,4.5,9.0,.500,6.4,7.3,.881,0.2,2.3,2.4,6.6,1.0,0.5,3.1,4.2,21.2
Chauncey Billups,1976-09-25,1,2010-11,34,NYK,NBA,PG,1,1,35,3.1,11.3,.273,2.1,6.2,.333,1.0,5.1,.200,2.1,2.1,1.000,0.0,2.1,2.1,4.1,0.0,0.0,3.1,2.1,10.3
Mike Bibby,1978-05-13,0,2010-11,32,MIA,NBA,PG,22,12,582,3.4,7.8,.437,2.5,5.4,.455,0.9,2.4,.395,0.6,1.0,.625,0.1,2.9,3.0,3.4,0.7,0.2,2.0,2.9,9.9
Mike Bibby,1978-05-13,0,2011-12,33,NYK,NBA,PG,39,4,557,2.3,8.0,.282,1.7,5.5,.318,0.5,2.5,.205,0.4,0.5,.750,0.3,3.5,3.8,5.2,1.4,0.2,1.3,2.9,6.7
George Hill,1986-05-04,0,2017-18,31,CLE,NBA,PG,24,24,669,4.5,10.1,.444,1.5,4.1,.351,3.0,5.9,.509,1.8,2.2,.805,1.1,2.4,3.4,3.6,1.2,0.8,1.5,2.9,12.2
George Hill,1986-05-04,0,2018-19,32,TOT,NBA,PG,60,13,1302,4.7,10.4,.452,1.3,4.2,.314,3.4,6.2,.547,1.9,2.4,.824,1.1,3.0,4.1,3.7,1.4,0.2,1.4,2.8,12.7
Nenê,1982-09-13,0,2016-17,34,HOU,NBA,C,67,8,1198,7.4,11.9,.617,0.1,0.3,.333,7.3,11.7,.624,3.5,5.9,.589,2.9,5.6,8.5,2.0,1.7,1.2,2.2,4.9,18.3
Nenê,1982-09-13,0,2017-18,35,HOU,NBA,C,52,4,758,6.5,11.4,.569,0.0,0.1,.000,6.5,11.3,.574,3.2,5.1,.636,2.6,5.8,8.4,2.1,1.3,0.7,1.8,5.8,16.1
Kirk Hinrich,1981-01-02,1,2011-12,31,ATL,NBA,SG,6,4,141,3.3,7.7,.433,1.5,4.1,.375,1.8,3.6,.500,0.5,0.5,1.000,1.0,2.0,3.1,1.5,1.0,0.0,0.5,2.3,8.7
Kirk Hinrich,1981-01-02,1,2012-13,32,CHI,NBA,PG,4,4,162,3.6,8.2,.432,0.9,2.4,.364,2.7,5.8,.462,2.0,3.1,.643,0.2,2.2,2.4,5.1,1.8,0.2,1.8,3.1,10.0
Solomon Hill,1991-03-18,1,2020-21,29,ATL,NBA,PF,14,3,145,1.5,6.0,.250,0.7,4.5,.167,0.7,1.5,.500,0.5,1.0,.500,0.7,4.0,4.7,0.7,0.5,0.2,0.2,4.5,4.2
Jordan Hill,1987-07-27,1,2012-13,25,LAL,NBA,PF,3,0,31,5.8,11.6,.500,0.0,0.0,,5.8,11.6,.500,0.0,0.0,,2.3,10.5,12.8,1.2,0.0,2.3,0.0,2.3,11.6
Jordan Hill,1987-07-27,1,2015-16,28,IND,NBA,C,5,0,15,0.0,7.2,.000,0.0,0.0,,0.0,7.2,.000,0.0,0.0,,4.8,9.6,14.4,4.8,0.0,0.0,0.0,2.4,0.0
Chauncey Billups,1976-09-25,1,2012-13,36,LAC,NBA,SG,6,6,115,3.4,11.3,.306,1.9,5.3,.353,1.6,5.9,.263,2.8,3.4,.818,0.6,3.1,3.8,1.9,0.3,0.3,2.5,3.1,11.6
Mike Bibby,1978-05-13,1,2009-10,31,ATL,NBA,PG,11,11,292,4.4,9.9,.450,1.7,4.2,.412,2.7,5.7,.478,0.9,1.2,.700,0.6,2.8,3.5,3.5,1.1,0.0,1.5,3.2,11.5
George Hill,1986-05-04,0,2018-19,32,CLE,NBA,PG,13,13,344,5.8,11.2,.514,1.4,2.9,.464,4.4,8.3,.532,1.8,2.1,.850,1.3,1.6,2.8,3.8,1.3,0.1,2.1,3.7,14.7
George Hill,1986-05-04,0,2018-19,32,MIL,NBA,PG,47,0,958,4.3,10.1,.428,1.3,4.7,.280,3.0,5.4,.556,2.0,2.4,.815,1.0,3.5,4.5,3.7,1.5,0.3,1.2,2.5,11.9
Nenê,1982-09-13,0,2018-19,36,HOU,NBA,C,42,2,546,4.0,7.6,.517,0.0,0.2,.000,4.0,7.5,.531,2.0,3.1,.660,2.2,5.9,8.1,1.7,1.2,1.0,0.7,5.7,10.0
Nenê,1982-09-13,1,2009-10,27,DEN,NBA,C,5,5,169,3.8,6.2,.621,0.0,0.0,,3.8,6.2,.621,4.5,7.7,.583,1.7,4.5,6.2,2.3,1.3,0.2,0.9,3.6,12.1
Kirk Hinrich,1981-01-02,1,2013-14,33,CHI,NBA,PG,5,5,167,5.0,12.1,.411,1.5,4.1,.368,3.4,8.0,.432,0.4,0.9,.500,0.2,3.0,3.2,4.7,0.9,0.2,2.4,4.7,11.9
Kirk Hinrich,1981-01-02,1,2014-15,34,CHI,NBA,SG,10,0,126,2.6,5.4,.474,1.7,2.9,.600,0.9,2.6,.333,0.6,0.9,.667,0.0,1.4,1.4,3.1,0.9,0.3,0.3,4.0,7.4
Mike Bibby,1978-05-13,1,2010-11,32,MIA,NBA,PG,20,20,415,2.3,8.3,.281,1.5,5.7,.258,0.9,2.6,.333,0.2,0.3,.500,0.4,2.7,3.1,2.0,1.0,0.5,1.5,2.6,6.3
Mike Bibby,1978-05-13,1,2011-12,33,NYK,NBA,PG,5,1,118,2.7,7.0,.391,2.1,5.2,.412,0.6,1.8,.333,0.6,0.9,.667,0.9,5.5,6.4,4.0,0.3,0.0,1.2,2.1,8.2
George Hill,1986-05-04,0,2019-20,33,MIL,NBA,PG,59,2,1271,5.5,10.6,.516,2.3,5.0,.460,3.2,5.7,.565,2.4,2.9,.842,1.4,3.6,5.0,5.1,1.3,0.1,1.6,2.4,15.7
George Hill,1986-05-04,0,2020-21,34,TOT,NBA,PG,30,17,672,5.1,10.6,.482,1.7,4.3,.388,3.4,6.3,.547,2.1,2.7,.800,0.9,2.4,3.3,3.9,1.2,0.3,1.7,1.7,14.0
Nenê,1982-09-13,1,2010-11,28,DEN,NBA,C,5,5,162,4.9,10.2,.478,0.0,0.0,,4.9,10.2,.478,6.0,10.7,.563,3.1,6.9,10.0,1.8,1.1,0.9,1.8,3.8,15.8
Nenê,1982-09-13,1,2013-14,31,WAS,NBA,PF,10,10,325,7.1,15.3,.464,0.0,0.0,,7.1,15.3,.464,1.0,2.9,.346,0.9,5.0,5.9,2.9,1.0,1.2,1.9,4.0,15.2
Kirk Hinrich,1981-01-02,1,2015-16,35,ATL,NBA,PG,6,0,27,2.7,9.3,.286,1.3,4.0,.333,1.3,5.3,.250,0.0,0.0,,0.0,5.3,5.3,4.0,0.0,0.0,0.0,2.7,6.7
George Hill,1986-05-04,0,2020-21,34,OKC,NBA,PG,14,14,369,6.0,11.7,.508,2.1,5.6,.386,3.8,6.1,.619,2.0,2.4,.840,0.8,2.0,2.8,4.2,1.2,0.2,1.2,1.2,16.1
George Hill,1986-05-04,0,2020-21,34,PHI,NBA,PG,16,3,303,4.0,9.1,.442,1.1,2.7,.391,3.0,6.4,.463,2.3,3.0,.760,1.0,2.9,3.8,3.6,1.3,0.4,2.3,2.3,11.4
Nenê,1982-09-13,1,2014-15,32,WAS,NBA,PF,10,10,257,4.8,10.6,.447,0.0,0.0,,4.8,10.6,.447,1.5,3.2,.478,3.5,5.7,9.2,2.1,1.3,0.4,2.0,4.5,11.1
Nenê,1982-09-13,1,2016-17,34,HOU,NBA,C,9,0,161,8.0,11.4,.706,0.0,0.2,.000,8.0,11.2,.720,4.0,6.9,.581,2.5,6.9,9.4,1.1,1.3,0.9,2.0,5.4,20.1
