Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCount,On-Off,BadPass,LostBall,FoulShooting,FoulOffensive,DrawnShooting,DrawnOffensive,PGA,And1,Blkd
Andrew Bogut,1984-11-28,0,2016-17,32,DAL,NBA,C,26,582,,,,,100%,-2.7,+0.6,23,4,42,15,3,3,116,1,2
Andrew Bogut,1984-11-28,0,2016-17,32,CLE,NBA,C,1,1,,,,,100%,-200.0,-203.3,0,0,0,0,0,0,0,0,0
Grant Hill,1972-10-05,0,2010-11,38,PHO,NBA,SF,80,2409,,1%,84%,16%,,+0.9,+4.4,51,48,85,19,116,26,478,27,43
Grant Hill,1972-10-05,0,2011-12,39,PHO,NBA,SF,49,1378,,,97%,3%,,+3.5,+6.9,30,18,38,6,51,12,237,6,27
Grant Hill,1972-10-05,0,2012-13,40,LAC,NBA,SF,29,437,,1%,61%,39%,,0.0,-7.8,8,9,19,3,9,2,60,2,7
Nenê,1982-09-13,0,2010-11,28,DEN,NBA,C,75,2291,,,,,100%,+7.3,+5.2,41,40,109,30,200,13,341,64,56
Nenê,1982-09-13,0,2011-12,29,TOT,NBA,C,39,1110,,,,26%,74%,+3.4,+2.3,36,28,34,20,79,10,179,18,32
Nenê,1982-09-13,0,2011-12,29,DEN,NBA,C,28,826,,,,35%,66%,+1.2,-2.9,29,22,24,15,60,9,137,11,28
Stephen Curry,1988-03-14,0,2010-11,22,GSW,NBA,PG,74,2489,100%,,,,,-1.1,+4.6,138,52,122,14,75,17,960,20,40
Stephen Curry,1988-03-14,0,2011-12,23,GSW,NBA,PG,26,732,96%,5%,,,,+4.8,+10.9,39,16,24,2,10,5,309,1,7
Stephen Curry,1988-03-14,0,2012-13,24,GSW,NBA,PG,78,2983,100%,,,,,+1.7,+2.7,149,57,90,6,97,21,1181,19,45
Seth Curry,1990-08-23,0,2013-14,23,MEM,NBA,PG,1,4,100%,,,,,+66.1,+64.1,0,0,0,0,0,0,0,0,0
Seth Curry,1990-08-23,0,2013-14,23,CLE,NBA,PG,1,9,100%,,,,,-26.3,-22.9,0,0,0,0,0,1,0,0,0
Seth Curry,1990-08-23,0,2014-15,24,PHO,NBA,PG,2,8,100%,,,,,-20.0,-19.0,0,0,1,0,0,0,3,0,0
Bojan Bogdanović,1989-04-18,0,2019-20,30,UTA,NBA,SF,63,2083,,5%,63%,33%,,+5.5,+8.0,79,46,38,10,110,9,324,27,72
Bojan Bogdanović,1989-04-18,0,2020-21,31,UTA,NBA,SF,72,2216,,6%,45%,50%,,+9.2,-0.9,44,55,38,13,100,8,352,18,61
Bojan Bogdanović,1989-04-18,1,2014-15,25,BRK,NBA,SF,6,206,,,68%,32%,,-7.9,-7.2,3,3,3,1,3,1,26,1,4
Kirk Hinrich,1981-01-02,0,2014-15,34,CHI,NBA,SG,66,1610,40%,58%,1%,,,+2.1,-2.1,51,14,73,4,18,9,335,3,28
Kirk Hinrich,1981-01-02,0,2015-16,35,TOT,NBA,PG,46,631,67%,33%,,,,+1.2,+2.3,19,5,28,2,6,7,171,2,6
Kirk Hinrich,1981-01-02,0,2015-16,35,CHI,NBA,PG,35,555,69%,31%,,,,-1.1,+0.6,18,5,27,2,6,5,136,2,5
Solomon Hill,1991-03-18,0,2019-20,28,MEM,NBA,PF,48,901,,,4%,95%,1%,-2.3,-2.1,24,6,38,7,14,7,222,1,6
Solomon Hill,1991-03-18,0,2019-20,28,MIA,NBA,PF,11,187,,7%,33%,56%,4%,-4.0,-7.3,8,2,5,0,7,0,28,2,3
Solomon Hill,1991-03-18,0,2020-21,29,ATL,NBA,PF,71,1513,,1%,53%,46%,,+2.0,-1.0,25,4,57,6,23,5,183,6,8
Eddy Curry,1982-12-05,0,2009-10,27,NYK,NBA,C,7,62,,,,,100%,-15.9,-12.3,1,6,4,5,7,1,0,1,2
Jordan Hill,1987-07-27,0,2011-12,24,TOT,NBA,C,39,551,,,,3%,98%,-2.8,-4.0,6,9,35,9,25,1,36,3,16
Jordan Hill,1987-07-27,0,2011-12,24,HOU,NBA,C,32,469,,,,2%,98%,-3.9,-4.9,4,5,27,9,22,1,32,3,11
Jordan Hill,1987-07-27,0,2011-12,24,LAL,NBA,C,7,82,,,,7%,93%,+3.1,+1.7,2,4,8,0,3,0,4,0,5
Jared Cunningham,1991-05-22,0,2012-13,21,DAL,NBA,SG,8,26,,87%,13%,,,-19.2,-18.6,1,1,1,0,1,0,3,0,3
George Hill,1986-05-04,0,2013-14,27,IND,NBA,PG,76,2434,96%,4%,,,,+6.3,+4.2,59,15,78,10,56,32,585,14,33
George Hill,1986-05-04,0,2014-15,28,IND,NBA,PG,43,1267,86%,14%,,,,+6.4,+9.3,40,16,44,9,46,15,499,10,26
George Hill,1986-05-04,0,2015-16,29,IND,NBA,PG,74,2524,98%,2%,,,,+2.1,+0.5,50,26,58,12,56,17,596,12,32
George Hill,1986-05-04,0,2016-17,30,UTA,NBA,PG,49,1544,100%,,,,,+9.4,+8.0,57,18,58,7,77,15,488,19,18
Andrew Bogut,1984-11-28,0,2017-18,33,LAL,NBA,C,24,216,,,,1%,99%,-5.4,-4.0,9,1,16,9,0,1,35,0,1
Andrew Bogut,1984-11-28,0,2018-19,34,GSW,NBA,C,11,134,,,,,100%,+3.5,-3.4,3,2,11,2,1,3,25,1,1
Andrew Bogut,1984-11-28,1,2012-13,28,GSW,NBA,C,12,327,,,,,100%,+7.1,+15.0,10,3,17,7,6,1,53,1,2
Grant Hill,1972-10-05,1,2009-10,37,PHO,NBA,SF,16,452,,,81%,19%,,+5.8,-0.2,6,5,18,4,15,3,85,4,5
Grant Hill,1972-10-05,1,2012-13,40,LAC,NBA,SF,1,20,,,,57%,43%,+3.5,+10.8,0,0,1,1,0,0,4,0,0
Nenê,1982-09-13,0,2011-12,29,WAS,NBA,C,11,284,,,,,100%,+10.0,+17.5,7,6,10,5,19,1,42,7,4
Nenê,1982-09-13,0,2012-13,30,WAS,NBA,PF,61,1659,,,,77%,23%,+2.9,+10.1,53,44,75,28,121,13,402,25,32
Nenê,1982-09-13,0,2013-14,31,WAS,NBA,PF,53,1560,,,,73%,27%,+3.3,+3.2,46,31,82,18,118,19,341,26,31
