Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCount,On-Off,BadPass,LostBall,FoulShooting,FoulOffensive,DrawnShooting,DrawnOffensive,PGA,And1,Blkd
Ryan Reid,1986-10-30,0,2011-12,25,OKC,NBA,PF,5,17,,,,97%,3%,+13.2,+6.5,1,0,1,0,0,0,0,0,0
Jay Scrubb,2000-09-01,0,2020-21,20,LAC,NBA,SG,4,84,,11%,75%,13%,,+1.2,-5.5,3,1,2,0,2,2,2,1,4
Admiral Schofield,1997-03-30,0,2019-20,22,WAS,NBA,PF,33,368,,,28%,65%,7%,-7.6,-3.4,2,3,25,1,5,4,33,0,4
Jay Scrubb,2000-09-01,1,2020-21,20,LAC,NBA,SG,6,8,,,99%,2%,,-51.2,-56.2,0,0,0,0,0,0,0,0,0
Mike Scott,1988-07-16,0,2012-13,24,ATL,NBA,PF,40,376,,,9%,45%,46%,-6.4,-7.7,11,5,20,2,26,1,30,2,15
Luis Scola,1980-04-30,0,2009-10,29,HOU,NBA,PF,82,2671,,,,88%,12%,-1.8,-3.8,54,53,89,28,113,41,415,25,75
Dennis Schröder,1993-09-15,0,2013-14,20,ATL,NBA,PG,49,641,100%,,,,,-15.0,-17.4,38,9,17,4,18,4,210,5,15
Naz Reid,1999-08-26,0,2019-20,20,MIN,NBA,C,30,495,,,,3%,97%,-0.5,+4.9,6,7,54,4,30,4,87,8,16
Willie Reed,1990-05-16,0,2015-16,25,BRK,NBA,C,39,426,,,,71%,29%,-8.2,-0.7,4,8,26,3,28,4,23,5,8
Paul Reed,1999-06-14,0,2020-21,21,PHI,NBA,PF,26,177,,,8%,54%,38%,+9.7,+4.3,3,5,14,1,4,0,29,2,11
Davon Reed,1995-06-11,0,2017-18,22,PHO,NBA,SG,21,242,2%,63%,35%,,,-16.6,-7.4,2,5,11,1,6,1,30,0,7
Mike Scott,1988-07-16,0,2013-14,25,ATL,NBA,PF,80,1482,,,7%,90%,3%,-6.2,-9.4,28,29,56,15,66,3,177,18,27
Mike Scott,1988-07-16,0,2014-15,26,ATL,NBA,PF,68,1123,,,2%,97%,,+1.2,-6.5,14,11,48,7,37,1,183,6,16
Mike Scott,1988-07-16,0,2015-16,27,ATL,NBA,PF,75,1146,,,3%,96%,1%,+5.2,+2.1,18,11,46,6,32,4,183,5,12
Luis Scola,1980-04-30,0,2010-11,30,HOU,NBA,PF,74,2412,,,,94%,6%,+4.0,+4.7,50,45,91,32,108,19,446,17,77
Luis Scola,1980-04-30,0,2011-12,31,HOU,NBA,PF,66,2067,,,,72%,28%,+1.4,+2.9,50,53,76,27,80,10,332,12,69
Luis Scola,1980-04-30,0,2012-13,32,PHO,NBA,PF,82,2184,,,,91%,9%,-5.6,+3.2,50,37,96,20,96,12,410,23,53
Dennis Schröder,1993-09-15,0,2014-15,21,ATL,NBA,PG,77,1516,100%,,,,,+0.7,-8.2,86,44,52,11,65,5,761,11,74
Dennis Schröder,1993-09-15,0,2015-16,22,ATL,NBA,PG,80,1621,100%,,,,,+7.2,+5.9,111,45,51,13,72,7,834,16,68
Dennis Schröder,1993-09-15,0,2016-17,23,ATL,NBA,PG,79,2485,100%,,,,,-2.1,-2.4,155,66,63,14,100,18,1164,25,113
Naz Reid,1999-08-26,0,2020-21,21,MIN,NBA,C,70,1347,,,,12%,88%,-10.7,-8.7,22,27,116,12,89,15,177,24,31
Willie Reed,1990-05-16,0,2016-17,26,MIA,NBA,C,71,1031,,,,,100%,+2.4,+1.7,9,8,81,7,40,9,61,6,23
Willie Reed,1990-05-16,0,2017-18,27,TOT,NBA,C,42,428,,,,,100%,+1.8,+1.7,6,6,34,5,24,2,22,5,14
Willie Reed,1990-05-16,0,2017-18,27,LAC,NBA,C,39,419,,,,,100%,+2.1,+2.0,6,6,33,4,24,1,20,5,14
Paul Reed,1999-06-14,1,2020-21,21,PHI,NBA,PF,3,11,,,,17%,84%,-4.7,-12.2,0,0,1,0,0,0,0,0,0
Davon Reed,1995-06-11,0,2018-19,23,IND,NBA,SG,10,47,,34%,67%,,,+17.5,+14.3,1,0,3,0,0,0,8,0,0
Cam Reddish,1999-09-01,0,2019-20,20,ATL,NBA,SF,58,1551,,1%,60%,39%,,-6.9,+2.0,33,33,72,7,56,16,212,10,54
Josh Reaves,1997-06-04,0,2019-20,22,DAL,NBA,SF,4,28,,,77%,23%,,+7.1,+2.3,0,0,3,0,1,0,7,0,0
J.J. Redick,1984-06-24,0,2009-10,25,ORL,NBA,SG,82,1808,,99%,1%,,,+5.1,-5.9,30,15,57,7,80,26,392,13,15
Mike Scott,1988-07-16,0,2016-17,28,ATL,NBA,PF,18,195,,,5%,92%,3%,-10.6,-9.8,4,3,7,1,0,2,40,0,3
Mike Scott,1988-07-16,0,2017-18,29,WAS,NBA,PF,76,1406,,,,92%,8%,-1.3,-3.2,27,23,78,17,41,4,192,13,16
Mike Scott,1988-07-16,0,2018-19,30,TOT,NBA,PF,79,1395,,,31%,67%,3%,+1.4,-0.6,20,7,85,11,12,1,151,1,21
Luis Scola,1980-04-30,0,2013-14,33,IND,NBA,PF,82,1399,,,,97%,3%,+0.4,-6.6,40,30,47,23,63,5,193,4,30
Luis Scola,1980-04-30,0,2014-15,34,IND,NBA,PF,81,1659,,,,99%,1%,+1.0,+1.6,40,33,63,13,104,3,248,25,45
Luis Scola,1980-04-30,0,2015-16,35,TOR,NBA,PF,76,1636,,,30%,61%,10%,-1.5,-10.9,28,20,84,11,39,6,163,8,35
Dennis Schröder,1993-09-15,0,2017-18,24,ATL,NBA,PG,67,2078,100%,,,,,-6.8,-1.7,112,42,57,13,108,18,1007,25,113
Dennis Schröder,1993-09-15,0,2018-19,25,OKC,NBA,PG,79,2314,100%,,,,,+3.0,-0.3,118,40,75,9,97,39,765,21,78
Dennis Schröder,1993-09-15,0,2019-20,26,OKC,NBA,PG,65,1999,100%,,,,,+5.0,+7.8,93,42,46,16,90,24,602,20,55
Garret Siler,1986-10-25,0,2010-11,24,PHO,NBA,C,21,101,,,,,100%,-8.3,-7.7,2,4,13,3,8,0,6,2,6
Xavier Silas,1988-01-22,0,2011-12,24,PHI,NBA,SG,2,39,38%,54%,8%,,,-20.9,-26.0,2,0,2,0,2,0,8,1,1
Jordan Sibert,1992-08-01,0,2018-19,26,ATL,NBA,SG,1,4,100%,,,,,-55.6,-49.7,0,0,0,0,0,0,0,0,0
Willie Reed,1990-05-16,0,2017-18,27,DET,NBA,C,3,9,,,,,100%,-9.2,-9.0,0,0,1,1,0,1,2,0,0
Michael Redd,1979-08-24,0,2009-10,30,MIL,NBA,SG,18,492,,61%,39%,1%,,-10.7,-14.5,7,5,9,2,28,2,90,7,21
Cam Reddish,1999-09-01,0,2020-21,21,ATL,NBA,SF,26,750,,27%,72%,1%,,-3.0,-7.1,12,14,34,4,39,4,83,4,22
Cam Reddish,1999-09-01,1,2020-21,21,ATL,NBA,SF,4,92,,3%,90%,7%,,-2.3,-1.2,1,2,5,1,3,1,17,1,3
Josh Reaves,1997-06-04,1,2019-20,22,DAL,NBA,SF,2,9,,21%,79%,,,-41.1,-32.7,0,0,0,1,0,0,2,0,0
J.J. Redick,1984-06-24,0,2010-11,26,ORL,NBA,SG,59,1513,,99%,1%,,,+3.4,-4.5,29,13,42,4,36,12,245,9,8
J.J. Redick,1984-06-24,0,2011-12,27,ORL,NBA,SG,65,1765,1%,98%,1%,,,+0.8,-0.3,27,26,50,7,51,9,398,8,18
J.J. Redick,1984-06-24,0,2012-13,28,TOT,NBA,SG,78,2379,23%,69%,8%,,,-2.0,+5.9,80,38,53,7,68,20,663,18,21
Mike Scott,1988-07-16,0,2018-19,30,LAC,NBA,PF,52,748,,,24%,74%,2%,+2.2,+1.5,11,5,43,7,7,1,98,0,13
Mike Scott,1988-07-16,0,2018-19,30,PHI,NBA,PF,27,647,,,39%,58%,3%,+0.5,-2.9,9,2,42,4,5,0,53,1,8
Mike Scott,1988-07-16,0,2019-20,31,PHI,NBA,PF,68,1207,,,29%,68%,3%,+6.5,+6.4,15,6,48,5,12,3,131,2,8
Luis Scola,1980-04-30,0,2016-17,36,BRK,NBA,PF,36,461,,,,47%,53%,-8.6,-2.6,15,11,27,9,19,1,85,7,8
Luis Scola,1980-04-30,1,2013-14,33,IND,NBA,PF,18,243,,,,100%,,-13.9,-17.9,3,3,7,1,7,1,22,1,2
Luis Scola,1980-04-30,1,2015-16,35,TOR,NBA,PF,11,140,,,3%,90%,6%,-18.7,-15.5,1,3,4,1,6,0,17,1,3
Dennis Schröder,1993-09-15,0,2020-21,27,LAL,NBA,SG,61,1956,42%,54%,4%,,,+2.5,-0.4,97,41,54,12,96,28,855,13,74
Dennis Schröder,1993-09-15,1,2013-14,20,ATL,NBA,PG,2,7,100%,,,,,+69.2,+73.1,0,0,0,0,0,0,0,0,0
Xavier Silas,1988-01-22,0,2017-18,30,BOS,NBA,SG,2,7,,100%,,,,+6.7,+3.0,0,0,0,0,0,0,0,0,0
Xavier Silas,1988-01-22,1,2011-12,24,PHI,NBA,SG,2,4,,47%,53%,,,+83.3,+84.7,0,0,0,0,0,0,0,0,0
Michael Redd,1979-08-24,0,2010-11,31,MIL,NBA,SG,10,134,,90%,10%,,,+4.7,+5.8,2,0,2,2,2,0,27,0,0
Michael Redd,1979-08-24,0,2011-12,32,PHO,NBA,SG,51,770,,63%,37%,,,-8.3,-10.5,18,11,8,3,50,2,78,12,16
Pascal Siakam,1994-04-02,0,2016-17,22,TOR,NBA,PF,55,859,,,1%,95%,5%,-1.1,-7.3,12,10,63,5,15,2,40,2,18
Alexey Shved,1988-12-16,0,2012-13,24,MIN,NBA,SG,77,1840,2%,77%,22%,,,-1.7,+1.0,85,36,52,8,65,14,636,11,38
J.J. Redick,1984-06-24,0,2012-13,28,ORL,NBA,SG,50,1575,35%,65%,,,,-3.4,+7.2,63,26,33,6,47,15,489,14,14
J.J. Redick,1984-06-24,0,2012-13,28,MIL,NBA,SG,28,804,,78%,22%,,,+0.9,+3.4,17,12,20,1,21,5,174,4,7
J.J. Redick,1984-06-24,0,2013-14,29,LAC,NBA,SG,35,987,11%,88%,2%,,,+9.2,+2.9,24,12,43,1,34,11,183,4,8
Mike Scott,1988-07-16,0,2020-21,32,PHI,NBA,PF,51,852,,,3%,90%,7%,-0.3,-7.8,9,5,37,3,5,5,100,1,8
Mike Scott,1988-07-16,1,2012-13,24,ATL,NBA,PF,4,20,,,3%,29%,68%,+2.6,+9.0,0,0,0,0,1,0,3,0,1
Mike Scott,1988-07-16,1,2013-14,25,ATL,NBA,PF,7,146,,,,100%,,-0.4,+3.6,0,1,4,0,5,0,7,2,7
Dennis Schröder,1993-09-15,1,2014-15,21,ATL,NBA,PG,16,290,100%,,,,,-12.8,-20.9,17,7,9,2,14,0,140,2,15
Dennis Schröder,1993-09-15,1,2015-16,22,ATL,NBA,PG,10,191,100%,,,,,+0.5,+3.3,11,5,8,2,5,3,86,1,12
Dennis Schröder,1993-09-15,1,2016-17,23,ATL,NBA,PG,6,211,100%,,,,,-4.8,-14.1,5,3,7,1,9,2,100,2,11
Pascal Siakam,1994-04-02,0,2017-18,23,TOR,NBA,PF,81,1679,,,1%,98%,1%,+10.2,+3.8,33,13,72,9,49,1,387,21,29
Pascal Siakam,1994-04-02,0,2018-19,24,TOR,NBA,PF,80,2548,,,,91%,9%,+11.1,+14.4,63,46,75,31,149,5,624,47,42
Pascal Siakam,1994-04-02,0,2019-20,25,TOR,NBA,PF,60,2110,,,5%,87%,9%,+9.1,+6.2,58,37,59,30,141,2,533,38,60
Alexey Shved,1988-12-16,0,2013-14,25,MIN,NBA,SG,63,664,11%,87%,3%,,,-2.2,-5.7,28,14,15,2,45,5,153,10,15
Alexey Shved,1988-12-16,0,2014-15,26,TOT,NBA,SG,42,767,26%,71%,3%,,,-9.7,-0.8,30,14,27,1,67,4,234,10,26
Alexey Shved,1988-12-16,0,2014-15,26,PHI,NBA,SG,17,285,56%,41%,3%,,,-17.7,-8.9,10,6,12,1,27,1,103,4,5
J.J. Redick,1984-06-24,0,2014-15,30,LAC,NBA,SG,78,2409,1%,94%,5%,,,+12.6,+13.7,47,28,72,5,63,16,320,12,26
J.J. Redick,1984-06-24,0,2015-16,31,LAC,NBA,SG,75,2097,4%,96%,,,,+10.8,+13.7,44,22,64,3,68,19,249,14,21
J.J. Redick,1984-06-24,0,2016-17,32,LAC,NBA,SG,78,2198,14%,84%,2%,,,+8.9,+11.0,47,32,66,8,59,17,251,14,19
Mike Scott,1988-07-16,1,2014-15,26,ATL,NBA,PF,11,172,,,6%,94%,,-16.3,-21.2,3,1,7,2,3,0,11,2,3
Mike Scott,1988-07-16,1,2015-16,27,ATL,NBA,PF,10,161,,,4%,96%,,+2.7,+6.4,4,0,9,2,5,0,13,2,1
Mike Scott,1988-07-16,1,2017-18,29,WAS,NBA,PF,6,126,,,,81%,19%,+10.1,+23.4,3,1,6,1,1,0,10,0,4
Dennis Schröder,1993-09-15,1,2018-19,25,OKC,NBA,PG,5,151,100%,,,,,-8.7,-5.5,4,2,3,0,8,4,42,0,2
Dennis Schröder,1993-09-15,1,2019-20,26,OKC,NBA,PG,7,227,100%,,,,,+3.1,+31.3,12,1,4,3,12,5,61,3,9
Dennis Schröder,1993-09-15,1,2020-21,27,LAL,NBA,SG,6,196,12%,66%,22%,,,-6.4,+3.6,2,3,4,2,10,1,39,1,7
Pascal Siakam,1994-04-02,0,2020-21,26,TOR,NBA,PF,56,2006,,,3%,79%,18%,+2.9,+8.6,56,31,59,26,148,10,647,37,63
Pascal Siakam,1994-04-02,1,2016-17,22,TOR,NBA,PF,2,10,,,,100%,,+55.0,+62.4,0,0,1,0,0,0,3,0,0
Alexey Shved,1988-12-16,0,2014-15,26,HOU,NBA,SG,9,59,46%,45%,9%,,,-0.8,-4.5,1,3,1,0,5,0,7,1,3
Alexey Shved,1988-12-16,0,2014-15,26,NYK,NBA,SG,16,423,3%,95%,2%,,,-5.6,+5.2,19,5,14,0,35,3,124,5,18
J.J. Redick,1984-06-24,0,2017-18,33,PHI,NBA,SG,70,2116,5%,75%,20%,1%,,+7.4,+5.8,58,22,58,9,61,5,497,13,30
J.J. Redick,1984-06-24,0,2018-19,34,PHI,NBA,SG,76,2379,7%,82%,11%,,,+5.3,+5.9,49,26,65,12,72,16,470,14,20
Mike Scott,1988-07-16,1,2018-19,30,PHI,NBA,PF,10,193,,,57%,43%,1%,+1.6,-1.4,4,1,10,1,1,0,12,0,0
Mike Scott,1988-07-16,1,2019-20,31,PHI,NBA,PF,4,20,,,28%,72%,,+0.3,+14.6,0,0,1,0,1,0,3,0,0
Mike Scott,1988-07-16,1,2020-21,32,PHI,NBA,PF,5,34,,,5%,71%,24%,+11.5,+4.5,0,0,1,0,0,0,7,0,2
Pascal Siakam,1994-04-02,1,2017-18,23,TOR,NBA,PF,10,179,,,1%,95%,5%,-3.6,+1.1,2,0,8,4,11,1,22,4,4
Pascal Siakam,1994-04-02,1,2018-19,24,TOR,NBA,PF,24,891,,,4%,95%,,+5.4,-1.0,14,10,31,4,36,1,167,7,28
J.J. Redick,1984-06-24,0,2019-20,35,NOP,NBA,SG,60,1581,30%,61%,8%,1%,,-1.3,+0.1,36,17,49,4,51,22,288,10,15
Pascal Siakam,1994-04-02,1,2019-20,25,TOR,NBA,PF,11,418,,,2%,88%,11%,+3.7,-5.1,8,6,14,6,23,1,109,7,10
J.J. Redick,1984-06-24,0,2020-21,36,TOT,NBA,SG,44,723,14%,82%,3%,,,-1.4,-1.9,17,8,29,6,19,14,113,7,8
J.J. Redick,1984-06-24,0,2020-21,36,NOP,NBA,SG,31,576,18%,81%,1%,,,-4.1,-4.2,9,8,23,6,17,11,88,7,7
Deonte Burton,1994-01-31,0,2018-19,25,OKC,NBA,SG,32,240,2%,38%,55%,6%,,+8.1,+5.3,5,3,19,1,7,5,25,3,7
Chase Budinger,1988-05-22,0,2009-10,21,HOU,NBA,SF,74,1488,,29%,66%,5%,,+0.3,+1.2,30,6,39,4,40,11,201,8,33
J.J. Redick,1984-06-24,0,2020-21,36,DAL,NBA,SG,13,147,,88%,12%,,,+8.9,+6.9,8,0,6,0,2,3,25,0,1
Deonte Burton,1994-01-31,0,2019-20,26,OKC,NBA,SF,39,356,2%,22%,51%,24%,1%,-11.7,-15.0,8,3,18,3,7,1,44,4,7
Deonte Burton,1994-01-31,1,2018-19,25,OKC,NBA,SG,3,4,,7%,93%,,,+5.6,+12.3,0,0,0,0,0,0,0,0,0
Deonte Burton,1994-01-31,1,2019-20,26,OKC,NBA,SF,1,2,100%,,,,,+50.0,+57.8,0,0,0,0,0,0,0,0,0
Chase Budinger,1988-05-22,0,2010-11,22,HOU,NBA,SF,78,1738,,2%,96%,3%,,+4.1,+3.4,34,15,56,9,64,5,286,12,43
Chase Budinger,1988-05-22,0,2011-12,23,HOU,NBA,SF,58,1298,,20%,77%,3%,,+0.8,+0.8,32,19,38,2,30,2,162,9,30
Alec Burks,1991-07-20,0,2011-12,20,UTA,NBA,SG,59,939,2%,96%,3%,,,-1.9,-3.6,20,15,42,10,62,8,116,13,35
Trey Burke,1992-11-12,0,2013-14,21,UTA,NBA,PG,70,2262,100%,,,,,-6.1,+4.5,85,32,70,7,34,10,892,8,29
Mike Muscala,1991-07-01,0,2013-14,22,ATL,NBA,PF,20,215,,,,21%,79%,-20.1,-21.0,2,6,18,2,6,1,16,2,5
J.J. Redick,1984-06-24,1,2009-10,25,ORL,NBA,SG,14,269,,100%,,,,+9.1,-1.7,11,5,10,1,9,7,48,0,4
J.J. Redick,1984-06-24,1,2010-11,26,ORL,NBA,SG,6,120,9%,91%,,,,+4.8,+5.2,3,3,4,0,4,0,15,1,1
Reggie Bullock,1991-03-16,0,2013-14,22,LAC,NBA,SF,43,395,,30%,67%,3%,,-1.3,-9.3,6,3,15,1,4,1,27,1,2
Caron Butler,1980-03-13,0,2009-10,29,TOT,NBA,"SF,SG",74,2783,,13%,84%,3%,,-1.0,+3.1,48,41,90,30,118,1,357,15,69
Džanan Musa,1999-05-08,0,2018-19,19,BRK,NBA,SG,9,39,,36%,41%,23%,,+7.4,+7.6,2,1,0,1,1,0,5,0,1
Toure' Murry,1989-11-08,0,2013-14,24,NYK,NBA,PG,51,373,97%,3%,,,,-2.4,-1.5,23,9,20,0,17,2,110,3,11
Chase Budinger,1988-05-22,0,2012-13,24,MIN,NBA,SF,23,508,,21%,79%,,,+3.0,+6.0,10,6,11,2,16,4,54,3,9
Chase Budinger,1988-05-22,0,2013-14,25,MIN,NBA,SF,41,751,,50%,50%,,,-0.7,-3.9,12,6,28,1,19,3,70,3,9
Alec Burks,1991-07-20,0,2012-13,21,UTA,NBA,SG,64,1137,20%,75%,5%,,,+5.0,+7.3,39,15,49,17,53,21,199,13,35
Alec Burks,1991-07-20,0,2013-14,22,UTA,NBA,SG,78,2193,6%,89%,5%,,,-7.3,+1.4,63,48,91,18,158,20,481,37,67
Trey Burke,1992-11-12,0,2014-15,22,UTA,NBA,PG,76,2288,100%,,,,,-2.1,-5.5,81,36,57,3,54,5,739,9,50
Trey Burke,1992-11-12,0,2015-16,23,UTA,NBA,PG,64,1366,94%,6%,,,,-1.6,-5.2,48,22,39,6,33,1,339,11,33
Trey Burke,1992-11-12,0,2016-17,24,WAS,NBA,PG,57,703,98%,2%,,,,-9.8,-13.9,28,13,22,4,15,4,233,5,8
Mike Muscala,1991-07-01,0,2014-15,23,ATL,NBA,PF,40,502,,,,65%,35%,+6.2,+0.4,3,8,27,5,10,3,59,3,8
Mike Muscala,1991-07-01,0,2015-16,24,ATL,NBA,C,60,565,,,,5%,95%,-2.4,-7.1,15,7,48,3,11,4,79,3,2
Mike Muscala,1991-07-01,0,2016-17,25,ATL,NBA,C,70,1237,,,,27%,73%,-4.2,-4.3,32,13,55,4,24,8,228,7,10
J.J. Redick,1984-06-24,1,2011-12,27,ORL,NBA,SG,5,123,,100%,,,,-10.6,+4.3,4,1,4,0,6,0,39,1,1
J.J. Redick,1984-06-24,1,2012-13,28,MIL,NBA,SG,4,69,,99%,1%,,,-25.0,-13.3,4,1,6,1,1,0,12,0,0
Reggie Bullock,1991-03-16,0,2014-15,23,TOT,NBA,SF,36,338,,11%,87%,3%,,-1.0,-6.8,5,1,12,0,4,0,22,1,3
Reggie Bullock,1991-03-16,0,2014-15,23,LAC,NBA,SF,25,263,,1%,97%,3%,,+1.4,-6.3,5,0,11,0,3,0,16,1,1
Reggie Bullock,1991-03-16,0,2014-15,23,PHO,NBA,SF,11,75,,47%,50%,3%,,-9.5,-8.6,0,1,1,0,1,0,6,0,2
Caron Butler,1980-03-13,0,2009-10,29,WAS,NBA,SF,47,1853,,4%,93%,3%,,-3.2,+4.3,34,27,58,22,74,0,246,11,43
Caron Butler,1980-03-13,0,2009-10,29,DAL,NBA,SG,27,930,,31%,67%,2%,,+3.4,+0.7,14,14,32,8,44,1,111,4,26
Caron Butler,1980-03-13,0,2010-11,30,DAL,NBA,SF,29,867,,,65%,35%,,+8.3,+4.6,9,11,21,13,41,0,113,8,21
Džanan Musa,1999-05-08,0,2019-20,20,BRK,NBA,SF,40,487,,3%,60%,35%,1%,-3.0,-2.8,18,11,7,3,18,8,109,4,14
Džanan Musa,1999-05-08,1,2018-19,19,BRK,NBA,SG,2,15,,,60%,40%,,+38.9,+52.9,2,1,1,0,0,0,0,0,0
Toure' Murry,1989-11-08,0,2014-15,25,TOT,NBA,"PG,SG",5,18,30%,70%,,,,+5.4,+4.5,2,2,0,0,1,0,2,0,0
Toure' Murry,1989-11-08,0,2014-15,25,UTA,NBA,PG,1,1,100%,,,,,-100.0,-100.2,0,0,0,0,0,0,0,0,0
Chase Budinger,1988-05-22,0,2014-15,26,MIN,NBA,SF,67,1286,1%,42%,53%,4%,,-10.5,-1.4,29,11,39,3,39,3,140,9,28
Chase Budinger,1988-05-22,0,2015-16,27,TOT,NBA,SF,66,929,,11%,73%,16%,,-0.1,0.0,27,6,33,3,28,3,144,4,12
Chase Budinger,1988-05-22,0,2015-16,27,IND,NBA,SF,49,729,,14%,69%,18%,,+2.6,+0.9,16,6,25,2,24,3,109,4,8
Jamal Murray,1997-02-23,0,2016-17,19,DEN,NBA,SG,82,1764,41%,58%,1%,,,+1.7,+3.0,62,37,66,5,46,9,403,12,33
Dejounte Murray,1996-09-19,0,2016-17,20,SAS,NBA,PG,38,322,86%,14%,,,,+2.3,-6.1,20,12,8,5,13,1,110,1,9
Ronald Murray,1979-07-29,0,2009-10,30,TOT,NBA,SG,75,1673,5%,74%,22%,,,-0.1,-0.4,47,34,77,6,80,4,304,14,44
Kevin Murphy,1990-03-06,0,2012-13,22,UTA,NBA,SG,17,52,67%,33%,,,,-41.4,-41.8,2,1,1,0,0,0,4,0,0
Alec Burks,1991-07-20,0,2014-15,23,UTA,NBA,SG,27,899,1%,95%,4%,,,-7.4,-9.8,29,10,38,7,52,11,188,10,24
Alec Burks,1991-07-20,0,2015-16,24,UTA,NBA,SG,31,797,30%,69%,,,,-1.4,-4.1,21,14,28,6,60,6,146,10,27
Trey Burke,1992-11-12,0,2017-18,25,NYK,NBA,PG,36,785,100%,,,,,-5.5,-1.9,26,9,15,4,28,1,394,8,8
Trey Burke,1992-11-12,0,2018-19,26,TOT,NBA,PG,58,1125,100%,,,,,-1.6,+5.4,28,8,19,7,56,5,386,16,39
Troy Murphy,1980-05-02,0,2009-10,29,IND,NBA,PF,72,2344,,,,69%,31%,-6.0,-6.9,46,29,103,12,94,11,354,31,41
Mike Muscala,1991-07-01,0,2017-18,26,ATL,NBA,C,53,1060,,,1%,47%,52%,-4.5,+1.9,15,12,46,10,17,0,129,5,10
Mike Muscala,1991-07-01,0,2018-19,27,TOT,NBA,PF,64,1306,,,1%,63%,37%,+1.4,-0.5,26,8,71,8,22,8,186,5,10
Mike Muscala,1991-07-01,0,2018-19,27,PHI,NBA,PF,47,1041,,,,59%,41%,+3.1,+0.2,21,8,62,8,19,8,150,5,9
J.J. Redick,1984-06-24,1,2013-14,29,LAC,NBA,SG,13,351,,97%,3%,,,+5.4,+9.2,8,1,9,2,4,3,44,0,4
J.J. Redick,1984-06-24,1,2014-15,30,LAC,NBA,SG,14,540,6%,92%,2%,,,+2.8,+8.1,18,3,15,3,10,1,55,1,1
J.J. Redick,1984-06-24,1,2015-16,31,LAC,NBA,SG,6,166,37%,63%,,,,-4.8,-11.0,3,1,4,0,1,2,11,1,4
Reggie Bullock,1991-03-16,0,2015-16,24,DET,NBA,SF,37,429,,40%,60%,,,-6.4,-7.6,2,1,16,3,6,3,64,1,5
Reggie Bullock,1991-03-16,0,2016-17,25,DET,NBA,SF,31,467,,93%,8%,,,+5.7,+8.1,5,1,12,1,4,1,66,2,5
Reggie Bullock,1991-03-16,0,2017-18,26,DET,NBA,SF,62,1732,,55%,45%,,,+0.1,+0.4,25,13,37,3,23,1,229,4,27
Caron Butler,1980-03-13,0,2011-12,31,LAC,NBA,SF,63,1871,,1%,95%,3%,,+8.1,+12.4,24,19,56,12,45,6,178,7,41
Caron Butler,1980-03-13,0,2012-13,32,LAC,NBA,SF,78,1879,,1%,95%,4%,,+6.8,-0.3,19,22,64,17,37,4,182,8,29
Caron Butler,1980-03-13,0,2013-14,33,TOT,NBA,SF,56,1419,,22%,72%,6%,,-6.2,-4.8,27,13,55,11,26,4,192,3,13
Džanan Musa,1999-05-08,1,2019-20,20,BRK,NBA,SF,3,39,,,44%,56%,,-34.5,-16.8,3,0,0,0,4,0,10,2,1
Toure' Murry,1989-11-08,0,2014-15,25,WAS,NBA,SG,4,17,26%,75%,,,,+11.6,+10.7,2,2,0,0,1,0,2,0,0
Chase Budinger,1988-05-22,0,2015-16,27,PHO,NBA,SF,17,200,,3%,88%,8%,,-10.3,-3.2,11,0,8,1,4,0,35,0,4
Jamal Murray,1997-02-23,0,2017-18,20,DEN,NBA,PG,81,2565,93%,7%,,,,+3.6,+6.6,90,52,78,7,104,10,652,32,56
Jamal Murray,1997-02-23,0,2018-19,21,DEN,NBA,PG,75,2447,73%,27%,,,,+4.8,+2.8,84,46,70,14,67,22,861,11,51
Jamal Murray,1997-02-23,0,2019-20,22,DEN,NBA,PG,59,1904,84%,16%,,,,+5.5,+7.0,69,33,49,12,58,22,665,14,27
Dejounte Murray,1996-09-19,0,2017-18,21,SAS,NBA,PG,81,1743,55%,45%,,,,+5.9,+5.2,62,44,71,12,62,4,539,14,44
Dejounte Murray,1996-09-19,0,2019-20,23,SAS,NBA,PG,66,1687,80%,20%,,,,-4.4,-6.4,59,45,58,13,55,11,639,15,37
Ronald Murray,1979-07-29,0,2009-10,30,CHA,NBA,SG,46,993,8%,91%,1%,,,+3.3,+2.2,35,22,46,5,57,4,194,11,30
Alec Burks,1991-07-20,0,2016-17,25,UTA,NBA,SG,42,653,10%,81%,9%,,,+0.3,-5.1,15,9,27,5,37,2,65,12,21
Alec Burks,1991-07-20,0,2017-18,26,UTA,NBA,SG,64,1059,5%,87%,8%,,,-0.2,-6.7,25,17,27,9,57,4,160,9,24
Trey Burke,1992-11-12,0,2018-19,26,NYK,NBA,PG,33,689,100%,,,,,-6.3,+3.5,16,3,12,5,35,3,225,14,24
Trey Burke,1992-11-12,0,2018-19,26,DAL,NBA,PG,25,436,100%,,,,,+5.8,+8.5,12,5,7,2,21,2,161,2,15
Troy Murphy,1980-05-02,0,2010-11,30,TOT,NBA,PF,35,466,,,,71%,29%,-15.3,-13.9,5,4,35,4,12,3,56,2,13
Troy Murphy,1980-05-02,0,2010-11,30,NJN,NBA,PF,18,288,,,,68%,32%,-10.5,-3.6,4,2,21,3,7,2,43,1,8
