Season,Team,avg_exp,var_exp
2009-10,Atlanta Hawks,5.642857142857143,16.247252747252748
2009-10,Boston Celtics,6.0,26.444444444444443
2009-10,Brooklyn Nets,4.882352941176471,12.860294117647058
2009-10,Charlotte Hornets,6.0,16.888888888888893
2009-10,Chicago Bulls,4.5,17.44117647058823
2009-10,Cleveland Cavaliers,4.666666666666667,20.470588235294116
2009-10,Dallas Mavericks,7.722222222222222,14.683006535947715
2009-10,Denver Nuggets,5.923076923076923,11.41025641025641
2009-10,Detroit Pistons,5.142857142857143,17.362637362637365
2009-10,Golden State Warriors,4.1,15.25263157894737
2009-10,Houston Rockets,3.0476190476190474,10.047619047619047
2009-10,Indiana Pacers,4.2,9.742857142857144
2009-10,Los Angeles Clippers,5.368421052631579,14.690058479532167
2009-10,Los Angeles Lakers,6.615384615384615,14.423076923076925
2009-10,Memphis Grizzlies,2.9411764705882355,13.683823529411764
2009-10,Miami Heat,5.6,12.685714285714285
2009-10,Milwaukee Bucks,5.052631578947368,17.163742690058477
2009-10,Minnesota Timberwolves,3.5,7.6000000000000005
2009-10,New Orleans Pelicans,5.1875,13.095833333333335
2009-10,New York Knicks,4.75,15.565789473684214
2009-10,Oklahoma City Thunder,3.2222222222222223,12.300653594771243
2009-10,Orlando Magic,6.333333333333333,14.242424242424242
2009-10,Philadelphia 76ers,4.75,12.999999999999998
2009-10,Phoenix Suns,4.866666666666666,19.552380952380954
2009-10,Portland Trail Blazers,4.315789473684211,20.228070175438592
2009-10,Sacramento Kings,3.05,8.049999999999999
2009-10,San Antonio Spurs,5.764705882352941,25.941176470588232
2009-10,Toronto Raptors,4.4,8.82857142857143
2009-10,Utah Jazz,3.2666666666666666,7.78095238095238
2009-10,Washington Wizards,4.625,11.375
2010-11,Atlanta Hawks,5.823529411764706,11.779411764705884
2010-11,Boston Celtics,6.761904761904762,28.190476190476186
2010-11,Brooklyn Nets,4.363636363636363,12.718614718614717
2010-11,Charlotte Hornets,5.421052631578948,16.035087719298247
2010-11,Chicago Bulls,5.066666666666666,16.20952380952381
2010-11,Cleveland Cavaliers,3.736842105263158,12.98245614035088
2010-11,Dallas Mavericks,7.277777777777778,21.035947712418302
2010-11,Denver Nuggets,5.578947368421052,16.035087719298247
2010-11,Detroit Pistons,6.0,21.000000000000004
2010-11,Golden State Warriors,3.7058823529411766,7.845588235294118
2010-11,Houston Rockets,3.45,11.207894736842103
2010-11,Indiana Pacers,4.133333333333334,13.980952380952383
2010-11,Los Angeles Clippers,4.294117647058823,11.84558823529412
2010-11,Los Angeles Lakers,7.875,26.516666666666666
2010-11,Memphis Grizzlies,3.3684210526315788,10.467836257309942
2010-11,Miami Heat,8.647058823529411,19.74264705882353
2010-11,Milwaukee Bucks,5.470588235294118,17.889705882352942
2010-11,Minnesota Timberwolves,2.588235294117647,5.382352941176471
2010-11,New Orleans Pelicans,4.157894736842105,9.251461988304094
2010-11,New York Knicks,4.25,13.460526315789473
2010-11,Oklahoma City Thunder,4.055555555555555,10.879084967320262
2010-11,Orlando Magic,7.176470588235294,11.779411764705884
2010-11,Philadelphia 76ers,5.066666666666666,17.35238095238095
2010-11,Phoenix Suns,5.2105263157894735,22.064327485380115
2010-11,Portland Trail Blazers,4.833333333333333,20.147058823529417
2010-11,Sacramento Kings,2.625,5.983333333333334
2010-11,San Antonio Spurs,4.4,20.042105263157897
2010-11,Toronto Raptors,3.5454545454545454,9.116883116883116
2010-11,Utah Jazz,4.647058823529412,11.492647058823533
2010-11,Washington Wizards,3.4347826086956523,14.711462450592881
2011-12,Atlanta Hawks,7.8125,23.095833333333328
2011-12,Boston Celtics,7.235294117647059,29.691176470588236
2011-12,Brooklyn Nets,3.9545454545454546,11.95021645021645
2011-12,Charlotte Hornets,4.5,16.26666666666667
2011-12,Chicago Bulls,5.5,13.500000000000002
2011-12,Cleveland Cavaliers,2.9523809523809526,12.347619047619048
2011-12,Dallas Mavericks,7.9375,25.6625
2011-12,Denver Nuggets,4.235294117647059,16.441176470588236
2011-12,Detroit Pistons,4.428571428571429,18.41758241758242
2011-12,Golden State Warriors,4.0,15.052631578947365
2011-12,Houston Rockets,3.6842105263157894,17.89473684210526
2011-12,Indiana Pacers,4.4,11.114285714285714
2011-12,Los Angeles Clippers,5.5,17.205882352941174
2011-12,Los Angeles Lakers,6.588235294117647,24.132352941176475
2011-12,Memphis Grizzlies,4.176470588235294,13.779411764705884
2011-12,Miami Heat,6.3125,22.3625
2011-12,Milwaukee Bucks,4.235294117647059,12.441176470588236
2011-12,Minnesota Timberwolves,3.7333333333333334,13.638095238095241
2011-12,New Orleans Pelicans,2.5454545454545454,6.831168831168831
2011-12,New York Knicks,5.529411764705882,19.639705882352942
2011-12,Oklahoma City Thunder,4.625,19.583333333333336
2011-12,Orlando Magic,5.3125,17.42916666666667
2011-12,Philadelphia 76ers,4.3125,17.295833333333338
2011-12,Phoenix Suns,6.769230769230769,21.19230769230769
2011-12,Portland Trail Blazers,5.222222222222222,26.5359477124183
2011-12,Sacramento Kings,3.066666666666667,8.352380952380951
2011-12,San Antonio Spurs,4.285714285714286,20.714285714285715
2011-12,Toronto Raptors,4.388888888888889,13.31045751633987
2011-12,Utah Jazz,4.6,14.399999999999997
2011-12,Washington Wizards,3.7142857142857144,13.41428571428572
2012-13,Atlanta Hawks,5.333333333333333,13.764705882352942
2012-13,Boston Celtics,6.0,25.89473684210526
2012-13,Brooklyn Nets,5.764705882352941,24.441176470588236
2012-13,Charlotte Hornets,4.666666666666667,13.411764705882355
