Season,Team,Salary
2013-14,Phoenix Suns,3788975.6470588236
2013-14,Portland Trail Blazers,5295234.533333333
2013-14,Sacramento Kings,5251024.8
2013-14,San Antonio Spurs,4547573.428571428
2013-14,Toronto Raptors,3791143.8571428573
2013-14,Utah Jazz,4540956.333333333
2013-14,Washington Wizards,4576064.642857143
2014-15,Atlanta Hawks,3431627.705882353
2014-15,Boston Celtics,2909172.476190476
2014-15,Brooklyn Nets,5742093.25
2014-15,Charlotte Hornets,4219692.111111111
2014-15,Chicago Bulls,5077764.0625
2014-15,Cleveland Cavaliers,5469251.2
2014-15,Dallas Mavericks,4191003.25
2014-15,Denver Nuggets,2962002.947368421
2014-15,Detroit Pistons,4171136.375
2014-15,Golden State Warriors,4326685.529411765
2014-15,Houston Rockets,4149970.0476190476
2014-15,Indiana Pacers,5011621.6
2014-15,Los Angeles Clippers,4257953.842105263
2014-15,Los Angeles Lakers,3939694.1666666665
2014-15,Memphis Grizzlies,4185623.6666666665
2014-15,Miami Heat,4844223.823529412
2014-15,Milwaukee Bucks,2925873.380952381
2014-15,Minnesota Timberwolves,3596298.0
2014-15,New Orleans Pelicans,3849446.0
2014-15,New York Knicks,4368798.157894737
2014-15,Oklahoma City Thunder,4924477.0
2014-15,Orlando Magic,2666923.15
2014-15,Philadelphia 76ers,2090962.5925925926
2014-15,Phoenix Suns,3022883.272727273
2014-15,Portland Trail Blazers,5424759.235294118
2014-15,Sacramento Kings,3877679.5789473685
2014-15,San Antonio Spurs,4093799.0
2014-15,Toronto Raptors,4444844.94117647
2014-15,Utah Jazz,2806256.523809524
2014-15,Washington Wizards,4617134.5
2015-16,Atlanta Hawks,4758541.733333333
2015-16,Boston Celtics,3857615.8
2015-16,Brooklyn Nets,4408237.0
2015-16,Charlotte Hornets,4850616.5625
2015-16,Chicago Bulls,5692393.2
2015-16,Cleveland Cavaliers,7064168.0
2015-16,Dallas Mavericks,3893700.8947368423
2015-16,Denver Nuggets,3300288.8181818184
2015-16,Detroit Pistons,3649466.1904761903
2015-16,Golden State Warriors,5856699.8125
2015-16,Houston Rockets,5010467.333333333
2015-16,Indiana Pacers,4193299.294117647
2015-16,Los Angeles Clippers,5310317.444444444
2015-16,Los Angeles Lakers,4517507.8125
2015-16,Memphis Grizzlies,3328022.04
2015-16,Miami Heat,5364147.0
2015-16,Milwaukee Bucks,4176092.529411765
2015-16,Minnesota Timberwolves,4262259.823529412
2015-16,New Orleans Pelicans,3835668.6818181816
2015-16,New York Knicks,4418304.764705882
